"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","82","audit trail - No Auth","QA|Nova Bank - Infopool","Sun May 25 15:26:51 GMT 2025","passed","Sun May 25 15:26:51 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","80","get user role","QA|Nova Bank - Infopool","Sun May 25 15:26:59 GMT 2025","failed","Sun May 25 15:26:59 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","80","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun May 25 15:26:55 GMT 2025","passed","Sun May 25 15:26:55 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","86","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun May 25 15:26:51 GMT 2025","passed","Sun May 25 15:26:51 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","88","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun May 25 15:26:51 GMT 2025","passed","Sun May 25 15:26:51 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a specific report by ID","79","Get Report by ID","QA|Nova Bank - Infopool","Sun May 25 15:27:11 GMT 2025","failed","Sun May 25 15:27:11 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","6217","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun May 25 15:27:01 GMT 2025","failed","Sun May 25 15:27:07 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Create a new report","79","Create Report - No auth","QA|Nova Bank - Infopool","Sun May 25 15:27:12 GMT 2025","passed","Sun May 25 15:27:12 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","78","Get all permissions","QA|Nova Bank - Infopool","Sun May 25 15:27:10 GMT 2025","failed","Sun May 25 15:27:10 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"Get a paginated list of reports with optional filtering","82","Get Reports","QA|Nova Bank - Infopool","Sun May 25 15:27:11 GMT 2025","failed","Sun May 25 15:27:11 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","82","Role does not exist - update role","QA|Nova Bank - Infopool","Sun May 25 15:26:59 GMT 2025","failed","Sun May 25 15:26:59 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","90","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun May 25 15:26:51 GMT 2025","passed","Sun May 25 15:26:51 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","80","Delete Customer Comment","QA|Nova Bank - Infopool","Sun May 25 15:26:55 GMT 2025","failed","Sun May 25 15:26:55 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","80","Create organization - name already exists","QA|Nova Bank - Infopool","Sun May 25 15:27:00 GMT 2025","passed","Sun May 25 15:27:00 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun May 25 15:26:53 GMT 2025","failed","Sun May 25 15:26:53 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","80","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun May 25 15:27:08 GMT 2025","failed","Sun May 25 15:27:08 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","78","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun May 25 15:26:56 GMT 2025","failed","Sun May 25 15:26:56 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","83","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun May 25 15:26:51 GMT 2025","failed","Sun May 25 15:26:51 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","85","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun May 25 15:26:48 GMT 2025","passed","Sun May 25 15:26:48 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","80","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun May 25 15:26:56 GMT 2025","passed","Sun May 25 15:26:57 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","92","No email - Forgot Password","QA|Nova Bank - Infopool","Sun May 25 15:26:48 GMT 2025","passed","Sun May 25 15:26:48 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","82","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun May 25 15:26:55 GMT 2025","failed","Sun May 25 15:26:55 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","990","Create a New Issue","QA|Nova Bank - Infopool","Sun May 25 15:26:52 GMT 2025","passed","Sun May 25 15:26:53 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","80","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun May 25 15:26:57 GMT 2025","passed","Sun May 25 15:26:57 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","108","Add Comment to Customer","QA|Nova Bank - Infopool","Sun May 25 15:26:54 GMT 2025","failed","Sun May 25 15:26:55 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","81","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun May 25 15:26:51 GMT 2025","passed","Sun May 25 15:26:51 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","82","update role","QA|Nova Bank - Infopool","Sun May 25 15:26:59 GMT 2025","failed","Sun May 25 15:26:59 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","81","No Auth - Update definition","QA|Nova Bank - Infopool","Sun May 25 15:26:58 GMT 2025","passed","Sun May 25 15:26:58 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"Get a specific report by ID","78","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun May 25 15:27:11 GMT 2025","passed","Sun May 25 15:27:12 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","81","No auth - managers","QA|Nova Bank - Infopool","Sun May 25 15:27:09 GMT 2025","passed","Sun May 25 15:27:09 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","81","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun May 25 15:27:00 GMT 2025","failed","Sun May 25 15:27:00 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","80","Get Report by UUID","QA|Nova Bank - Infopool","Sun May 25 15:27:12 GMT 2025","failed","Sun May 25 15:27:12 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","84","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun May 25 15:26:48 GMT 2025","passed","Sun May 25 15:26:48 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","80","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun May 25 15:27:08 GMT 2025","passed","Sun May 25 15:27:08 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","81","Get profile - No Auth","QA|Nova Bank - Infopool","Sun May 25 15:26:49 GMT 2025","passed","Sun May 25 15:26:50 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","81","Create organization - no country ID","QA|Nova Bank - Infopool","Sun May 25 15:27:00 GMT 2025","failed","Sun May 25 15:27:00 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun May 25 15:26:58 GMT 2025","failed","Sun May 25 15:26:58 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","82","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun May 25 15:26:55 GMT 2025","failed","Sun May 25 15:26:55 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","81","Search Customers","QA|Nova Bank - Infopool","Sun May 25 15:26:55 GMT 2025","failed","Sun May 25 15:26:56 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","81","Create organization - empty street value","QA|Nova Bank - Infopool","Sun May 25 15:27:00 GMT 2025","failed","Sun May 25 15:27:00 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","10","New Request","QA|Nova Bank - Infopool","Sun May 25 15:26:48 GMT 2025","broken","Sun May 25 15:26:48 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","81","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun May 25 15:26:57 GMT 2025","failed","Sun May 25 15:26:57 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","83","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun May 25 15:26:50 GMT 2025","failed","Sun May 25 15:26:50 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","136","Forgot password - successful","QA|Nova Bank - Infopool","Sun May 25 15:26:47 GMT 2025","failed","Sun May 25 15:26:48 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","81","Create roles - No auth","QA|Nova Bank - Infopool","Sun May 25 15:27:09 GMT 2025","passed","Sun May 25 15:27:09 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
