"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a specific report by ID","74","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Wed Dec 10 18:52:55 UTC 2025","broken","Wed Dec 10 18:52:55 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","78","Get Report Data - Question","QA|Nova Bank - Infopool","Wed Dec 10 18:52:56 UTC 2025","broken","Wed Dec 10 18:52:56 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","103","Create a New Issue","QA|Nova Bank - Infopool","Wed Dec 10 18:52:44 UTC 2025","broken","Wed Dec 10 18:52:44 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","81","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Wed Dec 10 18:52:51 UTC 2025","broken","Wed Dec 10 18:52:51 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","66","Get events - invalid start date","QA|Nova Bank - Infopool","Wed Dec 10 18:52:43 UTC 2025","broken","Wed Dec 10 18:52:43 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","58","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Wed Dec 10 18:52:51 UTC 2025","broken","Wed Dec 10 18:52:51 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","83","Forgot password - successful","QA|Nova Bank - Infopool","Wed Dec 10 18:52:40 UTC 2025","broken","Wed Dec 10 18:52:41 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","76","Search Customers","QA|Nova Bank - Infopool","Wed Dec 10 18:52:47 UTC 2025","broken","Wed Dec 10 18:52:47 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","95","managers","QA|Nova Bank - Infopool","Wed Dec 10 18:52:53 UTC 2025","broken","Wed Dec 10 18:52:53 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","66","reset password","QA|Nova Bank - Infopool","Wed Dec 10 18:52:41 UTC 2025","broken","Wed Dec 10 18:52:41 UTC 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","56","Create organization - empty city value","QA|Nova Bank - Infopool","Wed Dec 10 18:52:51 UTC 2025","broken","Wed Dec 10 18:52:51 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","55","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Wed Dec 10 18:52:55 UTC 2025","broken","Wed Dec 10 18:52:55 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","61","audit trail","QA|Nova Bank - Infopool","Wed Dec 10 18:52:44 UTC 2025","broken","Wed Dec 10 18:52:44 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
