"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri Feb 27 19:23:32 UTC 2026","broken","Fri Feb 27 19:23:32 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","80","Get Report Data - Question","QA|Nova Bank - Infopool","Fri Feb 27 19:23:37 UTC 2026","broken","Fri Feb 27 19:23:37 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","76","No auth - get all category","QA|Nova Bank - Infopool","Fri Feb 27 19:23:35 UTC 2026","broken","Fri Feb 27 19:23:35 UTC 2026","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","478","Successful login","QA|Nova Bank - Infopool","Fri Feb 27 19:23:21 UTC 2026","broken","Fri Feb 27 19:23:22 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","58","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri Feb 27 19:23:34 UTC 2026","broken","Fri Feb 27 19:23:34 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","71","Get events - invalid end date","QA|Nova Bank - Infopool","Fri Feb 27 19:23:25 UTC 2026","broken","Fri Feb 27 19:23:25 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","53","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri Feb 27 19:23:32 UTC 2026","broken","Fri Feb 27 19:23:32 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","57","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Feb 27 19:23:23 UTC 2026","broken","Fri Feb 27 19:23:23 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","51","No auth - category by id","QA|Nova Bank - Infopool","Fri Feb 27 19:23:36 UTC 2026","broken","Fri Feb 27 19:23:36 UTC 2026","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","74","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri Feb 27 19:23:32 UTC 2026","broken","Fri Feb 27 19:23:32 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","64","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Feb 27 19:23:33 UTC 2026","broken","Fri Feb 27 19:23:33 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","114","No user credentials","QA|Nova Bank - Infopool","Fri Feb 27 19:23:22 UTC 2026","broken","Fri Feb 27 19:23:22 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","74","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri Feb 27 19:23:33 UTC 2026","broken","Fri Feb 27 19:23:33 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","78","Update user - successful","QA|Nova Bank - Infopool","Fri Feb 27 19:23:31 UTC 2026","broken","Fri Feb 27 19:23:31 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","72","No auth - managers","QA|Nova Bank - Infopool","Fri Feb 27 19:23:34 UTC 2026","broken","Fri Feb 27 19:23:34 UTC 2026","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","61","Delete Customer Comment","QA|Nova Bank - Infopool","Fri Feb 27 19:23:28 UTC 2026","broken","Fri Feb 27 19:23:28 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","75","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri Feb 27 19:23:33 UTC 2026","broken","Fri Feb 27 19:23:33 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"","56","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri Feb 27 19:23:30 UTC 2026","broken","Fri Feb 27 19:23:30 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","76","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Fri Feb 27 19:23:38 UTC 2026","broken","Fri Feb 27 19:23:38 UTC 2026","","corporate Adjustment","",""
"Update an existing report","55","Update Report - No auth","QA|Nova Bank - Infopool","Fri Feb 27 19:23:37 UTC 2026","broken","Fri Feb 27 19:23:37 UTC 2026","v1 > Report > Update Report","Bank Admin","",""
"","79","Update user - invalid action","QA|Nova Bank - Infopool","Fri Feb 27 19:23:31 UTC 2026","broken","Fri Feb 27 19:23:31 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"Create a new report","72","Create Report - Empty category","QA|Nova Bank - Infopool","Fri Feb 27 19:23:37 UTC 2026","broken","Fri Feb 27 19:23:37 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"","75","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri Feb 27 19:23:31 UTC 2026","broken","Fri Feb 27 19:23:31 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","79","Add user to an organization - no auth","QA|Nova Bank - Infopool","Fri Feb 27 19:23:34 UTC 2026","broken","Fri Feb 27 19:23:34 UTC 2026","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Get a specific report by ID","73","Get Report by ID","QA|Nova Bank - Infopool","Fri Feb 27 19:23:36 UTC 2026","broken","Fri Feb 27 19:23:36 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"Update an existing report","49","Update Report","QA|Nova Bank - Infopool","Fri Feb 27 19:23:37 UTC 2026","broken","Fri Feb 27 19:23:37 UTC 2026","v1 > Report > Update Report","Bank Admin","",""
"Delete a report (soft delete)","53","Delete Report","QA|Nova Bank - Infopool","Fri Feb 27 19:23:37 UTC 2026","broken","Fri Feb 27 19:23:37 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","67","Get Reports - No auth","QA|Nova Bank - Infopool","Fri Feb 27 19:23:36 UTC 2026","broken","Fri Feb 27 19:23:36 UTC 2026","v1 > Report > Get Report","Bank Admin","",""
"","63","Create organization - no name","QA|Nova Bank - Infopool","Fri Feb 27 19:23:32 UTC 2026","broken","Fri Feb 27 19:23:32 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","53","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Fri Feb 27 19:23:26 UTC 2026","broken","Fri Feb 27 19:23:26 UTC 2026","v1 > Onboarding > Validate invitation","Bank User","",""
"","62","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Fri Feb 27 19:23:33 UTC 2026","broken","Fri Feb 27 19:23:33 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"","102","Get profile roles - successful","QA|Nova Bank - Infopool","Fri Feb 27 19:23:23 UTC 2026","broken","Fri Feb 27 19:23:24 UTC 2026","v1 > Profile > Roles","Bank User","",""
"Get a specific report by ID","60","Get Report by ID - No auth","QA|Nova Bank - Infopool","Fri Feb 27 19:23:36 UTC 2026","broken","Fri Feb 27 19:23:36 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"","79","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri Feb 27 19:23:30 UTC 2026","broken","Fri Feb 27 19:23:30 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"Create a new report","75","Create Report - No auth","QA|Nova Bank - Infopool","Fri Feb 27 19:23:37 UTC 2026","broken","Fri Feb 27 19:23:37 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"","75","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri Feb 27 19:23:33 UTC 2026","broken","Fri Feb 27 19:23:33 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","73","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Fri Feb 27 19:23:36 UTC 2026","broken","Fri Feb 27 19:23:36 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","82","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri Feb 27 19:23:33 UTC 2026","broken","Fri Feb 27 19:23:33 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","57","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Fri Feb 27 19:23:36 UTC 2026","broken","Fri Feb 27 19:23:36 UTC 2026","v1 > Report > Get Report Stats","Bank Admin","",""
"","75","Update profile - successful","QA|Nova Bank - Infopool","Fri Feb 27 19:23:24 UTC 2026","broken","Fri Feb 27 19:23:24 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"Get a paginated list of reports with optional filtering","74","Get Reports","QA|Nova Bank - Infopool","Fri Feb 27 19:23:36 UTC 2026","broken","Fri Feb 27 19:23:36 UTC 2026","v1 > Report > Get Report","Bank Admin","",""
"","51","No Auth - Get all permissions","QA|Nova Bank - Infopool","Fri Feb 27 19:23:35 UTC 2026","broken","Fri Feb 27 19:23:35 UTC 2026","v1 > Permissions > Get permissions","Bank Admin","",""
"","80","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Feb 27 19:23:28 UTC 2026","broken","Fri Feb 27 19:23:29 UTC 2026","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","60","Update profile - no auth","QA|Nova Bank - Infopool","Fri Feb 27 19:23:24 UTC 2026","broken","Fri Feb 27 19:23:25 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"","54","Get permission by ID - successful","QA|Nova Bank - Infopool","Fri Feb 27 19:23:35 UTC 2026","broken","Fri Feb 27 19:23:35 UTC 2026","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","66","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Fri Feb 27 19:23:32 UTC 2026","broken","Fri Feb 27 19:23:32 UTC 2026","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","54","Get all definitions","QA|Nova Bank - Infopool","Fri Feb 27 19:23:30 UTC 2026","broken","Fri Feb 27 19:23:30 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","52","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Fri Feb 27 19:23:26 UTC 2026","broken","Fri Feb 27 19:23:26 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","78","Get Issue by ID","QA|Nova Bank - Infopool","Fri Feb 27 19:23:27 UTC 2026","broken","Fri Feb 27 19:23:27 UTC 2026","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","57","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Feb 27 19:23:23 UTC 2026","broken","Fri Feb 27 19:23:23 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
