"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","153","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Nov 09 20:10:48 UTC 2025","broken","Sun Nov 09 20:10:48 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","139","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Nov 09 20:11:12 UTC 2025","broken","Sun Nov 09 20:11:12 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","142","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Nov 09 20:10:48 UTC 2025","broken","Sun Nov 09 20:10:49 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","143","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Nov 09 20:10:53 UTC 2025","broken","Sun Nov 09 20:10:53 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","150","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Nov 09 20:11:10 UTC 2025","broken","Sun Nov 09 20:11:10 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","147","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Nov 09 20:10:58 UTC 2025","broken","Sun Nov 09 20:10:58 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","145","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Nov 09 20:11:01 UTC 2025","broken","Sun Nov 09 20:11:01 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","148","Get events - successful","QA|Nova Bank - Infopool","Sun Nov 09 20:10:52 UTC 2025","broken","Sun Nov 09 20:10:53 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","138","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Nov 09 20:11:00 UTC 2025","broken","Sun Nov 09 20:11:00 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","145","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Nov 09 20:11:02 UTC 2025","broken","Sun Nov 09 20:11:02 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","155","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Nov 09 20:10:49 UTC 2025","broken","Sun Nov 09 20:10:49 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","155","Invalid email format","QA|Nova Bank - Infopool","Sun Nov 09 20:10:47 UTC 2025","broken","Sun Nov 09 20:10:47 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","140","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Nov 09 20:10:59 UTC 2025","broken","Sun Nov 09 20:11:00 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","151","Get all definitions","QA|Nova Bank - Infopool","Sun Nov 09 20:11:03 UTC 2025","broken","Sun Nov 09 20:11:03 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","141","Update user - invalid action","QA|Nova Bank - Infopool","Sun Nov 09 20:11:06 UTC 2025","broken","Sun Nov 09 20:11:06 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","141","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Nov 09 20:11:04 UTC 2025","broken","Sun Nov 09 20:11:04 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","143","Get roles - successful","QA|Nova Bank - Infopool","Sun Nov 09 20:11:13 UTC 2025","broken","Sun Nov 09 20:11:13 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","1255","Update user - no auth","QA|Nova Bank - Infopool","Sun Nov 09 20:11:05 UTC 2025","broken","Sun Nov 09 20:11:06 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","142","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Nov 09 20:11:13 UTC 2025","broken","Sun Nov 09 20:11:13 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","144","No auth - Update role status","QA|Nova Bank - Infopool","Sun Nov 09 20:11:14 UTC 2025","broken","Sun Nov 09 20:11:14 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","145","Create  organization","QA|Nova Bank - Infopool","Sun Nov 09 20:11:07 UTC 2025","broken","Sun Nov 09 20:11:07 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Create a new report","148","Create Report","QA|Nova Bank - Infopool","Sun Nov 09 20:11:19 UTC 2025","broken","Sun Nov 09 20:11:19 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","180","Create a New Issue","QA|Nova Bank - Infopool","Sun Nov 09 20:10:55 UTC 2025","broken","Sun Nov 09 20:10:55 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","142","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Nov 09 20:10:56 UTC 2025","broken","Sun Nov 09 20:10:56 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","145","Create_issue_without_attachment","QA|Nova Bank - Infopool","Sun Nov 09 20:10:55 UTC 2025","broken","Sun Nov 09 20:10:56 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
