"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Jun 08 21:29:44 GMT 2025","passed","Sun Jun 08 21:29:45 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","76","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 21:29:43 GMT 2025","passed","Sun Jun 08 21:29:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 21:29:43 GMT 2025","passed","Sun Jun 08 21:29:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","258","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:28:25 GMT 2025","passed","Sun Jun 08 21:28:25 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","337","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:28:13 GMT 2025","passed","Sun Jun 08 21:28:13 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","372","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:28:19 GMT 2025","passed","Sun Jun 08 21:28:19 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","348","verifyOTP","QA|Nova Bank - Infopool","Sun Jun 08 21:27:54 GMT 2025","passed","Sun Jun 08 21:27:54 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","130","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:28:13 GMT 2025","passed","Sun Jun 08 21:28:13 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","76","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:29:42 GMT 2025","passed","Sun Jun 08 21:29:42 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","3137","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 21:29:37 GMT 2025","passed","Sun Jun 08 21:29:40 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","279","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Jun 08 21:28:09 GMT 2025","passed","Sun Jun 08 21:28:10 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","137","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:28:18 GMT 2025","failed","Sun Jun 08 21:28:19 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","78","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:29:44 GMT 2025","passed","Sun Jun 08 21:29:44 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","254","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:27:57 GMT 2025","failed","Sun Jun 08 21:27:57 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","163","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 21:28:23 GMT 2025","passed","Sun Jun 08 21:28:23 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","138","No auth - managers","QA|Nova Bank - Infopool","Sun Jun 08 21:29:47 GMT 2025","passed","Sun Jun 08 21:29:48 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","143","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 21:28:22 GMT 2025","failed","Sun Jun 08 21:28:23 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","148","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:28:26 GMT 2025","passed","Sun Jun 08 21:28:26 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","77","Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 21:29:44 GMT 2025","passed","Sun Jun 08 21:29:44 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","75","Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 21:29:41 GMT 2025","passed","Sun Jun 08 21:29:41 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","92","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:28:11 GMT 2025","passed","Sun Jun 08 21:28:11 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","238","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:28:25 GMT 2025","passed","Sun Jun 08 21:28:25 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","88","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:27:56 GMT 2025","passed","Sun Jun 08 21:27:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","127","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:29:46 GMT 2025","passed","Sun Jun 08 21:29:47 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","77","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:29:44 GMT 2025","passed","Sun Jun 08 21:29:44 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","157","No Auth - Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:28:18 GMT 2025","failed","Sun Jun 08 21:28:18 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","245","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:28:25 GMT 2025","passed","Sun Jun 08 21:28:26 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","215","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:27:56 GMT 2025","passed","Sun Jun 08 21:27:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","78","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:29:43 GMT 2025","passed","Sun Jun 08 21:29:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","91","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 21:28:31 GMT 2025","passed","Sun Jun 08 21:28:31 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","180","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 21:27:54 GMT 2025","passed","Sun Jun 08 21:27:55 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","75","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 21:29:42 GMT 2025","passed","Sun Jun 08 21:29:42 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","78","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Jun 08 21:29:44 GMT 2025","passed","Sun Jun 08 21:29:44 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","219","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sun Jun 08 21:28:26 GMT 2025","failed","Sun Jun 08 21:28:27 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","152","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:28:14 GMT 2025","passed","Sun Jun 08 21:28:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","740","Weak password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:27:59 GMT 2025","passed","Sun Jun 08 21:28:00 GMT 2025","v1 > Profile > Password","Bank User","",""
"","144","Invalid email format","QA|Nova Bank - Infopool","Sun Jun 08 21:27:53 GMT 2025","passed","Sun Jun 08 21:27:54 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","133","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Jun 08 21:27:55 GMT 2025","passed","Sun Jun 08 21:27:55 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","154","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:28:12 GMT 2025","passed","Sun Jun 08 21:28:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","76","update role","QA|Nova Bank - Infopool","Sun Jun 08 21:29:42 GMT 2025","passed","Sun Jun 08 21:29:43 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","1248","reset password","QA|Nova Bank - Infopool","Sun Jun 08 21:27:55 GMT 2025","passed","Sun Jun 08 21:27:56 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","78","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 21:29:44 GMT 2025","passed","Sun Jun 08 21:29:44 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","152","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:28:24 GMT 2025","failed","Sun Jun 08 21:28:24 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","144","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:28:25 GMT 2025","passed","Sun Jun 08 21:28:25 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","262","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 21:28:24 GMT 2025","passed","Sun Jun 08 21:28:24 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","140","Update profile","QA|Nova Bank - Infopool","Sun Jun 08 21:28:09 GMT 2025","failed","Sun Jun 08 21:28:09 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","266","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:29:48 GMT 2025","passed","Sun Jun 08 21:29:48 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","76","Create organization - no name","QA|Nova Bank - Infopool","Sun Jun 08 21:29:43 GMT 2025","passed","Sun Jun 08 21:29:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","79","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Jun 08 21:29:44 GMT 2025","passed","Sun Jun 08 21:29:44 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","149","Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 21:28:22 GMT 2025","failed","Sun Jun 08 21:28:22 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","77","Update user - empty action field","QA|Nova Bank - Infopool","Sun Jun 08 21:29:42 GMT 2025","passed","Sun Jun 08 21:29:42 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","264","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 21:29:46 GMT 2025","passed","Sun Jun 08 21:29:46 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","66236","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 21:28:31 GMT 2025","passed","Sun Jun 08 21:29:37 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
