"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","156","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:28:23 GMT 2025","failed","Sun Jun 08 21:28:23 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","353","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Jun 08 21:28:10 GMT 2025","passed","Sun Jun 08 21:28:10 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","216","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:29:46 GMT 2025","passed","Sun Jun 08 21:29:46 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","253","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Jun 08 21:28:26 GMT 2025","passed","Sun Jun 08 21:28:26 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","79","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 21:29:40 GMT 2025","passed","Sun Jun 08 21:29:40 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","140","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:28:26 GMT 2025","failed","Sun Jun 08 21:28:26 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","164","Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:28:24 GMT 2025","failed","Sun Jun 08 21:28:24 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","3251","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Jun 08 21:28:05 GMT 2025","passed","Sun Jun 08 21:28:08 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","155","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:28:12 GMT 2025","passed","Sun Jun 08 21:28:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","77","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 21:29:44 GMT 2025","passed","Sun Jun 08 21:29:44 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","145","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:29:48 GMT 2025","passed","Sun Jun 08 21:29:48 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","139","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:28:12 GMT 2025","passed","Sun Jun 08 21:28:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","83","Update profile - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:28:05 GMT 2025","passed","Sun Jun 08 21:28:05 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","76","get user role","QA|Nova Bank - Infopool","Sun Jun 08 21:29:42 GMT 2025","passed","Sun Jun 08 21:29:42 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","156","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 21:28:28 GMT 2025","passed","Sun Jun 08 21:28:28 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","141","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 21:28:14 GMT 2025","passed","Sun Jun 08 21:28:15 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","154","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:27:57 GMT 2025","passed","Sun Jun 08 21:27:57 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","339","verify OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:27:57 GMT 2025","passed","Sun Jun 08 21:27:57 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","348","Get events - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:28:09 GMT 2025","passed","Sun Jun 08 21:28:09 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","284","Forgot password - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:27:54 GMT 2025","failed","Sun Jun 08 21:27:54 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","82","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 21:29:43 GMT 2025","passed","Sun Jun 08 21:29:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","78","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Jun 08 21:29:43 GMT 2025","passed","Sun Jun 08 21:29:44 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","141","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:28:12 GMT 2025","passed","Sun Jun 08 21:28:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","153","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:29:47 GMT 2025","passed","Sun Jun 08 21:29:47 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","154","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:27:57 GMT 2025","passed","Sun Jun 08 21:27:58 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","252","add_comment_successfully","QA|Nova Bank - Infopool","Sun Jun 08 21:28:23 GMT 2025","passed","Sun Jun 08 21:28:23 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","84","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:28:12 GMT 2025","passed","Sun Jun 08 21:28:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","137","Get events - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:28:09 GMT 2025","passed","Sun Jun 08 21:28:09 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","145","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun Jun 08 21:28:01 GMT 2025","passed","Sun Jun 08 21:28:01 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","78","Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 21:29:41 GMT 2025","passed","Sun Jun 08 21:29:41 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","115","Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 21:28:14 GMT 2025","failed","Sun Jun 08 21:28:14 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","81","Update user - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:29:42 GMT 2025","passed","Sun Jun 08 21:29:42 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","78","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 21:29:40 GMT 2025","passed","Sun Jun 08 21:29:41 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","155","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:28:24 GMT 2025","failed","Sun Jun 08 21:28:25 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","3809","Update profile - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:28:01 GMT 2025","passed","Sun Jun 08 21:28:05 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","139","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:27:58 GMT 2025","passed","Sun Jun 08 21:27:58 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","248","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 21:29:45 GMT 2025","passed","Sun Jun 08 21:29:46 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","594","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:27:59 GMT 2025","passed","Sun Jun 08 21:27:59 GMT 2025","v1 > Profile > Password","Bank User","",""
"","75","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 21:29:41 GMT 2025","passed","Sun Jun 08 21:29:41 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","111","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sun Jun 08 21:28:09 GMT 2025","passed","Sun Jun 08 21:28:09 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","134","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Jun 08 21:29:45 GMT 2025","passed","Sun Jun 08 21:29:45 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","80","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:29:45 GMT 2025","passed","Sun Jun 08 21:29:45 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","77","Update user - invalid action","QA|Nova Bank - Infopool","Sun Jun 08 21:29:42 GMT 2025","passed","Sun Jun 08 21:29:42 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","137","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:27:56 GMT 2025","passed","Sun Jun 08 21:27:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","75","No auth - get user role","QA|Nova Bank - Infopool","Sun Jun 08 21:29:42 GMT 2025","passed","Sun Jun 08 21:29:42 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","77","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 21:29:40 GMT 2025","passed","Sun Jun 08 21:29:40 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","85","Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:28:15 GMT 2025","failed","Sun Jun 08 21:28:15 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","200","managers","QA|Nova Bank - Infopool","Sun Jun 08 21:29:47 GMT 2025","passed","Sun Jun 08 21:29:47 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","77","Update user - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:29:42 GMT 2025","passed","Sun Jun 08 21:29:42 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","91","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:28:00 GMT 2025","passed","Sun Jun 08 21:28:00 GMT 2025","v1 > Profile > Password","Bank User","",""
