"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","164","Invalid credentials","QA|Nova Bank - Infopool","Wed May 28 00:23:12 GMT 2025","passed","Wed May 28 00:23:12 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","94","Fetch all users","QA|Nova Bank - Infopool","Wed May 28 00:23:38 GMT 2025","passed","Wed May 28 00:23:38 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","80","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Wed May 28 00:23:48 GMT 2025","failed","Wed May 28 00:23:48 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","82","No Auth - Change password","QA|Nova Bank - Infopool","Wed May 28 00:23:20 GMT 2025","passed","Wed May 28 00:23:20 GMT 2025","v1 > Profile > Password","Bank User","",""
"","94","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Wed May 28 00:23:47 GMT 2025","passed","Wed May 28 00:23:47 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","137","Forgot password - successful","QA|Nova Bank - Infopool","Wed May 28 00:23:18 GMT 2025","failed","Wed May 28 00:23:18 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","79","Create organization - empty street value","QA|Nova Bank - Infopool","Wed May 28 00:23:46 GMT 2025","failed","Wed May 28 00:23:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","Update user - empty action field","QA|Nova Bank - Infopool","Wed May 28 00:23:39 GMT 2025","failed","Wed May 28 00:23:39 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","82","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Wed May 28 00:23:37 GMT 2025","failed","Wed May 28 00:23:37 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","79","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:23:22 GMT 2025","passed","Wed May 28 00:23:23 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","81","Weak password - Change password","QA|Nova Bank - Infopool","Wed May 28 00:23:20 GMT 2025","failed","Wed May 28 00:23:20 GMT 2025","v1 > Profile > Password","Bank User","",""
"","80","Update Issue","QA|Nova Bank - Infopool","Wed May 28 00:23:25 GMT 2025","failed","Wed May 28 00:23:25 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","81","Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed May 28 00:23:36 GMT 2025","failed","Wed May 28 00:23:37 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","85","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Wed May 28 00:23:19 GMT 2025","passed","Wed May 28 00:23:19 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Get a specific report by ID","77","Get Report by UUID","QA|Nova Bank - Infopool","Wed May 28 00:23:52 GMT 2025","failed","Wed May 28 00:23:52 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","78","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Wed May 28 00:23:52 GMT 2025","failed","Wed May 28 00:23:52 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","440","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Wed May 28 00:23:24 GMT 2025","failed","Wed May 28 00:23:24 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","89","Update role status - role does not exist","QA|Nova Bank - Infopool","Wed May 28 00:23:50 GMT 2025","passed","Wed May 28 00:23:50 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","78","Update profile - successful","QA|Nova Bank - Infopool","Wed May 28 00:23:20 GMT 2025","failed","Wed May 28 00:23:21 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","79","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Wed May 28 00:23:49 GMT 2025","passed","Wed May 28 00:23:49 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","86","Logout session successfully","QA|Nova Bank - Infopool","Wed May 28 00:23:51 GMT 2025","passed","Wed May 28 00:23:51 GMT 2025","v1 > Logout","Bank Admin","",""
"","80","No Auth - Update Issue","QA|Nova Bank - Infopool","Wed May 28 00:23:25 GMT 2025","passed","Wed May 28 00:23:25 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","79","No auth - Update role status","QA|Nova Bank - Infopool","Wed May 28 00:23:50 GMT 2025","passed","Wed May 28 00:23:50 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","94","Add Comment to Customer","QA|Nova Bank - Infopool","Wed May 28 00:23:26 GMT 2025","failed","Wed May 28 00:23:26 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","108","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:23:43 GMT 2025","passed","Wed May 28 00:23:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","80","No Auth - Fetch all users","QA|Nova Bank - Infopool","Wed May 28 00:23:38 GMT 2025","passed","Wed May 28 00:23:38 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","81","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:23:47 GMT 2025","failed","Wed May 28 00:23:47 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","121","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:23:19 GMT 2025","failed","Wed May 28 00:23:19 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","79","Get profile - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:23:20 GMT 2025","passed","Wed May 28 00:23:20 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","78","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Wed May 28 00:23:26 GMT 2025","passed","Wed May 28 00:23:26 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","82","Empty new password - Change password","QA|Nova Bank - Infopool","Wed May 28 00:23:20 GMT 2025","failed","Wed May 28 00:23:20 GMT 2025","v1 > Profile > Password","Bank User","",""
"","79","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Wed May 28 00:23:33 GMT 2025","failed","Wed May 28 00:23:34 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","90","Get all permissions","QA|Nova Bank - Infopool","Wed May 28 00:23:50 GMT 2025","passed","Wed May 28 00:23:50 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","129","Update user - ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:23:38 GMT 2025","passed","Wed May 28 00:23:38 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","79","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Wed May 28 00:23:24 GMT 2025","failed","Wed May 28 00:23:24 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","82","No auth - Create  organization","QA|Nova Bank - Infopool","Wed May 28 00:23:39 GMT 2025","passed","Wed May 28 00:23:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","83","Invalid current password - Change password","QA|Nova Bank - Infopool","Wed May 28 00:23:20 GMT 2025","failed","Wed May 28 00:23:20 GMT 2025","v1 > Profile > Password","Bank User","",""
"","3185","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Wed May 28 00:23:26 GMT 2025","failed","Wed May 28 00:23:29 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
