"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","82","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 23:06:56 GMT 2025","failed","Thu Jun 05 23:06:56 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","151","Weak password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 23:06:41 GMT 2025","passed","Thu Jun 05 23:06:41 GMT 2025","v1 > Profile > Password","Bank User","",""
"","91","Add attachment to issue","QA|Nova Bank - Infopool","Thu Jun 05 23:06:54 GMT 2025","failed","Thu Jun 05 23:06:55 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","325","Invalid credentials","QA|Nova Bank - Infopool","Thu Jun 05 23:06:37 GMT 2025","passed","Thu Jun 05 23:06:37 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","79","Create organization - no name","QA|Nova Bank - Infopool","Thu Jun 05 23:08:12 GMT 2025","passed","Thu Jun 05 23:08:12 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","No Auth - Update definition","QA|Nova Bank - Infopool","Thu Jun 05 23:08:11 GMT 2025","passed","Thu Jun 05 23:08:11 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","77","Create organization - no country ID","QA|Nova Bank - Infopool","Thu Jun 05 23:08:13 GMT 2025","passed","Thu Jun 05 23:08:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","730","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Thu Jun 05 23:06:57 GMT 2025","passed","Thu Jun 05 23:06:58 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","84","Update user - no auth","QA|Nova Bank - Infopool","Thu Jun 05 23:08:11 GMT 2025","passed","Thu Jun 05 23:08:11 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","120","verifyOTP","QA|Nova Bank - Infopool","Thu Jun 05 23:06:37 GMT 2025","passed","Thu Jun 05 23:06:38 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","124","Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 23:06:55 GMT 2025","failed","Thu Jun 05 23:06:55 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","80","Update user - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:08:11 GMT 2025","passed","Thu Jun 05 23:08:11 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","63178","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Thu Jun 05 23:07:00 GMT 2025","passed","Thu Jun 05 23:08:03 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","80","Get profile - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:06:42 GMT 2025","passed","Thu Jun 05 23:06:42 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","92","Invalid email format","QA|Nova Bank - Infopool","Thu Jun 05 23:06:37 GMT 2025","passed","Thu Jun 05 23:06:37 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","120","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:06:39 GMT 2025","failed","Thu Jun 05 23:06:40 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","86","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Thu Jun 05 23:08:14 GMT 2025","passed","Thu Jun 05 23:08:14 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","79","Create organization - empty city value","QA|Nova Bank - Infopool","Thu Jun 05 23:08:13 GMT 2025","passed","Thu Jun 05 23:08:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","86","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Thu Jun 05 23:08:14 GMT 2025","passed","Thu Jun 05 23:08:14 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","91","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Thu Jun 05 23:08:15 GMT 2025","passed","Thu Jun 05 23:08:15 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","78","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 23:08:10 GMT 2025","passed","Thu Jun 05 23:08:10 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","81","No Auth - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 23:06:57 GMT 2025","passed","Thu Jun 05 23:06:57 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","83","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 23:06:54 GMT 2025","passed","Thu Jun 05 23:06:54 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","114","Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 23:06:56 GMT 2025","failed","Thu Jun 05 23:06:56 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","93","Fetch all users in an organization","QA|Nova Bank - Infopool","Thu Jun 05 23:08:15 GMT 2025","passed","Thu Jun 05 23:08:15 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","97","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 23:08:16 GMT 2025","passed","Thu Jun 05 23:08:16 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","113","Update Customer Comment Copy","QA|Nova Bank - Infopool","Thu Jun 05 23:06:56 GMT 2025","passed","Thu Jun 05 23:06:56 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","83","Fetch Customer Comments","QA|Nova Bank - Infopool","Thu Jun 05 23:06:55 GMT 2025","failed","Thu Jun 05 23:06:55 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
