"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Get profile - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 19:03:55 GMT 2025","passed","Thu Jun 05 19:03:55 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","75","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 19:03:54 GMT 2025","failed","Thu Jun 05 19:03:54 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","34","Get all definitions","QA|Nova Bank - Infopool","Thu Jun 05 19:05:11 GMT 2025","passed","Thu Jun 05 19:05:11 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","30","Logout session - no session","QA|Nova Bank - Infopool","Thu Jun 05 19:05:14 GMT 2025","passed","Thu Jun 05 19:05:14 GMT 2025","v1 > Logout","Bank Admin","",""
"","631","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Thu Jun 05 19:03:59 GMT 2025","passed","Thu Jun 05 19:04:00 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","33","Create organization - empty city value","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","38","Export Report Data - No auth","QA|Nova Bank - Infopool","Thu Jun 05 19:05:15 GMT 2025","passed","Thu Jun 05 19:05:16 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","34","No Auth - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 19:03:59 GMT 2025","passed","Thu Jun 05 19:03:59 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Get a specific report by ID","31","Get Report by UUID","QA|Nova Bank - Infopool","Thu Jun 05 19:05:15 GMT 2025","passed","Thu Jun 05 19:05:15 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","37","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 19:03:56 GMT 2025","passed","Thu Jun 05 19:03:56 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","38","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 19:03:58 GMT 2025","passed","Thu Jun 05 19:03:58 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","31","No Auth - Fetch all users","QA|Nova Bank - Infopool","Thu Jun 05 19:05:12 GMT 2025","passed","Thu Jun 05 19:05:12 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","34","Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 19:05:11 GMT 2025","passed","Thu Jun 05 19:05:11 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","43","Empty current password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 19:03:55 GMT 2025","passed","Thu Jun 05 19:03:55 GMT 2025","v1 > Profile > Password","Bank User","",""
"","157","Fetch Customer By ID","QA|Nova Bank - Infopool","Thu Jun 05 19:03:59 GMT 2025","passed","Thu Jun 05 19:03:59 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","42","Empty new password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 19:03:55 GMT 2025","passed","Thu Jun 05 19:03:55 GMT 2025","v1 > Profile > Password","Bank User","",""
"","35","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Thu Jun 05 19:05:15 GMT 2025","passed","Thu Jun 05 19:05:15 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","34","Update organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","39","Get Report Data - Question","QA|Nova Bank - Infopool","Thu Jun 05 19:05:15 GMT 2025","passed","Thu Jun 05 19:05:15 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","37","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 19:03:58 GMT 2025","failed","Thu Jun 05 19:03:58 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","33","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Delete a report (soft delete)","31","Delete Report","QA|Nova Bank - Infopool","Thu Jun 05 19:05:15 GMT 2025","passed","Thu Jun 05 19:05:15 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
