"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","88","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 01 15:55:46 GMT 2025","passed","Sun Jun 01 15:55:46 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","172","Weak password - Change password","QA|Nova Bank - Infopool","Sun Jun 01 15:55:48 GMT 2025","passed","Sun Jun 01 15:55:48 GMT 2025","v1 > Profile > Password","Bank User","",""
"","89","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 01 15:56:15 GMT 2025","passed","Sun Jun 01 15:56:15 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","109","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Jun 01 15:56:17 GMT 2025","passed","Sun Jun 01 15:56:18 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","100","Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 01 15:56:00 GMT 2025","failed","Sun Jun 01 15:56:00 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","2541","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 01 15:56:02 GMT 2025","passed","Sun Jun 01 15:56:05 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"Update an existing report","461","Update Report","QA|Nova Bank - Infopool","Sun Jun 01 15:56:28 GMT 2025","passed","Sun Jun 01 15:56:29 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","78","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 01 15:56:19 GMT 2025","passed","Sun Jun 01 15:56:19 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","89","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 01 15:55:53 GMT 2025","passed","Sun Jun 01 15:55:53 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","91","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Jun 01 15:56:14 GMT 2025","passed","Sun Jun 01 15:56:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Create a new report","108","Create Report","QA|Nova Bank - Infopool","Sun Jun 01 15:56:28 GMT 2025","failed","Sun Jun 01 15:56:28 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Create a new report","79","Create Report - No auth","QA|Nova Bank - Infopool","Sun Jun 01 15:56:28 GMT 2025","passed","Sun Jun 01 15:56:28 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Update an existing report","78","Update Report - No auth","QA|Nova Bank - Infopool","Sun Jun 01 15:56:29 GMT 2025","passed","Sun Jun 01 15:56:29 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","84","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Jun 01 15:55:59 GMT 2025","failed","Sun Jun 01 15:56:00 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","81","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 01 15:56:05 GMT 2025","passed","Sun Jun 01 15:56:05 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","78","No auth - managers","QA|Nova Bank - Infopool","Sun Jun 01 15:56:18 GMT 2025","passed","Sun Jun 01 15:56:18 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","80","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 01 15:56:16 GMT 2025","passed","Sun Jun 01 15:56:17 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","80","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 01 15:56:01 GMT 2025","passed","Sun Jun 01 15:56:01 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","83","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 01 15:56:01 GMT 2025","failed","Sun Jun 01 15:56:01 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","84","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 01 15:56:06 GMT 2025","failed","Sun Jun 01 15:56:07 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get a specific report by ID","3185","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun Jun 01 15:56:24 GMT 2025","passed","Sun Jun 01 15:56:28 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","81","Logout session - no session","QA|Nova Bank - Infopool","Sun Jun 01 15:56:20 GMT 2025","passed","Sun Jun 01 15:56:20 GMT 2025","v1 > Logout","Bank Admin","",""
"","263","reset password","QA|Nova Bank - Infopool","Sun Jun 01 15:55:46 GMT 2025","passed","Sun Jun 01 15:55:46 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","78","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 01 15:56:02 GMT 2025","passed","Sun Jun 01 15:56:02 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","94","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 01 15:56:17 GMT 2025","passed","Sun Jun 01 15:56:17 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","82","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sun Jun 01 15:56:29 GMT 2025","failed","Sun Jun 01 15:56:29 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Get a paginated list of reports with optional filtering","96","Get Reports Stats","QA|Nova Bank - Infopool","Sun Jun 01 15:56:20 GMT 2025","passed","Sun Jun 01 15:56:20 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","92","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 01 15:55:47 GMT 2025","passed","Sun Jun 01 15:55:47 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","79","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Jun 01 15:56:14 GMT 2025","passed","Sun Jun 01 15:56:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 01 15:56:17 GMT 2025","passed","Sun Jun 01 15:56:17 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","78","Get role by ID - successful","QA|Nova Bank - Infopool","Sun Jun 01 15:56:19 GMT 2025","failed","Sun Jun 01 15:56:19 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","80","Update Customer Comment Copy","QA|Nova Bank - Infopool","Sun Jun 01 15:56:01 GMT 2025","passed","Sun Jun 01 15:56:01 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
