Transaction Date,Value Date,Narration,Reference ID,Debit,Credit,Balance
2024-12-01,2024-12-01,"Interest run",,139.42,,0.00
2024-12-02,2024-12-02,"Interest run",,139.42,,0.00
2024-12-03,2024-12-03,"Interest run",,139.42,,0.00
2024-12-04,2024-12-04,"Interest run",,139.42,,0.00
2024-12-05,2024-12-05,"Interest run",,139.42,,0.00
2024-12-06,2024-12-06,"Interest run",,139.43,,0.00
2024-12-06,2024-12-07,"Interest run",,139.42,,0.00
2024-12-06,2024-12-08,"Interest run",,139.42,,0.00
2024-12-09,2024-12-09,"Interest run",,139.42,,0.00
2024-12-10,2024-12-10,"Interest run",,139.42,,0.00
2024-12-11,2024-12-11,"Interest run",,139.43,,0.00
2024-12-12,2024-12-12,"Interest run",,139.42,,0.00
2024-12-13,2024-12-13,"Interest run",,139.42,,0.00
2024-12-13,2024-12-14,"Interest run",,139.42,,0.00
2024-12-13,2024-12-15,"Interest run",,139.42,,0.00
2024-12-16,2024-12-16,"Interest run",,139.42,,0.00
2024-12-17,2024-12-17,"Interest run",,139.43,,0.00
2024-12-18,2024-12-18,"Interest run",,139.42,,0.00
2024-12-19,2024-12-19,"Interest run",,139.42,,0.00
2024-12-20,2024-12-20,"Interest run",,139.42,,0.00
2024-12-20,2024-12-21,"Interest run",,139.42,,0.00
2024-12-20,2024-12-22,"Interest run",,139.43,,0.00
2024-12-23,2024-12-23,"Interest run",,139.42,,0.00
2024-12-24,2024-12-24,"Interest run",,139.42,,0.00
2024-12-24,2024-12-25,"Interest run",,139.42,,0.00
2024-12-24,2024-12-26,"Interest run",,139.42,,0.00
2024-12-27,2024-12-27,"Interest run",,139.42,,0.00
2024-12-27,2024-12-28,"Interest run",,139.43,,0.00
2024-12-27,2024-12-29,"Interest run",,139.42,,0.00
2024-12-30,2024-12-30,"Dr Int book -Payoff",,139.42,,0.00
2024-12-30,2024-12-30,"Cr. Loan A/c.",,,320400.42,0.00
