"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44","Update role status - role does not exist","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","passed","Fri May 30 17:09:28 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","41","Create organization - empty description","QA|Nova Bank - Infopool","Fri May 30 17:09:26 GMT 2025","passed","Fri May 30 17:09:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","60","verify OTP","QA|Nova Bank - Infopool","Fri May 30 17:09:05 GMT 2025","passed","Fri May 30 17:09:05 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","50","Fetch all organizations","QA|Nova Bank - Infopool","Fri May 30 17:09:26 GMT 2025","passed","Fri May 30 17:09:26 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","120","Invalid credentials","QA|Nova Bank - Infopool","Fri May 30 17:09:04 GMT 2025","passed","Fri May 30 17:09:04 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","42","Send user invitation token - successful","QA|Nova Bank - Infopool","Fri May 30 17:09:13 GMT 2025","passed","Fri May 30 17:09:13 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","66","Update definition","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","passed","Fri May 30 17:09:19 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"Create a new report","35","Create Report","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","failed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","47","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:09:26 GMT 2025","passed","Fri May 30 17:09:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","34","No auth - Update role status","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","passed","Fri May 30 17:09:28 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"Get a paginated list of reports with optional filtering","33","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","passed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","50","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","passed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","37","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Fri May 30 17:09:13 GMT 2025","passed","Fri May 30 17:09:13 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","51","Search Customers","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","passed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","47","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:09:26 GMT 2025","passed","Fri May 30 17:09:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","46","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:09:26 GMT 2025","passed","Fri May 30 17:09:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","31","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","passed","Fri May 30 17:09:19 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","34","Get Issue by ID","QA|Nova Bank - Infopool","Fri May 30 17:09:14 GMT 2025","failed","Fri May 30 17:09:14 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","47","Get all permissions","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","passed","Fri May 30 17:09:28 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","36","No Auth - Fetch all users","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","passed","Fri May 30 17:09:19 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","35","Update profile - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:09:12 GMT 2025","passed","Fri May 30 17:09:12 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","36","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","failed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","37","Update Issue","QA|Nova Bank - Infopool","Fri May 30 17:09:14 GMT 2025","failed","Fri May 30 17:09:14 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","34","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Fri May 30 17:09:30 GMT 2025","failed","Fri May 30 17:09:30 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"Get a specific report by ID","34","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","failed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","34","No Auth - Get all permissions","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","passed","Fri May 30 17:09:28 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","40","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 17:09:05 GMT 2025","passed","Fri May 30 17:09:05 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","8","New Request","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","broken","Fri May 30 17:09:19 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","120","Get events - invalid start date","QA|Nova Bank - Infopool","Fri May 30 17:09:12 GMT 2025","passed","Fri May 30 17:09:13 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","37","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","passed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","39","Empty current password - Change password","QA|Nova Bank - Infopool","Fri May 30 17:09:05 GMT 2025","passed","Fri May 30 17:09:05 GMT 2025","v1 > Profile > Password","Bank User","",""
"Delete a report (soft delete)","33","Delete Report - Invalid id","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","failed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","34","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","passed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","35","Get role by ID - successful","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","failed","Fri May 30 17:09:28 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","34","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","passed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","45","Get single definition","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","passed","Fri May 30 17:09:19 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","51","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","passed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","88","category by id","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","passed","Fri May 30 17:09:28 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"Get a specific report by ID","32","Get Report by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","passed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","33","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","failed","Fri May 30 17:09:19 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","52","Search Customers","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","passed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","34","Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","failed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","3126","Get profile - user not logged in","QA|Nova Bank - Infopool","Fri May 30 17:09:06 GMT 2025","passed","Fri May 30 17:09:09 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","49","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Fri May 30 17:09:26 GMT 2025","passed","Fri May 30 17:09:26 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","171","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Fri May 30 17:09:14 GMT 2025","failed","Fri May 30 17:09:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","477","Successful login","QA|Nova Bank - Infopool","Fri May 30 17:09:03 GMT 2025","passed","Fri May 30 17:09:04 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","35","Delete Customer Comment","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","failed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","98","Get profile - successfully","QA|Nova Bank - Infopool","Fri May 30 17:09:06 GMT 2025","passed","Fri May 30 17:09:06 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","33","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","passed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"Create a new report","72","Create Report - Empty category","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","failed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","45","Role does not exist - update role","QA|Nova Bank - Infopool","Fri May 30 17:09:20 GMT 2025","passed","Fri May 30 17:09:20 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","35","Update Customer Comment","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","failed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","35","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Fri May 30 17:09:14 GMT 2025","failed","Fri May 30 17:09:14 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","3128","Update profile - no phone number","QA|Nova Bank - Infopool","Fri May 30 17:09:09 GMT 2025","passed","Fri May 30 17:09:12 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","45","Get profile roles - successful","QA|Nova Bank - Infopool","Fri May 30 17:09:05 GMT 2025","passed","Fri May 30 17:09:05 GMT 2025","v1 > Profile > Roles","Bank User","",""
"Get a paginated list of reports with optional filtering","32","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","passed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","36","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 17:09:05 GMT 2025","passed","Fri May 30 17:09:05 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Create a new report","35","Create Report - Duplicate name","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","failed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","42","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 17:09:04 GMT 2025","passed","Fri May 30 17:09:05 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","37","No Auth - Change password","QA|Nova Bank - Infopool","Fri May 30 17:09:05 GMT 2025","passed","Fri May 30 17:09:05 GMT 2025","v1 > Profile > Password","Bank User","",""
"","49","Get all definitions","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","passed","Fri May 30 17:09:19 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","34","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","passed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","37","Create organization - empty street value","QA|Nova Bank - Infopool","Fri May 30 17:09:26 GMT 2025","failed","Fri May 30 17:09:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","No Auth - Update definition","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","passed","Fri May 30 17:09:19 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"Get a paginated list of reports with optional filtering","36","Get Report Objects - Question","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","failed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","50","get all category","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","passed","Fri May 30 17:09:28 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","35","Create roles - No auth","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","passed","Fri May 30 17:09:28 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","33","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","passed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","34","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","passed","Fri May 30 17:09:19 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","34","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","passed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","52","resend_invitation_toUser","QA|Nova Bank - Infopool","Fri May 30 17:09:13 GMT 2025","passed","Fri May 30 17:09:13 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","43","Update profile - invalid phone number","QA|Nova Bank - Infopool","Fri May 30 17:09:12 GMT 2025","passed","Fri May 30 17:09:12 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get a specific report by ID","31","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","failed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
