"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Fri May 30 17:09:14 GMT 2025","failed","Fri May 30 17:09:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","33","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri May 30 17:09:18 GMT 2025","passed","Fri May 30 17:09:18 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Get a paginated list of reports with optional filtering","33","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","failed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","35","No Auth - Get all Issues","QA|Nova Bank - Infopool","Fri May 30 17:09:14 GMT 2025","passed","Fri May 30 17:09:14 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","36","Update user - empty action field","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","failed","Fri May 30 17:09:19 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Create a new report","33","Create Report - No auth","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","passed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","34","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri May 30 17:09:16 GMT 2025","failed","Fri May 30 17:09:16 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","199","Get events - successful","QA|Nova Bank - Infopool","Fri May 30 17:09:12 GMT 2025","passed","Fri May 30 17:09:12 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","34","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","passed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","42","Create organization - no country ID","QA|Nova Bank - Infopool","Fri May 30 17:09:26 GMT 2025","passed","Fri May 30 17:09:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","34","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","passed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","45","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","passed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","30","Get roles - successful","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","passed","Fri May 30 17:09:28 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","57","Update user - successful","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","passed","Fri May 30 17:09:19 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","33","Update Customer Comment Copy","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","passed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","43","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","passed","Fri May 30 17:09:19 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","33","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","passed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","34","Export Report Data - No auth","QA|Nova Bank - Infopool","Fri May 30 17:09:30 GMT 2025","passed","Fri May 30 17:09:30 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","36","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Fri May 30 17:09:26 GMT 2025","passed","Fri May 30 17:09:26 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","34","Get Report Data - No auth","QA|Nova Bank - Infopool","Fri May 30 17:09:30 GMT 2025","passed","Fri May 30 17:09:30 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","48","managers","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","passed","Fri May 30 17:09:28 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","317","reset password","QA|Nova Bank - Infopool","Fri May 30 17:09:04 GMT 2025","passed","Fri May 30 17:09:04 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","44","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","passed","Fri May 30 17:09:19 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","34","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:09:05 GMT 2025","passed","Fri May 30 17:09:05 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","46","Create  organization","QA|Nova Bank - Infopool","Fri May 30 17:09:23 GMT 2025","failed","Fri May 30 17:09:23 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","31","No auth - get user role","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","passed","Fri May 30 17:09:19 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","34","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","failed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","53","Logout session successfully","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","passed","Fri May 30 17:09:28 GMT 2025","v1 > Logout","Bank Admin","",""
"","35","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Fri May 30 17:09:05 GMT 2025","passed","Fri May 30 17:09:05 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","40","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","passed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","41","Get permission by ID - successful","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","passed","Fri May 30 17:09:28 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","44","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri May 30 17:09:12 GMT 2025","passed","Fri May 30 17:09:12 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","37","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:09:26 GMT 2025","failed","Fri May 30 17:09:26 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","45","Create organization - name already exists","QA|Nova Bank - Infopool","Fri May 30 17:09:26 GMT 2025","passed","Fri May 30 17:09:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","36","Export Report Data","QA|Nova Bank - Infopool","Fri May 30 17:09:30 GMT 2025","failed","Fri May 30 17:09:30 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","38","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 17:09:05 GMT 2025","passed","Fri May 30 17:09:05 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a specific report by ID","32","Get Report by ID","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","failed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","125","Get events - invalid end date","QA|Nova Bank - Infopool","Fri May 30 17:09:13 GMT 2025","passed","Fri May 30 17:09:13 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","35","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","passed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","33","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","failed","Fri May 30 17:09:28 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","33","Health","QA|Nova Bank - Infopool","Fri May 30 17:09:18 GMT 2025","passed","Fri May 30 17:09:19 GMT 2025","v1 > Health","Bank Admin","",""
"","34","Update user - no auth","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","passed","Fri May 30 17:09:19 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","118","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Fri May 30 17:09:13 GMT 2025","passed","Fri May 30 17:09:13 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","35","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Fri May 30 17:09:13 GMT 2025","passed","Fri May 30 17:09:13 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","40","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Fri May 30 17:09:13 GMT 2025","passed","Fri May 30 17:09:13 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","35","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","failed","Fri May 30 17:09:28 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","33","Create roles - Existing role","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","failed","Fri May 30 17:09:28 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","51","Update profile","QA|Nova Bank - Infopool","Fri May 30 17:09:12 GMT 2025","failed","Fri May 30 17:09:12 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","41","get user role","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","passed","Fri May 30 17:09:19 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","35","Invalid name - Search Customers","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","failed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","3102","No auth - update role","QA|Nova Bank - Infopool","Fri May 30 17:09:20 GMT 2025","passed","Fri May 30 17:09:23 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Get a specific report by ID","34","Get Report by UUID","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","failed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","33","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri May 30 17:09:16 GMT 2025","passed","Fri May 30 17:09:16 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","121","Weak password - Change password","QA|Nova Bank - Infopool","Fri May 30 17:09:05 GMT 2025","passed","Fri May 30 17:09:05 GMT 2025","v1 > Profile > Password","Bank User","",""
"","36","Get Report Data - Question","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","failed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","34","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","passed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","2420","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri May 30 17:09:16 GMT 2025","passed","Fri May 30 17:09:18 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","33","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","passed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","44","Create organization - no name","QA|Nova Bank - Infopool","Fri May 30 17:09:26 GMT 2025","passed","Fri May 30 17:09:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri May 30 17:09:18 GMT 2025","passed","Fri May 30 17:09:18 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","40","Empty fields - Update definition","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","passed","Fri May 30 17:09:19 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"Update an existing report","36","Update Report - Invalid id","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","failed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","33","No auth - get all category","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","passed","Fri May 30 17:09:28 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","67","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 17:09:05 GMT 2025","failed","Fri May 30 17:09:05 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","33","No auth - managers","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","passed","Fri May 30 17:09:28 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","31","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","passed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","36","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Fri May 30 17:09:13 GMT 2025","passed","Fri May 30 17:09:13 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","41","Empty new password - Change password","QA|Nova Bank - Infopool","Fri May 30 17:09:05 GMT 2025","passed","Fri May 30 17:09:06 GMT 2025","v1 > Profile > Password","Bank User","",""
"","37","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Fri May 30 17:09:30 GMT 2025","failed","Fri May 30 17:09:30 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","37","Update user - invalid action","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","failed","Fri May 30 17:09:19 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","33","Create roles - empty name field","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","failed","Fri May 30 17:09:28 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","36","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","failed","Fri May 30 17:09:30 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Update an existing report","64","Update Report - No auth","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","passed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"Delete a report (soft delete)","32","Delete Report -No auth","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","failed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","36","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri May 30 17:09:26 GMT 2025","failed","Fri May 30 17:09:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","69","Fetch Customer By ID","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","passed","Fri May 30 17:09:16 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","38","Add attachment to issue","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","failed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","33","Get permission by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","passed","Fri May 30 17:09:28 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","35","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","failed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","40","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","passed","Fri May 30 17:09:28 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","3086","No auth - Create  organization","QA|Nova Bank - Infopool","Fri May 30 17:09:23 GMT 2025","passed","Fri May 30 17:09:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","35","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","failed","Fri May 30 17:09:19 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","42","No user credentials","QA|Nova Bank - Infopool","Fri May 30 17:09:04 GMT 2025","passed","Fri May 30 17:09:04 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","110","No auth - Create a New Issue","QA|Nova Bank - Infopool","Fri May 30 17:09:14 GMT 2025","passed","Fri May 30 17:09:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","35","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","failed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","106","Add user to an organization - successful","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","passed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","35","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Fri May 30 17:09:14 GMT 2025","failed","Fri May 30 17:09:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","33","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri May 30 17:09:18 GMT 2025","passed","Fri May 30 17:09:18 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","35","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri May 30 17:09:18 GMT 2025","failed","Fri May 30 17:09:18 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","32","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","passed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","39","No email - Forgot Password","QA|Nova Bank - Infopool","Fri May 30 17:09:04 GMT 2025","passed","Fri May 30 17:09:04 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","41","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 17:09:05 GMT 2025","passed","Fri May 30 17:09:05 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","33","No auth - category by id","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","passed","Fri May 30 17:09:28 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
