"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","764","reset password","QA|Nova Bank - Infopool","Thu Jun 05 23:47:36 GMT 2025","passed","Thu Jun 05 23:47:37 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","33","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Thu Jun 05 23:49:01 GMT 2025","passed","Thu Jun 05 23:49:01 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","35","Update role status","QA|Nova Bank - Infopool","Thu Jun 05 23:49:02 GMT 2025","passed","Thu Jun 05 23:49:02 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","34","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 23:49:01 GMT 2025","passed","Thu Jun 05 23:49:01 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","38","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 23:47:53 GMT 2025","failed","Thu Jun 05 23:47:53 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","731","Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:47:43 GMT 2025","passed","Thu Jun 05 23:47:44 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","102","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 23:47:51 GMT 2025","passed","Thu Jun 05 23:47:51 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","35","Fetch user by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:49:00 GMT 2025","passed","Thu Jun 05 23:49:00 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","58","Get profile - user not logged in","QA|Nova Bank - Infopool","Thu Jun 05 23:47:40 GMT 2025","passed","Thu Jun 05 23:47:40 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","373","Get events - invalid end date","QA|Nova Bank - Infopool","Thu Jun 05 23:47:41 GMT 2025","passed","Thu Jun 05 23:47:42 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","32","Health","QA|Nova Bank - Infopool","Thu Jun 05 23:48:59 GMT 2025","passed","Thu Jun 05 23:48:59 GMT 2025","v1 > Health","Bank Admin","",""
"","34","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 23:49:00 GMT 2025","passed","Thu Jun 05 23:49:00 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","33","category by id","QA|Nova Bank - Infopool","Thu Jun 05 23:49:02 GMT 2025","passed","Thu Jun 05 23:49:02 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","32","Add user to an organization - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:49:01 GMT 2025","passed","Thu Jun 05 23:49:01 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","81","Get profile - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:47:40 GMT 2025","passed","Thu Jun 05 23:47:40 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","32","Get role by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:49:02 GMT 2025","passed","Thu Jun 05 23:49:02 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","102","Send user invitation token - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:47:43 GMT 2025","passed","Thu Jun 05 23:47:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","37","Update profile - no auth","QA|Nova Bank - Infopool","Thu Jun 05 23:47:40 GMT 2025","passed","Thu Jun 05 23:47:40 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","293","audit-search","QA|Nova Bank - Infopool","Thu Jun 05 23:47:42 GMT 2025","passed","Thu Jun 05 23:47:42 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Create a new report","32","Create Report - Empty category","QA|Nova Bank - Infopool","Thu Jun 05 23:49:03 GMT 2025","passed","Thu Jun 05 23:49:03 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","156","Forgot password - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:47:36 GMT 2025","failed","Thu Jun 05 23:47:36 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","636","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Thu Jun 05 23:47:53 GMT 2025","passed","Thu Jun 05 23:47:54 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
