"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Thu Jun 05 16:03:16 GMT 2025","failed","Thu Jun 05 16:03:16 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","39","Fetch Customer Comments","QA|Nova Bank - Infopool","Thu Jun 05 16:03:15 GMT 2025","failed","Thu Jun 05 16:03:15 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","584","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Thu Jun 05 16:03:16 GMT 2025","passed","Thu Jun 05 16:03:16 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","33","Get role by ID - no auth","QA|Nova Bank - Infopool","Thu Jun 05 16:04:28 GMT 2025","passed","Thu Jun 05 16:04:28 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","35","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 16:04:27 GMT 2025","passed","Thu Jun 05 16:04:27 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","38","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 16:03:15 GMT 2025","failed","Thu Jun 05 16:03:15 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","69","Update profile - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:03:12 GMT 2025","passed","Thu Jun 05 16:03:12 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","33","managers","QA|Nova Bank - Infopool","Thu Jun 05 16:04:27 GMT 2025","passed","Thu Jun 05 16:04:27 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","106","Invalid current password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 16:03:11 GMT 2025","passed","Thu Jun 05 16:03:11 GMT 2025","v1 > Profile > Password","Bank User","",""
"","36","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 16:04:26 GMT 2025","passed","Thu Jun 05 16:04:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","34","Get Reports Stats","QA|Nova Bank - Infopool","Thu Jun 05 16:04:28 GMT 2025","passed","Thu Jun 05 16:04:28 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","33","get user role","QA|Nova Bank - Infopool","Thu Jun 05 16:04:26 GMT 2025","passed","Thu Jun 05 16:04:26 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","34","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Thu Jun 05 16:04:27 GMT 2025","passed","Thu Jun 05 16:04:27 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","48","Update profile - invalid phone number","QA|Nova Bank - Infopool","Thu Jun 05 16:03:12 GMT 2025","passed","Thu Jun 05 16:03:12 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","35","No auth - Create  organization","QA|Nova Bank - Infopool","Thu Jun 05 16:04:26 GMT 2025","passed","Thu Jun 05 16:04:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","40","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 16:03:13 GMT 2025","passed","Thu Jun 05 16:03:13 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","39","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 16:03:14 GMT 2025","passed","Thu Jun 05 16:03:14 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","35","Update role status","QA|Nova Bank - Infopool","Thu Jun 05 16:04:27 GMT 2025","passed","Thu Jun 05 16:04:27 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","34","Logout session successfully","QA|Nova Bank - Infopool","Thu Jun 05 16:04:28 GMT 2025","passed","Thu Jun 05 16:04:28 GMT 2025","v1 > Logout","Bank Admin","",""
"","34","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:04:27 GMT 2025","passed","Thu Jun 05 16:04:27 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Get a specific report by ID","34","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Thu Jun 05 16:04:28 GMT 2025","passed","Thu Jun 05 16:04:28 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","44","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Thu Jun 05 16:03:10 GMT 2025","passed","Thu Jun 05 16:03:10 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","36","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 16:04:25 GMT 2025","passed","Thu Jun 05 16:04:25 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","42","No Auth - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 16:03:14 GMT 2025","passed","Thu Jun 05 16:03:14 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"Delete a report (soft delete)","37","Delete Report","QA|Nova Bank - Infopool","Thu Jun 05 16:04:29 GMT 2025","failed","Thu Jun 05 16:04:29 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","39","audit trail - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 16:03:12 GMT 2025","passed","Thu Jun 05 16:03:12 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","81","Forgot password - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:03:10 GMT 2025","failed","Thu Jun 05 16:03:10 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","37","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Thu Jun 05 16:04:25 GMT 2025","passed","Thu Jun 05 16:04:25 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","39","Get profile roles - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 16:03:11 GMT 2025","passed","Thu Jun 05 16:03:11 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","31","No Auth - Get all permissions","QA|Nova Bank - Infopool","Thu Jun 05 16:04:28 GMT 2025","passed","Thu Jun 05 16:04:28 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","247","Get Report Data - Question","QA|Nova Bank - Infopool","Thu Jun 05 16:04:29 GMT 2025","failed","Thu Jun 05 16:04:29 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","38","Add attachment to issue","QA|Nova Bank - Infopool","Thu Jun 05 16:03:15 GMT 2025","failed","Thu Jun 05 16:03:15 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","46","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Thu Jun 05 16:03:15 GMT 2025","passed","Thu Jun 05 16:03:15 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","36","Update user - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:04:25 GMT 2025","passed","Thu Jun 05 16:04:25 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","153","Weak password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 16:03:11 GMT 2025","passed","Thu Jun 05 16:03:11 GMT 2025","v1 > Profile > Password","Bank User","",""
"","33","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Thu Jun 05 16:04:25 GMT 2025","passed","Thu Jun 05 16:04:25 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","34","Add user to an organization - no auth","QA|Nova Bank - Infopool","Thu Jun 05 16:04:27 GMT 2025","passed","Thu Jun 05 16:04:27 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","71","audit trail","QA|Nova Bank - Infopool","Thu Jun 05 16:03:12 GMT 2025","passed","Thu Jun 05 16:03:12 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","49","Update profile","QA|Nova Bank - Infopool","Thu Jun 05 16:03:12 GMT 2025","failed","Thu Jun 05 16:03:12 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","33","Add user to an organization - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:04:27 GMT 2025","passed","Thu Jun 05 16:04:27 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","33","Logout session - no session","QA|Nova Bank - Infopool","Thu Jun 05 16:04:28 GMT 2025","passed","Thu Jun 05 16:04:28 GMT 2025","v1 > Logout","Bank Admin","",""
"","37","Create organization - no name","QA|Nova Bank - Infopool","Thu Jun 05 16:04:26 GMT 2025","passed","Thu Jun 05 16:04:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","34","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 16:04:27 GMT 2025","passed","Thu Jun 05 16:04:27 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","37","Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 16:03:15 GMT 2025","failed","Thu Jun 05 16:03:15 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Create a new report","47","Create Report - Duplicate name","QA|Nova Bank - Infopool","Thu Jun 05 16:04:29 GMT 2025","passed","Thu Jun 05 16:04:29 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","35","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Thu Jun 05 16:04:26 GMT 2025","passed","Thu Jun 05 16:04:26 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","35","Update organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:04:26 GMT 2025","passed","Thu Jun 05 16:04:26 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","35","Fetch all organizations","QA|Nova Bank - Infopool","Thu Jun 05 16:04:26 GMT 2025","passed","Thu Jun 05 16:04:26 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","240","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 16:03:14 GMT 2025","passed","Thu Jun 05 16:03:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","33","Get all permissions","QA|Nova Bank - Infopool","Thu Jun 05 16:04:28 GMT 2025","passed","Thu Jun 05 16:04:28 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","34","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Thu Jun 05 16:04:27 GMT 2025","passed","Thu Jun 05 16:04:27 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","104","Get events - invalid start date","QA|Nova Bank - Infopool","Thu Jun 05 16:03:12 GMT 2025","passed","Thu Jun 05 16:03:12 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get a specific report by ID","43","Get Report by UUID","QA|Nova Bank - Infopool","Thu Jun 05 16:04:28 GMT 2025","failed","Thu Jun 05 16:04:29 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","35","Update user - empty action field","QA|Nova Bank - Infopool","Thu Jun 05 16:04:26 GMT 2025","passed","Thu Jun 05 16:04:26 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","42","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 16:03:10 GMT 2025","passed","Thu Jun 05 16:03:10 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Create a new report","38","Create Report - No auth","QA|Nova Bank - Infopool","Thu Jun 05 16:04:29 GMT 2025","passed","Thu Jun 05 16:04:29 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","516","Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 16:03:13 GMT 2025","passed","Thu Jun 05 16:03:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","34","Health","QA|Nova Bank - Infopool","Thu Jun 05 16:04:25 GMT 2025","passed","Thu Jun 05 16:04:25 GMT 2025","v1 > Health","Bank Admin","",""
"Delete a report (soft delete)","62","Delete Report - Invalid id","QA|Nova Bank - Infopool","Thu Jun 05 16:04:29 GMT 2025","passed","Thu Jun 05 16:04:29 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","39","Update Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 16:03:15 GMT 2025","failed","Thu Jun 05 16:03:15 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","35","Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 16:04:25 GMT 2025","passed","Thu Jun 05 16:04:25 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","38","Create  organization","QA|Nova Bank - Infopool","Thu Jun 05 16:04:26 GMT 2025","passed","Thu Jun 05 16:04:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","148","Export Report Data","QA|Nova Bank - Infopool","Thu Jun 05 16:04:31 GMT 2025","failed","Thu Jun 05 16:04:31 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","35","Update definition","QA|Nova Bank - Infopool","Thu Jun 05 16:04:25 GMT 2025","passed","Thu Jun 05 16:04:25 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","52","Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 16:03:15 GMT 2025","passed","Thu Jun 05 16:03:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","41","No Auth - Change password","QA|Nova Bank - Infopool","Thu Jun 05 16:03:11 GMT 2025","passed","Thu Jun 05 16:03:11 GMT 2025","v1 > Profile > Password","Bank User","",""
"","38","Create organization - no country ID","QA|Nova Bank - Infopool","Thu Jun 05 16:04:26 GMT 2025","passed","Thu Jun 05 16:04:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","35","Create organization - empty street value","QA|Nova Bank - Infopool","Thu Jun 05 16:04:26 GMT 2025","passed","Thu Jun 05 16:04:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","35","get all category","QA|Nova Bank - Infopool","Thu Jun 05 16:04:28 GMT 2025","passed","Thu Jun 05 16:04:28 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","100","No auth - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 16:03:14 GMT 2025","passed","Thu Jun 05 16:03:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","31","Create roles - No auth","QA|Nova Bank - Infopool","Thu Jun 05 16:04:27 GMT 2025","passed","Thu Jun 05 16:04:27 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","46","Empty new password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 16:03:11 GMT 2025","passed","Thu Jun 05 16:03:11 GMT 2025","v1 > Profile > Password","Bank User","",""
"","35","No Auth - Update definition","QA|Nova Bank - Infopool","Thu Jun 05 16:04:25 GMT 2025","passed","Thu Jun 05 16:04:25 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","119","Add Comment to Issue","QA|Nova Bank - Infopool","Thu Jun 05 16:03:14 GMT 2025","passed","Thu Jun 05 16:03:15 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","4459","Successful login","QA|Nova Bank - Infopool","Thu Jun 05 16:03:00 GMT 2025","passed","Thu Jun 05 16:03:04 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","38","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Thu Jun 05 16:03:15 GMT 2025","passed","Thu Jun 05 16:03:15 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","37","Fetch all users","QA|Nova Bank - Infopool","Thu Jun 05 16:04:25 GMT 2025","passed","Thu Jun 05 16:04:25 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","40","Create organization - empty description","QA|Nova Bank - Infopool","Thu Jun 05 16:04:26 GMT 2025","passed","Thu Jun 05 16:04:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","34","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Thu Jun 05 16:04:27 GMT 2025","passed","Thu Jun 05 16:04:27 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","43","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 16:03:14 GMT 2025","passed","Thu Jun 05 16:03:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Update an existing report","36","Update Report - No auth","QA|Nova Bank - Infopool","Thu Jun 05 16:04:29 GMT 2025","passed","Thu Jun 05 16:04:29 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","47","Get profile roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:03:11 GMT 2025","passed","Thu Jun 05 16:03:11 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","41","No Auth - Get all Issues","QA|Nova Bank - Infopool","Thu Jun 05 16:03:14 GMT 2025","passed","Thu Jun 05 16:03:14 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","34","Remove user from an organization - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:04:27 GMT 2025","passed","Thu Jun 05 16:04:27 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","33","Role does not exist - update role","QA|Nova Bank - Infopool","Thu Jun 05 16:04:26 GMT 2025","passed","Thu Jun 05 16:04:26 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","37","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Thu Jun 05 16:03:15 GMT 2025","passed","Thu Jun 05 16:03:15 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","35","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Thu Jun 05 16:04:28 GMT 2025","passed","Thu Jun 05 16:04:28 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","45","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Thu Jun 05 16:04:31 GMT 2025","passed","Thu Jun 05 16:04:31 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","65","Get all Issues","QA|Nova Bank - Infopool","Thu Jun 05 16:03:14 GMT 2025","failed","Thu Jun 05 16:03:14 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","66272","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Thu Jun 05 16:03:18 GMT 2025","passed","Thu Jun 05 16:04:25 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Get a paginated list of reports with optional filtering","37","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 16:04:28 GMT 2025","passed","Thu Jun 05 16:04:28 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","37","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 16:03:16 GMT 2025","failed","Thu Jun 05 16:03:16 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","38","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 16:03:15 GMT 2025","passed","Thu Jun 05 16:03:15 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","33","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 16:04:27 GMT 2025","passed","Thu Jun 05 16:04:27 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","36","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Thu Jun 05 16:04:25 GMT 2025","passed","Thu Jun 05 16:04:25 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","38","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 16:03:15 GMT 2025","failed","Thu Jun 05 16:03:15 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
