"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","58","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Wed May 14 16:11:55 GMT 2025","failed","Wed May 14 16:11:55 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","51","Get events - no auth","QA|Nova Bank - Infopool","Wed May 14 16:11:39 GMT 2025","passed","Wed May 14 16:11:39 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","60","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Wed May 14 16:11:41 GMT 2025","failed","Wed May 14 16:11:41 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","53","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Wed May 14 16:11:53 GMT 2025","passed","Wed May 14 16:11:54 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","61","Get Issue by ID","QA|Nova Bank - Infopool","Wed May 14 16:11:41 GMT 2025","failed","Wed May 14 16:11:41 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","59","Add attachment to issue","QA|Nova Bank - Infopool","Wed May 14 16:11:41 GMT 2025","failed","Wed May 14 16:11:42 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","57","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed May 14 16:11:43 GMT 2025","failed","Wed May 14 16:11:43 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","60","Get events - invalid start date","QA|Nova Bank - Infopool","Wed May 14 16:11:39 GMT 2025","failed","Wed May 14 16:11:40 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","56","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Wed May 14 16:11:43 GMT 2025","failed","Wed May 14 16:11:43 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","52","Get profile - user not logged in","QA|Nova Bank - Infopool","Wed May 14 16:11:39 GMT 2025","passed","Wed May 14 16:11:39 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","52","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed May 14 16:11:43 GMT 2025","passed","Wed May 14 16:11:43 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","55","Add user to an organization - no auth","QA|Nova Bank - Infopool","Wed May 14 16:11:54 GMT 2025","passed","Wed May 14 16:11:54 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","63","Empty current password - Change password","QA|Nova Bank - Infopool","Wed May 14 16:11:39 GMT 2025","failed","Wed May 14 16:11:39 GMT 2025","v1 > Profile > Password","Bank User","",""
"","53","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Wed May 14 16:11:53 GMT 2025","passed","Wed May 14 16:11:53 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Create a new report","6180","Create Report - No auth","QA|Nova Bank - Infopool","Wed May 14 16:11:57 GMT 2025","passed","Wed May 14 16:12:03 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","67","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed May 14 16:11:42 GMT 2025","failed","Wed May 14 16:11:42 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","61","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 14 16:11:38 GMT 2025","passed","Wed May 14 16:11:38 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","58","No email - Forgot Password","QA|Nova Bank - Infopool","Wed May 14 16:11:38 GMT 2025","passed","Wed May 14 16:11:38 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Get a paginated list of reports with optional filtering","51","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Wed May 14 16:11:56 GMT 2025","passed","Wed May 14 16:11:56 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","59","Get all permissions","QA|Nova Bank - Infopool","Wed May 14 16:11:55 GMT 2025","failed","Wed May 14 16:11:55 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","53","Get Report Data - No auth","QA|Nova Bank - Infopool","Wed May 14 16:12:03 GMT 2025","passed","Wed May 14 16:12:03 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","58","Update profile - Invalid file size","QA|Nova Bank - Infopool","Wed May 14 16:11:39 GMT 2025","failed","Wed May 14 16:11:39 GMT 2025","v1 > Profile > update profile image","Bank User","",""
