"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43","Invalid name - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 13:15:21 GMT 2025","failed","Thu Jun 05 13:15:21 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","36","No auth - update role","QA|Nova Bank - Infopool","Thu Jun 05 13:15:29 GMT 2025","passed","Thu Jun 05 13:15:29 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","69","resend_invitation_toUser","QA|Nova Bank - Infopool","Thu Jun 05 13:15:18 GMT 2025","passed","Thu Jun 05 13:15:18 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","39","No auth - Create  organization","QA|Nova Bank - Infopool","Thu Jun 05 13:15:29 GMT 2025","passed","Thu Jun 05 13:15:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","51","Get all definitions","QA|Nova Bank - Infopool","Thu Jun 05 13:15:27 GMT 2025","passed","Thu Jun 05 13:15:27 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","45","Create organization - name already exists","QA|Nova Bank - Infopool","Thu Jun 05 13:15:29 GMT 2025","passed","Thu Jun 05 13:15:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","1924","Fetch Customers Transactions","QA|Nova Bank - Infopool","Thu Jun 05 13:15:22 GMT 2025","passed","Thu Jun 05 13:15:24 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","47","Role does not exist - update role","QA|Nova Bank - Infopool","Thu Jun 05 13:15:29 GMT 2025","passed","Thu Jun 05 13:15:29 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","38","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Thu Jun 05 13:15:20 GMT 2025","failed","Thu Jun 05 13:15:20 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","40","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 13:15:18 GMT 2025","passed","Thu Jun 05 13:15:18 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","35","Update Customer Comment Copy","QA|Nova Bank - Infopool","Thu Jun 05 13:15:21 GMT 2025","passed","Thu Jun 05 13:15:21 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","35","No auth - managers","QA|Nova Bank - Infopool","Thu Jun 05 13:15:31 GMT 2025","passed","Thu Jun 05 13:15:31 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
