"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","63","Invalid current password - Change password","QA|Nova Bank - Infopool","Sat May 24 01:38:31 GMT 2025","failed","Sat May 24 01:38:31 GMT 2025","v1 > Profile > Password","Bank User","",""
"","60","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Sat May 24 01:38:42 GMT 2025","failed","Sat May 24 01:38:42 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","60","No auth - managers","QA|Nova Bank - Infopool","Sat May 24 01:38:41 GMT 2025","passed","Sat May 24 01:38:41 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","114","verifyOTP","QA|Nova Bank - Infopool","Sat May 24 01:38:29 GMT 2025","passed","Sat May 24 01:38:29 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","58","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sat May 24 01:38:36 GMT 2025","passed","Sat May 24 01:38:36 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","60","Create  organization","QA|Nova Bank - Infopool","Sat May 24 01:38:38 GMT 2025","failed","Sat May 24 01:38:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","57","Search Customers","QA|Nova Bank - Infopool","Sat May 24 01:38:36 GMT 2025","failed","Sat May 24 01:38:36 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","59","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sat May 24 01:38:41 GMT 2025","failed","Sat May 24 01:38:42 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","58","Fetch Customers Channels","QA|Nova Bank - Infopool","Sat May 24 01:38:37 GMT 2025","failed","Sat May 24 01:38:37 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","59","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sat May 24 01:38:36 GMT 2025","passed","Sat May 24 01:38:36 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"Create a new report","60","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sat May 24 01:38:43 GMT 2025","failed","Sat May 24 01:38:43 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","60","Fetch all users in an organization","QA|Nova Bank - Infopool","Sat May 24 01:38:40 GMT 2025","failed","Sat May 24 01:38:40 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","61","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sat May 24 01:38:44 GMT 2025","failed","Sat May 24 01:38:44 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","95","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat May 24 01:38:30 GMT 2025","passed","Sat May 24 01:38:30 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","58","Health","QA|Nova Bank - Infopool","Sat May 24 01:38:37 GMT 2025","failed","Sat May 24 01:38:37 GMT 2025","v1 > Health","Bank Admin","",""
"","58","Get role by ID - no auth","QA|Nova Bank - Infopool","Sat May 24 01:38:42 GMT 2025","passed","Sat May 24 01:38:42 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","59","Fetch all users","QA|Nova Bank - Infopool","Sat May 24 01:38:38 GMT 2025","failed","Sat May 24 01:38:38 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","63","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sat May 24 01:38:39 GMT 2025","failed","Sat May 24 01:38:40 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Update an existing report","61","Update Report - Invalid id","QA|Nova Bank - Infopool","Sat May 24 01:38:44 GMT 2025","failed","Sat May 24 01:38:44 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","58","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sat May 24 01:38:36 GMT 2025","passed","Sat May 24 01:38:36 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","59","Update profile - no phone number","QA|Nova Bank - Infopool","Sat May 24 01:38:31 GMT 2025","failed","Sat May 24 01:38:31 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","747","Successful login","QA|Nova Bank - Infopool","Sat May 24 01:38:28 GMT 2025","passed","Sat May 24 01:38:29 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","59","Logout session - no session","QA|Nova Bank - Infopool","Sat May 24 01:38:42 GMT 2025","passed","Sat May 24 01:38:42 GMT 2025","v1 > Logout","Bank Admin","",""
"","60","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sat May 24 01:38:31 GMT 2025","failed","Sat May 24 01:38:32 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","62","Fetch all organizations","QA|Nova Bank - Infopool","Sat May 24 01:38:39 GMT 2025","failed","Sat May 24 01:38:39 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","61","Create  organization - without parent id","QA|Nova Bank - Infopool","Sat May 24 01:38:38 GMT 2025","failed","Sat May 24 01:38:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","63","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sat May 24 01:38:32 GMT 2025","passed","Sat May 24 01:38:32 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","58","Get permission by ID - successful","QA|Nova Bank - Infopool","Sat May 24 01:38:42 GMT 2025","failed","Sat May 24 01:38:42 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","60","audit trail - No Auth","QA|Nova Bank - Infopool","Sat May 24 01:38:32 GMT 2025","passed","Sat May 24 01:38:32 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","58","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sat May 24 01:38:37 GMT 2025","passed","Sat May 24 01:38:37 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","60","Create organization - empty mis code","QA|Nova Bank - Infopool","Sat May 24 01:38:39 GMT 2025","failed","Sat May 24 01:38:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","133","Logout session successfully","QA|Nova Bank - Infopool","Sat May 24 01:38:42 GMT 2025","failed","Sat May 24 01:38:42 GMT 2025","v1 > Logout","Bank Admin","",""
"","58","Update user - no auth","QA|Nova Bank - Infopool","Sat May 24 01:38:38 GMT 2025","passed","Sat May 24 01:38:38 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","61","Get events - successful","QA|Nova Bank - Infopool","Sat May 24 01:38:32 GMT 2025","failed","Sat May 24 01:38:32 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","59","Create organization - empty description","QA|Nova Bank - Infopool","Sat May 24 01:38:39 GMT 2025","failed","Sat May 24 01:38:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","62","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sat May 24 01:38:32 GMT 2025","passed","Sat May 24 01:38:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","57","Get all definitions","QA|Nova Bank - Infopool","Sat May 24 01:38:37 GMT 2025","failed","Sat May 24 01:38:37 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","60","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sat May 24 01:38:40 GMT 2025","passed","Sat May 24 01:38:41 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","9","New Request","QA|Nova Bank - Infopool","Sat May 24 01:38:37 GMT 2025","broken","Sat May 24 01:38:37 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","61","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sat May 24 01:38:39 GMT 2025","failed","Sat May 24 01:38:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","60","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Sat May 24 01:38:43 GMT 2025","passed","Sat May 24 01:38:43 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","59","No auth - get user role","QA|Nova Bank - Infopool","Sat May 24 01:38:38 GMT 2025","passed","Sat May 24 01:38:38 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","61","Create organization - no country ID","QA|Nova Bank - Infopool","Sat May 24 01:38:39 GMT 2025","failed","Sat May 24 01:38:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","61","Get events - invalid end date","QA|Nova Bank - Infopool","Sat May 24 01:38:32 GMT 2025","failed","Sat May 24 01:38:32 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Create a new report","60","Create Report - Empty category","QA|Nova Bank - Infopool","Sat May 24 01:38:43 GMT 2025","failed","Sat May 24 01:38:43 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","60","Fetch Customer By ID","QA|Nova Bank - Infopool","Sat May 24 01:38:36 GMT 2025","failed","Sat May 24 01:38:36 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","59","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sat May 24 01:38:37 GMT 2025","failed","Sat May 24 01:38:38 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","59","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sat May 24 01:38:36 GMT 2025","failed","Sat May 24 01:38:36 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","61","Add Comment to Issue","QA|Nova Bank - Infopool","Sat May 24 01:38:34 GMT 2025","failed","Sat May 24 01:38:34 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","61","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sat May 24 01:38:40 GMT 2025","failed","Sat May 24 01:38:40 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","154","Invalid credentials","QA|Nova Bank - Infopool","Sat May 24 01:38:29 GMT 2025","passed","Sat May 24 01:38:29 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","64","verify OTP","QA|Nova Bank - Infopool","Sat May 24 01:38:30 GMT 2025","failed","Sat May 24 01:38:30 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","189","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sat May 24 01:38:33 GMT 2025","passed","Sat May 24 01:38:33 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","60","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sat May 24 01:38:44 GMT 2025","failed","Sat May 24 01:38:44 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","61","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sat May 24 01:38:40 GMT 2025","failed","Sat May 24 01:38:40 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","60","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sat May 24 01:38:35 GMT 2025","failed","Sat May 24 01:38:35 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","60","update role","QA|Nova Bank - Infopool","Sat May 24 01:38:38 GMT 2025","failed","Sat May 24 01:38:38 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","60","Fetch Customer Comments","QA|Nova Bank - Infopool","Sat May 24 01:38:35 GMT 2025","failed","Sat May 24 01:38:35 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","60","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sat May 24 01:38:40 GMT 2025","failed","Sat May 24 01:38:40 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","60","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sat May 24 01:38:35 GMT 2025","failed","Sat May 24 01:38:35 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","60","Get role by ID - successful","QA|Nova Bank - Infopool","Sat May 24 01:38:41 GMT 2025","failed","Sat May 24 01:38:41 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","60","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sat May 24 01:38:35 GMT 2025","failed","Sat May 24 01:38:35 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","57","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sat May 24 01:38:37 GMT 2025","failed","Sat May 24 01:38:37 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","61","Update definition","QA|Nova Bank - Infopool","Sat May 24 01:38:37 GMT 2025","failed","Sat May 24 01:38:37 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","59","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sat May 24 01:38:30 GMT 2025","passed","Sat May 24 01:38:30 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","59","Get profile - user not logged in","QA|Nova Bank - Infopool","Sat May 24 01:38:31 GMT 2025","passed","Sat May 24 01:38:31 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","61","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sat May 24 01:38:32 GMT 2025","failed","Sat May 24 01:38:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","60","Update user - empty action field","QA|Nova Bank - Infopool","Sat May 24 01:38:38 GMT 2025","failed","Sat May 24 01:38:38 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","58","audit trail","QA|Nova Bank - Infopool","Sat May 24 01:38:32 GMT 2025","failed","Sat May 24 01:38:32 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","64","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat May 24 01:38:30 GMT 2025","passed","Sat May 24 01:38:30 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","58","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sat May 24 01:38:38 GMT 2025","passed","Sat May 24 01:38:38 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","61","Get Report Objects - Question","QA|Nova Bank - Infopool","Sat May 24 01:38:43 GMT 2025","failed","Sat May 24 01:38:43 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","58","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sat May 24 01:38:36 GMT 2025","passed","Sat May 24 01:38:37 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","59","Add user to an organization - successful","QA|Nova Bank - Infopool","Sat May 24 01:38:40 GMT 2025","failed","Sat May 24 01:38:40 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","64","Send user invitation token - successful","QA|Nova Bank - Infopool","Sat May 24 01:38:32 GMT 2025","passed","Sat May 24 01:38:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","60","Update profile - successful","QA|Nova Bank - Infopool","Sat May 24 01:38:31 GMT 2025","failed","Sat May 24 01:38:31 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","59","managers","QA|Nova Bank - Infopool","Sat May 24 01:38:41 GMT 2025","failed","Sat May 24 01:38:41 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","58","Create organization - name already exists","QA|Nova Bank - Infopool","Sat May 24 01:38:39 GMT 2025","passed","Sat May 24 01:38:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","60","Create organization - empty street value","QA|Nova Bank - Infopool","Sat May 24 01:38:39 GMT 2025","failed","Sat May 24 01:38:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","59","Get Report by UUID","QA|Nova Bank - Infopool","Sat May 24 01:38:43 GMT 2025","failed","Sat May 24 01:38:43 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","63","No Auth - Change password","QA|Nova Bank - Infopool","Sat May 24 01:38:31 GMT 2025","passed","Sat May 24 01:38:31 GMT 2025","v1 > Profile > Password","Bank User","",""
"","60","Update Issue","QA|Nova Bank - Infopool","Sat May 24 01:38:34 GMT 2025","failed","Sat May 24 01:38:34 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","59","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sat May 24 01:38:36 GMT 2025","failed","Sat May 24 01:38:36 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","60","Export Report Data - No auth","QA|Nova Bank - Infopool","Sat May 24 01:38:44 GMT 2025","passed","Sat May 24 01:38:44 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","61","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sat May 24 01:38:34 GMT 2025","failed","Sat May 24 01:38:34 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","56","No Auth - Search Customers","QA|Nova Bank - Infopool","Sat May 24 01:38:36 GMT 2025","passed","Sat May 24 01:38:36 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","63","Weak password - Change password","QA|Nova Bank - Infopool","Sat May 24 01:38:31 GMT 2025","failed","Sat May 24 01:38:31 GMT 2025","v1 > Profile > Password","Bank User","",""
"","62","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sat May 24 01:38:40 GMT 2025","failed","Sat May 24 01:38:40 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","61","No auth - get all category","QA|Nova Bank - Infopool","Sat May 24 01:38:42 GMT 2025","passed","Sat May 24 01:38:42 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","60","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sat May 24 01:38:40 GMT 2025","failed","Sat May 24 01:38:40 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","61","get user role","QA|Nova Bank - Infopool","Sat May 24 01:38:38 GMT 2025","failed","Sat May 24 01:38:38 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","57","No Auth - Get all permissions","QA|Nova Bank - Infopool","Sat May 24 01:38:42 GMT 2025","passed","Sat May 24 01:38:42 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","59","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sat May 24 01:38:34 GMT 2025","passed","Sat May 24 01:38:34 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","342","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Sat May 24 01:38:33 GMT 2025","failed","Sat May 24 01:38:34 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get a specific report by ID","57","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Sat May 24 01:38:43 GMT 2025","passed","Sat May 24 01:38:43 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","60","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sat May 24 01:38:40 GMT 2025","failed","Sat May 24 01:38:40 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","58","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sat May 24 01:38:41 GMT 2025","failed","Sat May 24 01:38:41 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","60","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sat May 24 01:38:37 GMT 2025","failed","Sat May 24 01:38:37 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","58","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sat May 24 01:38:36 GMT 2025","failed","Sat May 24 01:38:36 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","57","Get roles - No Auth","QA|Nova Bank - Infopool","Sat May 24 01:38:41 GMT 2025","passed","Sat May 24 01:38:41 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","62","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sat May 24 01:38:40 GMT 2025","failed","Sat May 24 01:38:40 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
