"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","196","Change password - invalid current password","QA|Nova Bank - Infopool","Sun Mar 30 20:25:12 GMT 2025","passed","Sun Mar 30 20:25:12 GMT 2025","v1 > Profile > Password","Bank User","",""
"","103","Update definition","QA|Nova Bank - Infopool","Sun Mar 30 20:25:29 GMT 2025","passed","Sun Mar 30 20:25:30 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","82","Delete Attachment from Issue invalid attachment id","QA|Nova Bank - Infopool","Sun Mar 30 20:25:16 GMT 2025","failed","Sun Mar 30 20:25:17 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","89","Update role status","QA|Nova Bank - Infopool","Sun Mar 30 20:25:38 GMT 2025","passed","Sun Mar 30 20:25:38 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","920","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Mar 30 20:25:21 GMT 2025","passed","Sun Mar 30 20:25:22 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","120","Forgot password - successful","QA|Nova Bank - Infopool","Sun Mar 30 20:25:11 GMT 2025","passed","Sun Mar 30 20:25:11 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","122","Create  organization","QA|Nova Bank - Infopool","Sun Mar 30 20:25:31 GMT 2025","passed","Sun Mar 30 20:25:31 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","72","Send user invitation token - empty authentication type","QA|Nova Bank - Infopool","Sun Mar 30 20:25:14 GMT 2025","passed","Sun Mar 30 20:25:15 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","72","Send user invitation token - empty password","QA|Nova Bank - Infopool","Sun Mar 30 20:25:15 GMT 2025","passed","Sun Mar 30 20:25:15 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","317","Add Comment to Customer","QA|Nova Bank - Infopool","Sun Mar 30 20:25:17 GMT 2025","passed","Sun Mar 30 20:25:17 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
