"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","No auth - Update role status","QA|Nova Bank - Infopool","Sun Jun 08 21:07:57 GMT 2025","passed","Sun Jun 08 21:07:58 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","50","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:06:36 GMT 2025","passed","Sun Jun 08 21:06:36 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","237","audit trail","QA|Nova Bank - Infopool","Sun Jun 08 21:06:35 GMT 2025","passed","Sun Jun 08 21:06:35 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","26","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:07:56 GMT 2025","passed","Sun Jun 08 21:07:56 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","40","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 21:06:44 GMT 2025","failed","Sun Jun 08 21:06:44 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","55","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:06:30 GMT 2025","passed","Sun Jun 08 21:06:30 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","40","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sun Jun 08 21:06:45 GMT 2025","failed","Sun Jun 08 21:06:45 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","3160","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:06:39 GMT 2025","passed","Sun Jun 08 21:06:42 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a specific report by ID","25","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:07:58 GMT 2025","passed","Sun Jun 08 21:07:58 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","29","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:07:57 GMT 2025","passed","Sun Jun 08 21:07:57 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","47","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:06:35 GMT 2025","passed","Sun Jun 08 21:06:35 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","27","No auth - managers","QA|Nova Bank - Infopool","Sun Jun 08 21:07:57 GMT 2025","passed","Sun Jun 08 21:07:57 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"Delete a report (soft delete)","25","Delete Report -No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:07:58 GMT 2025","passed","Sun Jun 08 21:07:59 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","25","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:07:57 GMT 2025","passed","Sun Jun 08 21:07:57 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","36","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:06:36 GMT 2025","passed","Sun Jun 08 21:06:36 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","26","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:07:56 GMT 2025","passed","Sun Jun 08 21:07:56 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","59","Update profile - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:06:33 GMT 2025","passed","Sun Jun 08 21:06:33 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","23","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:07:56 GMT 2025","passed","Sun Jun 08 21:07:56 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","57","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:06:43 GMT 2025","passed","Sun Jun 08 21:06:43 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","67","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 21:06:44 GMT 2025","passed","Sun Jun 08 21:06:44 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","24","Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 21:07:56 GMT 2025","passed","Sun Jun 08 21:07:57 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","27","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Jun 08 21:07:57 GMT 2025","passed","Sun Jun 08 21:07:57 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","269","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Jun 08 21:06:49 GMT 2025","passed","Sun Jun 08 21:06:49 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","92","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:06:43 GMT 2025","passed","Sun Jun 08 21:06:43 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","23","get user role","QA|Nova Bank - Infopool","Sun Jun 08 21:07:56 GMT 2025","passed","Sun Jun 08 21:07:56 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","154","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Jun 08 21:06:35 GMT 2025","passed","Sun Jun 08 21:06:35 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","44","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:06:45 GMT 2025","failed","Sun Jun 08 21:06:45 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","25","Export Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:07:59 GMT 2025","passed","Sun Jun 08 21:07:59 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","39","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Jun 08 21:06:45 GMT 2025","failed","Sun Jun 08 21:06:45 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","32","No Auth - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:06:32 GMT 2025","passed","Sun Jun 08 21:06:32 GMT 2025","v1 > Profile > Password","Bank User","",""
"","56","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun Jun 08 21:06:33 GMT 2025","passed","Sun Jun 08 21:06:33 GMT 2025","v1 > Profile > Get profile","Bank User","",""
