"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33","Update role status - role does not exist","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","72","Update profile - no phone number","QA|Nova Bank - Infopool","Sat Jun 07 22:56:03 GMT 2025","passed","Sat Jun 07 22:56:03 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","216","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:56:05 GMT 2025","passed","Sat Jun 07 22:56:05 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","35","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","41","audit trail - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 22:56:04 GMT 2025","passed","Sat Jun 07 22:56:04 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","38","No Auth - Update Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:56:06 GMT 2025","failed","Sat Jun 07 22:56:06 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","33","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","63141","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sat Jun 07 22:56:17 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","32","No auth - get all category","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","49","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sat Jun 07 22:56:03 GMT 2025","passed","Sat Jun 07 22:56:03 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","33","Get permission by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","44","Add attachment to issue","QA|Nova Bank - Infopool","Sat Jun 07 22:56:06 GMT 2025","failed","Sat Jun 07 22:56:06 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","93","Invalid email format","QA|Nova Bank - Infopool","Sat Jun 07 22:56:00 GMT 2025","passed","Sat Jun 07 22:56:00 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","98","No Auth - Change password","QA|Nova Bank - Infopool","Sat Jun 07 22:56:02 GMT 2025","passed","Sat Jun 07 22:56:02 GMT 2025","v1 > Profile > Password","Bank User","",""
"","34","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","32","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","50","Empty current password - Change password","QA|Nova Bank - Infopool","Sat Jun 07 22:56:02 GMT 2025","passed","Sat Jun 07 22:56:02 GMT 2025","v1 > Profile > Password","Bank User","",""
"","856","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sat Jun 07 22:56:14 GMT 2025","passed","Sat Jun 07 22:56:15 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","40","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 22:56:01 GMT 2025","passed","Sat Jun 07 22:56:01 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","36","Update definition","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","39","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 22:56:13 GMT 2025","failed","Sat Jun 07 22:56:13 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","36","Get single definition","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","32","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","41","Get profile - user not logged in","QA|Nova Bank - Infopool","Sat Jun 07 22:56:03 GMT 2025","passed","Sat Jun 07 22:56:03 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","35","successful dashboard embed","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","embed dashboard","Bank User","",""
"","48","Empty new password - Change password","QA|Nova Bank - Infopool","Sat Jun 07 22:56:02 GMT 2025","passed","Sat Jun 07 22:56:02 GMT 2025","v1 > Profile > Password","Bank User","",""
"","54","Update Customer Comment Copy","QA|Nova Bank - Infopool","Sat Jun 07 22:56:13 GMT 2025","passed","Sat Jun 07 22:56:13 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","2578","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sat Jun 07 22:56:15 GMT 2025","passed","Sat Jun 07 22:56:17 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","49","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sat Jun 07 22:56:00 GMT 2025","passed","Sat Jun 07 22:56:00 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Update an existing report","34","Update Report - Invalid id","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","392","reset password","QA|Nova Bank - Infopool","Sat Jun 07 22:56:00 GMT 2025","passed","Sat Jun 07 22:56:01 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","80","verify OTP","QA|Nova Bank - Infopool","Sat Jun 07 22:56:01 GMT 2025","passed","Sat Jun 07 22:56:01 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","35","managers","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","35","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","34","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","35","Export Report Data","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","failed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","34","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","54","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 22:56:13 GMT 2025","passed","Sat Jun 07 22:56:13 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","35","No auth - managers","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","270","Get profile - successfully","QA|Nova Bank - Infopool","Sat Jun 07 22:56:02 GMT 2025","passed","Sat Jun 07 22:56:03 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","35","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","144","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sat Jun 07 22:56:17 GMT 2025","passed","Sat Jun 07 22:56:17 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","37","get user role","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","34","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","35","Add user to an organization - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","45","Update Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:56:06 GMT 2025","failed","Sat Jun 07 22:56:06 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","124","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sat Jun 07 22:56:04 GMT 2025","passed","Sat Jun 07 22:56:04 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","50","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 22:56:01 GMT 2025","passed","Sat Jun 07 22:56:01 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","168","Get events - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:56:03 GMT 2025","passed","Sat Jun 07 22:56:04 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","34","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","","corporate Adjustment","",""
"Get a specific report by ID","35","Get Report by ID","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","55","Delete Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 22:56:13 GMT 2025","failed","Sat Jun 07 22:56:13 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Get a paginated list of reports with optional filtering","35","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","34","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","36","Get roles - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","39","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sat Jun 07 22:56:14 GMT 2025","failed","Sat Jun 07 22:56:14 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","126","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 22:56:01 GMT 2025","passed","Sat Jun 07 22:56:01 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","38","Create  organization - without parent id","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","37","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","35","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","43","Update profile - no auth","QA|Nova Bank - Infopool","Sat Jun 07 22:56:03 GMT 2025","passed","Sat Jun 07 22:56:03 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get a paginated list of reports with optional filtering","32","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"Update an existing report","33","Update Report - No auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","40","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Sat Jun 07 22:56:07 GMT 2025","passed","Sat Jun 07 22:56:07 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","39","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:56:06 GMT 2025","failed","Sat Jun 07 22:56:06 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Get a paginated list of reports with optional filtering","35","Get Report Objects - Question","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","34","Role does not exist - update role","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","319","Weak password - Change password","QA|Nova Bank - Infopool","Sat Jun 07 22:56:02 GMT 2025","passed","Sat Jun 07 22:56:02 GMT 2025","v1 > Profile > Password","Bank User","",""
"","84","verifyOTP","QA|Nova Bank - Infopool","Sat Jun 07 22:56:00 GMT 2025","passed","Sat Jun 07 22:56:00 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","36","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","","corporate Adjustment","",""
"","67","resend_invitation_toUser","QA|Nova Bank - Infopool","Sat Jun 07 22:56:05 GMT 2025","passed","Sat Jun 07 22:56:05 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","34","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"Create a new report","36","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","34","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","47","Update profile","QA|Nova Bank - Infopool","Sat Jun 07 22:56:03 GMT 2025","failed","Sat Jun 07 22:56:03 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","35","Update user - ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Create a new report","34","Create Report","QA|Nova Bank - Infopool","Sat Jun 07 22:57:25 GMT 2025","passed","Sat Jun 07 22:57:25 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","34","Create roles - No auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","54","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 22:56:13 GMT 2025","failed","Sat Jun 07 22:56:13 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","40","No Auth - Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 22:56:14 GMT 2025","passed","Sat Jun 07 22:56:14 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","37","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 22:56:05 GMT 2025","passed","Sat Jun 07 22:56:05 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","91","Forgot password - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:56:00 GMT 2025","failed","Sat Jun 07 22:56:00 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","42","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sat Jun 07 22:56:14 GMT 2025","passed","Sat Jun 07 22:56:14 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","40","Update Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 22:56:13 GMT 2025","failed","Sat Jun 07 22:56:13 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","39","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 22:56:05 GMT 2025","passed","Sat Jun 07 22:56:05 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","34","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","36","No Auth - Update definition","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","199","Get events - invalid end date","QA|Nova Bank - Infopool","Sat Jun 07 22:56:04 GMT 2025","passed","Sat Jun 07 22:56:04 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","34","Create organization - empty street value","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","49","Add Comment to Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:56:06 GMT 2025","failed","Sat Jun 07 22:56:06 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","38","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 22:56:13 GMT 2025","failed","Sat Jun 07 22:56:13 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","37","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","40","Get all Issues","QA|Nova Bank - Infopool","Sat Jun 07 22:56:06 GMT 2025","failed","Sat Jun 07 22:56:06 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","38","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","37","Get Reports","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","33","Fetch all users in an organization","QA|Nova Bank - Infopool","Sat Jun 07 22:57:23 GMT 2025","passed","Sat Jun 07 22:57:23 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","32","Get role by ID - no auth","QA|Nova Bank - Infopool","Sat Jun 07 22:57:24 GMT 2025","passed","Sat Jun 07 22:57:24 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","37","No auth - Create  organization","QA|Nova Bank - Infopool","Sat Jun 07 22:57:22 GMT 2025","passed","Sat Jun 07 22:57:22 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","97","Get profile - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 22:56:03 GMT 2025","passed","Sat Jun 07 22:56:03 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","47","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 22:56:05 GMT 2025","passed","Sat Jun 07 22:56:05 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","35","Empty fields - Update definition","QA|Nova Bank - Infopool","Sat Jun 07 22:57:21 GMT 2025","passed","Sat Jun 07 22:57:21 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","771","Successful login","QA|Nova Bank - Infopool","Sat Jun 07 22:55:52 GMT 2025","passed","Sat Jun 07 22:55:53 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
