"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:40:31 GMT 2025","passed","Thu Jun 05 23:40:31 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","24","Update user - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","59","Update profile","QA|Nova Bank - Infopool","Thu Jun 05 23:40:19 GMT 2025","failed","Thu Jun 05 23:40:19 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","24","No auth - Update role status","QA|Nova Bank - Infopool","Thu Jun 05 23:41:42 GMT 2025","passed","Thu Jun 05 23:41:42 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","26","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:44 GMT 2025","","corporate Adjustment","",""
"","43","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 23:40:21 GMT 2025","passed","Thu Jun 05 23:40:21 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","25","Create organization - name already exists","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","37","Update profile - invalid phone number","QA|Nova Bank - Infopool","Thu Jun 05 23:40:19 GMT 2025","passed","Thu Jun 05 23:40:19 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","24","No auth - update role","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","50","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Thu Jun 05 23:40:34 GMT 2025","passed","Thu Jun 05 23:40:34 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","32","Get profile - user not logged in","QA|Nova Bank - Infopool","Thu Jun 05 23:40:19 GMT 2025","passed","Thu Jun 05 23:40:19 GMT 2025","v1 > Profile > Get profile","Bank User","",""
