"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Mon Jun 02 12:09:24 GMT 2025","failed","Mon Jun 02 12:09:24 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","38","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Mon Jun 02 12:09:15 GMT 2025","passed","Mon Jun 02 12:09:15 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","38","Logout session - no session","QA|Nova Bank - Infopool","Mon Jun 02 12:09:26 GMT 2025","passed","Mon Jun 02 12:09:26 GMT 2025","v1 > Logout","Bank Admin","",""
"Get a paginated list of reports with optional filtering","37","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Mon Jun 02 12:09:26 GMT 2025","passed","Mon Jun 02 12:09:26 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","49","Update profile","QA|Nova Bank - Infopool","Mon Jun 02 12:09:08 GMT 2025","failed","Mon Jun 02 12:09:08 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","40","Fetch Customer Comments","QA|Nova Bank - Infopool","Mon Jun 02 12:09:11 GMT 2025","failed","Mon Jun 02 12:09:11 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","42","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Mon Jun 02 12:09:24 GMT 2025","passed","Mon Jun 02 12:09:24 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","36","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Mon Jun 02 12:09:15 GMT 2025","passed","Mon Jun 02 12:09:15 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","227","reset password","QA|Nova Bank - Infopool","Mon Jun 02 12:09:06 GMT 2025","passed","Mon Jun 02 12:09:06 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","9","New Request","QA|Nova Bank - Infopool","Mon Jun 02 12:09:19 GMT 2025","broken","Mon Jun 02 12:09:19 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","43","No email - Forgot Password","QA|Nova Bank - Infopool","Mon Jun 02 12:09:06 GMT 2025","passed","Mon Jun 02 12:09:06 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","38","No auth - Create  organization","QA|Nova Bank - Infopool","Mon Jun 02 12:09:23 GMT 2025","passed","Mon Jun 02 12:09:23 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","41","Add attachment to issue","QA|Nova Bank - Infopool","Mon Jun 02 12:09:11 GMT 2025","failed","Mon Jun 02 12:09:11 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"Get a paginated list of reports with optional filtering","69","Get Reports Stats","QA|Nova Bank - Infopool","Mon Jun 02 12:09:26 GMT 2025","passed","Mon Jun 02 12:09:26 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","38","No Auth - Get all definitions","QA|Nova Bank - Infopool","Mon Jun 02 12:09:15 GMT 2025","passed","Mon Jun 02 12:09:16 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","37","Invalid name - Search Customers","QA|Nova Bank - Infopool","Mon Jun 02 12:09:12 GMT 2025","failed","Mon Jun 02 12:09:12 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","69","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Mon Jun 02 12:09:23 GMT 2025","passed","Mon Jun 02 12:09:23 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Update an existing report","46","Update Report - Invalid id","QA|Nova Bank - Infopool","Mon Jun 02 12:09:28 GMT 2025","passed","Mon Jun 02 12:09:28 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","138","Get Email or SMS OTP","QA|Nova Bank - Infopool","Mon Jun 02 12:09:06 GMT 2025","passed","Mon Jun 02 12:09:06 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
