"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Feb 15 20:14:43 UTC 2026","broken","Sun Feb 15 20:14:43 UTC 2026","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","60","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun Feb 15 20:14:46 UTC 2026","broken","Sun Feb 15 20:14:46 UTC 2026","v1 > Organizations > Fetch organization","Bank Admin","",""
"","57","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Feb 15 20:14:44 UTC 2026","broken","Sun Feb 15 20:14:44 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","64","No auth - update role","QA|Nova Bank - Infopool","Sun Feb 15 20:14:45 UTC 2026","broken","Sun Feb 15 20:14:45 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","73","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Feb 15 20:14:37 UTC 2026","broken","Sun Feb 15 20:14:37 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","63","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Feb 15 20:14:37 UTC 2026","broken","Sun Feb 15 20:14:37 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"Update an existing report","62","Update Report - No auth","QA|Nova Bank - Infopool","Sun Feb 15 20:14:50 UTC 2026","broken","Sun Feb 15 20:14:50 UTC 2026","v1 > Report > Update Report","Bank Admin","",""
"","60","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Feb 15 20:14:48 UTC 2026","broken","Sun Feb 15 20:14:48 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"","71","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Feb 15 20:14:47 UTC 2026","broken","Sun Feb 15 20:14:47 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","63","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sun Feb 15 20:14:49 UTC 2026","broken","Sun Feb 15 20:14:50 UTC 2026","v1 > Report > Get Report Stats","Bank Admin","",""
"","61","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Feb 15 20:14:48 UTC 2026","broken","Sun Feb 15 20:14:48 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"","61","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Feb 15 20:14:47 UTC 2026","broken","Sun Feb 15 20:14:47 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","56","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Feb 15 20:14:46 UTC 2026","broken","Sun Feb 15 20:14:46 UTC 2026","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Get a specific report by ID","55","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Feb 15 20:14:50 UTC 2026","broken","Sun Feb 15 20:14:50 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"","55","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Feb 15 20:14:38 UTC 2026","broken","Sun Feb 15 20:14:38 UTC 2026","v1 > Profile > Get profile","Bank User","",""
"","62","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Feb 15 20:14:47 UTC 2026","broken","Sun Feb 15 20:14:47 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","69","Get permission by ID - successful","QA|Nova Bank - Infopool","Sun Feb 15 20:14:49 UTC 2026","broken","Sun Feb 15 20:14:49 UTC 2026","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","60","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sun Feb 15 20:14:43 UTC 2026","broken","Sun Feb 15 20:14:43 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
