"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","128","Get events - invalid start date","QA|Nova Bank - Infopool","Wed Jan 28 18:59:34 UTC 2026","broken","Wed Jan 28 18:59:34 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","123","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Wed Jan 28 18:59:35 UTC 2026","broken","Wed Jan 28 18:59:35 UTC 2026","v1 > Onboarding > Validate invitation","Bank User","",""
"","129","Add user to an organization - successful","QA|Nova Bank - Infopool","Wed Jan 28 18:59:50 UTC 2026","broken","Wed Jan 28 18:59:50 UTC 2026","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","130","Get Reports Stats","QA|Nova Bank - Infopool","Wed Jan 28 18:59:55 UTC 2026","broken","Wed Jan 28 18:59:55 UTC 2026","v1 > Report > Get Report Stats","Bank Admin","",""
"","125","Create organization - empty street value","QA|Nova Bank - Infopool","Wed Jan 28 18:59:47 UTC 2026","broken","Wed Jan 28 18:59:48 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","126","Logout session successfully","QA|Nova Bank - Infopool","Wed Jan 28 18:59:54 UTC 2026","broken","Wed Jan 28 18:59:54 UTC 2026","v1 > Logout","Bank Admin","",""
"","126","Fetch Customers Channels","QA|Nova Bank - Infopool","Wed Jan 28 18:59:42 UTC 2026","broken","Wed Jan 28 18:59:43 UTC 2026","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"Create a new report","125","Create Report - Duplicate name","QA|Nova Bank - Infopool","Wed Jan 28 18:59:56 UTC 2026","broken","Wed Jan 28 18:59:56 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"","132","No Auth - Get all definitions","QA|Nova Bank - Infopool","Wed Jan 28 18:59:43 UTC 2026","broken","Wed Jan 28 18:59:43 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Create a new report","134","Create Report - Empty category","QA|Nova Bank - Infopool","Wed Jan 28 18:59:56 UTC 2026","broken","Wed Jan 28 18:59:56 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"Update an existing report","127","Update Report - Invalid id","QA|Nova Bank - Infopool","Wed Jan 28 18:59:57 UTC 2026","broken","Wed Jan 28 18:59:57 UTC 2026","v1 > Report > Update Report","Bank Admin","",""
"","127","No_auth_add_comments","QA|Nova Bank - Infopool","Wed Jan 28 18:59:39 UTC 2026","broken","Wed Jan 28 18:59:39 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","128","add_comment_successfully","QA|Nova Bank - Infopool","Wed Jan 28 18:59:39 UTC 2026","broken","Wed Jan 28 18:59:39 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","127","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Wed Jan 28 18:59:51 UTC 2026","broken","Wed Jan 28 18:59:51 UTC 2026","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","130","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed Jan 28 18:59:50 UTC 2026","broken","Wed Jan 28 18:59:50 UTC 2026","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","131","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Wed Jan 28 18:59:51 UTC 2026","broken","Wed Jan 28 18:59:51 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","129","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Wed Jan 28 18:59:39 UTC 2026","broken","Wed Jan 28 18:59:39 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Create a new report","126","Create Report","QA|Nova Bank - Infopool","Wed Jan 28 18:59:56 UTC 2026","broken","Wed Jan 28 18:59:56 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","132","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Jan 28 18:59:31 UTC 2026","broken","Wed Jan 28 18:59:31 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","121","successful dashboard embed","QA|Nova Bank - Infopool","Wed Jan 28 18:59:43 UTC 2026","broken","Wed Jan 28 18:59:43 UTC 2026","embed dashboard","Bank User","",""
"","133","Update user - no auth","QA|Nova Bank - Infopool","Wed Jan 28 18:59:45 UTC 2026","broken","Wed Jan 28 18:59:45 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","131","Fetch all users in an organization","QA|Nova Bank - Infopool","Wed Jan 28 18:59:50 UTC 2026","broken","Wed Jan 28 18:59:50 UTC 2026","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","125","No auth - get all category","QA|Nova Bank - Infopool","Wed Jan 28 18:59:54 UTC 2026","broken","Wed Jan 28 18:59:54 UTC 2026","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","139","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Wed Jan 28 18:59:36 UTC 2026","broken","Wed Jan 28 18:59:36 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","125","Update definition","QA|Nova Bank - Infopool","Wed Jan 28 18:59:44 UTC 2026","broken","Wed Jan 28 18:59:44 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"","127","Update user - successful","QA|Nova Bank - Infopool","Wed Jan 28 18:59:45 UTC 2026","broken","Wed Jan 28 18:59:45 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","122","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Wed Jan 28 18:59:38 UTC 2026","broken","Wed Jan 28 18:59:38 UTC 2026","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","135","Update profile - No Auth","QA|Nova Bank - Infopool","Wed Jan 28 18:59:34 UTC 2026","broken","Wed Jan 28 18:59:34 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"Get a specific report by ID","130","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Wed Jan 28 18:59:55 UTC 2026","broken","Wed Jan 28 18:59:56 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"","122","Create organization - empty city value","QA|Nova Bank - Infopool","Wed Jan 28 18:59:47 UTC 2026","broken","Wed Jan 28 18:59:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","127","No auth - category by id","QA|Nova Bank - Infopool","Wed Jan 28 18:59:54 UTC 2026","broken","Wed Jan 28 18:59:54 UTC 2026","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","125","Search Customers","QA|Nova Bank - Infopool","Wed Jan 28 18:59:40 UTC 2026","broken","Wed Jan 28 18:59:40 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","127","Empty current password - Change password","QA|Nova Bank - Infopool","Wed Jan 28 18:59:32 UTC 2026","broken","Wed Jan 28 18:59:33 UTC 2026","v1 > Profile > Password","Bank User","",""
"","126","No auth - Update role status","QA|Nova Bank - Infopool","Wed Jan 28 18:59:52 UTC 2026","broken","Wed Jan 28 18:59:52 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","123","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed Jan 28 18:59:42 UTC 2026","broken","Wed Jan 28 18:59:42 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","126","No Auth - Get all permissions","QA|Nova Bank - Infopool","Wed Jan 28 18:59:53 UTC 2026","broken","Wed Jan 28 18:59:53 UTC 2026","v1 > Permissions > Get permissions","Bank Admin","",""
"","124","resend_invitation_toUser","QA|Nova Bank - Infopool","Wed Jan 28 18:59:35 UTC 2026","broken","Wed Jan 28 18:59:35 UTC 2026","v1 > Onboarding > Validate invitation","Bank User","",""
