"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","82","Update profile - No Auth","QA|Nova Bank - Infopool","Fri May 30 21:00:42 GMT 2025","passed","Fri May 30 21:00:42 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","81","Get profile - user not logged in","QA|Nova Bank - Infopool","Fri May 30 21:00:42 GMT 2025","passed","Fri May 30 21:00:42 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","186","Get events - successful","QA|Nova Bank - Infopool","Fri May 30 21:00:42 GMT 2025","passed","Fri May 30 21:00:43 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","87","Create organization - no name","QA|Nova Bank - Infopool","Fri May 30 21:01:07 GMT 2025","passed","Fri May 30 21:01:07 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","2427","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri May 30 21:00:55 GMT 2025","passed","Fri May 30 21:00:58 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","78","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri May 30 21:01:10 GMT 2025","passed","Fri May 30 21:01:10 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","89","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Fri May 30 21:01:08 GMT 2025","passed","Fri May 30 21:01:08 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","167","Invalid credentials","QA|Nova Bank - Infopool","Fri May 30 21:00:32 GMT 2025","passed","Fri May 30 21:00:32 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","81","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri May 30 21:00:58 GMT 2025","passed","Fri May 30 21:00:58 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","81","Get role by ID - no auth","QA|Nova Bank - Infopool","Fri May 30 21:01:11 GMT 2025","passed","Fri May 30 21:01:11 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","83","Get Report Data - Question","QA|Nova Bank - Infopool","Fri May 30 21:01:21 GMT 2025","failed","Fri May 30 21:01:21 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","80","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri May 30 21:01:09 GMT 2025","passed","Fri May 30 21:01:09 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","81","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Fri May 30 21:00:59 GMT 2025","failed","Fri May 30 21:00:59 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","79","Logout session - no session","QA|Nova Bank - Infopool","Fri May 30 21:01:12 GMT 2025","passed","Fri May 30 21:01:13 GMT 2025","v1 > Logout","Bank Admin","",""
"","78","No auth - category by id","QA|Nova Bank - Infopool","Fri May 30 21:01:12 GMT 2025","passed","Fri May 30 21:01:12 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","100","Add user to an organization - successful","QA|Nova Bank - Infopool","Fri May 30 21:01:10 GMT 2025","passed","Fri May 30 21:01:10 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","79","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri May 30 21:00:59 GMT 2025","passed","Fri May 30 21:00:59 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","93","Update profile - no phone number","QA|Nova Bank - Infopool","Fri May 30 21:00:42 GMT 2025","passed","Fri May 30 21:00:42 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get a specific report by ID","81","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Fri May 30 21:01:13 GMT 2025","failed","Fri May 30 21:01:13 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"Create a new report","83","Create Report - Duplicate name","QA|Nova Bank - Infopool","Fri May 30 21:01:20 GMT 2025","failed","Fri May 30 21:01:20 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","147","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri May 30 21:00:58 GMT 2025","passed","Fri May 30 21:00:58 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","87","Get permission by ID - successful","QA|Nova Bank - Infopool","Fri May 30 21:01:11 GMT 2025","passed","Fri May 30 21:01:12 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","86","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Fri May 30 21:00:39 GMT 2025","passed","Fri May 30 21:00:39 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
