"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:44:35 GMT 2025","passed","Sun Jun 08 21:44:36 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","35","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun Jun 08 21:44:35 GMT 2025","passed","Sun Jun 08 21:44:35 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","43","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:43:16 GMT 2025","failed","Sun Jun 08 21:43:16 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","33","Update role status","QA|Nova Bank - Infopool","Sun Jun 08 21:44:36 GMT 2025","passed","Sun Jun 08 21:44:36 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"Get a paginated list of reports with optional filtering","34","Get Reports Stats","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","passed","Sun Jun 08 21:44:37 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"Get a paginated list of reports with optional filtering","35","Get Reports","QA|Nova Bank - Infopool","Sun Jun 08 21:44:36 GMT 2025","passed","Sun Jun 08 21:44:36 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","32","No auth - update role","QA|Nova Bank - Infopool","Sun Jun 08 21:44:34 GMT 2025","passed","Sun Jun 08 21:44:34 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","56","Get events - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:43:03 GMT 2025","passed","Sun Jun 08 21:43:03 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","32","Logout session successfully","QA|Nova Bank - Infopool","Sun Jun 08 21:44:36 GMT 2025","passed","Sun Jun 08 21:44:36 GMT 2025","v1 > Logout","Bank Admin","",""
"Create a new report","32","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","passed","Sun Jun 08 21:44:37 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","33","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 21:44:34 GMT 2025","passed","Sun Jun 08 21:44:34 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","43","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:43:14 GMT 2025","failed","Sun Jun 08 21:43:14 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","156","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:43:15 GMT 2025","passed","Sun Jun 08 21:43:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","143","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 21:43:15 GMT 2025","passed","Sun Jun 08 21:43:15 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","32","Get role by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:44:36 GMT 2025","passed","Sun Jun 08 21:44:36 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","35","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:44:34 GMT 2025","passed","Sun Jun 08 21:44:34 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","156","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:43:15 GMT 2025","failed","Sun Jun 08 21:43:15 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Get a paginated list of reports with optional filtering","32","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","passed","Sun Jun 08 21:44:37 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","39","Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 21:44:34 GMT 2025","passed","Sun Jun 08 21:44:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","No auth - Update role status","QA|Nova Bank - Infopool","Sun Jun 08 21:44:36 GMT 2025","passed","Sun Jun 08 21:44:36 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
