"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","74","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Sep 14 20:10:40 UTC 2025","failed","Sun Sep 14 20:10:40 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","72","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Sep 14 20:10:42 UTC 2025","failed","Sun Sep 14 20:10:42 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","71","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Sep 14 20:10:59 UTC 2025","failed","Sun Sep 14 20:10:59 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","72","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Sep 14 20:10:41 UTC 2025","failed","Sun Sep 14 20:10:41 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","72","Fetch all users","QA|Nova Bank - Infopool","Sun Sep 14 20:10:54 UTC 2025","failed","Sun Sep 14 20:10:54 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","72","Weak password - Change password","QA|Nova Bank - Infopool","Sun Sep 14 20:10:41 UTC 2025","failed","Sun Sep 14 20:10:41 UTC 2025","v1 > Profile > Password","Bank User","",""
"","69","Logout session - no session","QA|Nova Bank - Infopool","Sun Sep 14 20:11:00 UTC 2025","failed","Sun Sep 14 20:11:00 UTC 2025","v1 > Logout","Bank Admin","",""
"","70","No auth - category by id","QA|Nova Bank - Infopool","Sun Sep 14 20:11:00 UTC 2025","passed","Sun Sep 14 20:11:00 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","71","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Sep 14 20:10:57 UTC 2025","failed","Sun Sep 14 20:10:57 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","71","Get roles - No Auth","QA|Nova Bank - Infopool","Sun Sep 14 20:10:58 UTC 2025","passed","Sun Sep 14 20:10:58 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"Delete a report (soft delete)","71","Delete Report","QA|Nova Bank - Infopool","Sun Sep 14 20:11:08 UTC 2025","failed","Sun Sep 14 20:11:08 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","71","Health","QA|Nova Bank - Infopool","Sun Sep 14 20:10:53 UTC 2025","failed","Sun Sep 14 20:10:53 UTC 2025","v1 > Health","Bank Admin","",""
"","71","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Sep 14 20:10:56 UTC 2025","failed","Sun Sep 14 20:10:56 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","Invalid email format","QA|Nova Bank - Infopool","Sun Sep 14 20:10:39 UTC 2025","failed","Sun Sep 14 20:10:39 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"Create a new report","72","Create Report - No auth","QA|Nova Bank - Infopool","Sun Sep 14 20:11:07 UTC 2025","failed","Sun Sep 14 20:11:07 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","70","No auth - get all category","QA|Nova Bank - Infopool","Sun Sep 14 20:10:59 UTC 2025","passed","Sun Sep 14 20:11:00 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","74","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Sep 14 20:10:45 UTC 2025","failed","Sun Sep 14 20:10:45 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","72","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sun Sep 14 20:10:46 UTC 2025","failed","Sun Sep 14 20:10:46 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","72","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Sep 14 20:10:58 UTC 2025","failed","Sun Sep 14 20:10:58 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","71","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Sep 14 20:10:45 UTC 2025","failed","Sun Sep 14 20:10:45 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","73","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Sep 14 20:10:45 UTC 2025","failed","Sun Sep 14 20:10:45 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","73","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Sep 14 20:10:41 UTC 2025","failed","Sun Sep 14 20:10:41 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","73","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Sep 14 20:10:44 UTC 2025","failed","Sun Sep 14 20:10:44 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
