"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","85","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Wed Jun 18 18:50:12 GMT 2025","passed","Wed Jun 18 18:50:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","114","Fetch all users in an organization","QA|Nova Bank - Infopool","Wed Jun 18 18:50:48 GMT 2025","passed","Wed Jun 18 18:50:48 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","174","Forgot password - successful","QA|Nova Bank - Infopool","Wed Jun 18 18:49:59 GMT 2025","failed","Wed Jun 18 18:49:59 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","83","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Wed Jun 18 18:50:47 GMT 2025","passed","Wed Jun 18 18:50:47 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","97","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Wed Jun 18 18:50:46 GMT 2025","passed","Wed Jun 18 18:50:46 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","89","No user credentials","QA|Nova Bank - Infopool","Wed Jun 18 18:49:58 GMT 2025","passed","Wed Jun 18 18:49:59 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","109","Update user - successful","QA|Nova Bank - Infopool","Wed Jun 18 18:50:37 GMT 2025","passed","Wed Jun 18 18:50:37 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","83","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Wed Jun 18 18:50:15 GMT 2025","passed","Wed Jun 18 18:50:15 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","82","Update user - no auth","QA|Nova Bank - Infopool","Wed Jun 18 18:50:37 GMT 2025","passed","Wed Jun 18 18:50:38 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","98","managers","QA|Nova Bank - Infopool","Wed Jun 18 18:50:49 GMT 2025","passed","Wed Jun 18 18:50:49 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","89","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed Jun 18 18:50:35 GMT 2025","passed","Wed Jun 18 18:50:35 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","158","Get events - invalid start date","QA|Nova Bank - Infopool","Wed Jun 18 18:50:04 GMT 2025","passed","Wed Jun 18 18:50:05 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","85","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Jun 18 18:50:00 GMT 2025","passed","Wed Jun 18 18:50:01 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","97","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Wed Jun 18 18:50:46 GMT 2025","passed","Wed Jun 18 18:50:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","93","Update user - empty action field","QA|Nova Bank - Infopool","Wed Jun 18 18:50:38 GMT 2025","passed","Wed Jun 18 18:50:38 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","84","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Wed Jun 18 18:50:48 GMT 2025","passed","Wed Jun 18 18:50:48 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","82","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Wed Jun 18 18:50:36 GMT 2025","passed","Wed Jun 18 18:50:36 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","208","Add Comment to Issue","QA|Nova Bank - Infopool","Wed Jun 18 18:50:15 GMT 2025","passed","Wed Jun 18 18:50:16 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","99","Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed Jun 18 18:50:35 GMT 2025","failed","Wed Jun 18 18:50:35 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","96","No email - Forgot Password","QA|Nova Bank - Infopool","Wed Jun 18 18:49:59 GMT 2025","passed","Wed Jun 18 18:49:59 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","81","No auth - managers","QA|Nova Bank - Infopool","Wed Jun 18 18:50:49 GMT 2025","passed","Wed Jun 18 18:50:49 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","876","Successful login","QA|Nova Bank - Infopool","Wed Jun 18 18:49:51 GMT 2025","passed","Wed Jun 18 18:49:52 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","158","Update Customer Comment","QA|Nova Bank - Infopool","Wed Jun 18 18:50:17 GMT 2025","passed","Wed Jun 18 18:50:17 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","129","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed Jun 18 18:50:48 GMT 2025","passed","Wed Jun 18 18:50:48 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","86","Send user invitation token - successful","QA|Nova Bank - Infopool","Wed Jun 18 18:50:06 GMT 2025","passed","Wed Jun 18 18:50:06 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","940","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed Jun 18 18:50:31 GMT 2025","passed","Wed Jun 18 18:50:32 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","92","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Jun 18 18:50:00 GMT 2025","passed","Wed Jun 18 18:50:00 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","94","Role does not exist - update role","QA|Nova Bank - Infopool","Wed Jun 18 18:50:44 GMT 2025","passed","Wed Jun 18 18:50:44 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","80","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed Jun 18 18:50:18 GMT 2025","passed","Wed Jun 18 18:50:18 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
