"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3196","Get Issue by ID","QA|Nova Bank - Infopool","Sat Jun 07 10:56:37 GMT 2025","failed","Sat Jun 07 10:56:40 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","75","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sat Jun 07 10:57:58 GMT 2025","passed","Sat Jun 07 10:57:58 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","80","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sat Jun 07 10:56:41 GMT 2025","passed","Sat Jun 07 10:56:41 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","76","Create organization - empty street value","QA|Nova Bank - Infopool","Sat Jun 07 10:57:57 GMT 2025","passed","Sat Jun 07 10:57:57 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","84","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 10:56:27 GMT 2025","passed","Sat Jun 07 10:56:27 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","3193","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sat Jun 07 10:56:34 GMT 2025","passed","Sat Jun 07 10:56:37 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","88","Get events - no auth","QA|Nova Bank - Infopool","Sat Jun 07 10:56:30 GMT 2025","passed","Sat Jun 07 10:56:30 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","167","Invalid current password - Change password","QA|Nova Bank - Infopool","Sat Jun 07 10:56:28 GMT 2025","passed","Sat Jun 07 10:56:28 GMT 2025","v1 > Profile > Password","Bank User","",""
"","78","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 10:57:55 GMT 2025","passed","Sat Jun 07 10:57:55 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","75","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 10:57:57 GMT 2025","passed","Sat Jun 07 10:57:58 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","133","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sat Jun 07 10:57:59 GMT 2025","passed","Sat Jun 07 10:57:59 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","77","Create  organization - without parent id","QA|Nova Bank - Infopool","Sat Jun 07 10:57:56 GMT 2025","passed","Sat Jun 07 10:57:56 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","87","Send user invitation token - successful","QA|Nova Bank - Infopool","Sat Jun 07 10:56:31 GMT 2025","passed","Sat Jun 07 10:56:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","78","Update user - successful","QA|Nova Bank - Infopool","Sat Jun 07 10:57:55 GMT 2025","passed","Sat Jun 07 10:57:55 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","77","Get single definition","QA|Nova Bank - Infopool","Sat Jun 07 10:57:54 GMT 2025","passed","Sat Jun 07 10:57:55 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","78","No Auth - Update definition","QA|Nova Bank - Infopool","Sat Jun 07 10:57:55 GMT 2025","passed","Sat Jun 07 10:57:55 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","80","Delete Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 10:56:42 GMT 2025","failed","Sat Jun 07 10:56:42 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","80","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sat Jun 07 10:57:59 GMT 2025","passed","Sat Jun 07 10:57:59 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","84","No Auth - Update Issue","QA|Nova Bank - Infopool","Sat Jun 07 10:56:41 GMT 2025","passed","Sat Jun 07 10:56:41 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","76","Update user - no auth","QA|Nova Bank - Infopool","Sat Jun 07 10:57:55 GMT 2025","passed","Sat Jun 07 10:57:56 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","152","Get events - invalid end date","QA|Nova Bank - Infopool","Sat Jun 07 10:56:30 GMT 2025","passed","Sat Jun 07 10:56:31 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","80","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sat Jun 07 10:57:59 GMT 2025","passed","Sat Jun 07 10:57:59 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","135","Forgot password - successful","QA|Nova Bank - Infopool","Sat Jun 07 10:56:26 GMT 2025","failed","Sat Jun 07 10:56:26 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","88","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 10:56:27 GMT 2025","passed","Sat Jun 07 10:56:27 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","81","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sat Jun 07 10:56:42 GMT 2025","passed","Sat Jun 07 10:56:42 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","84","Update Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 10:56:42 GMT 2025","failed","Sat Jun 07 10:56:42 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","84","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 10:56:27 GMT 2025","passed","Sat Jun 07 10:56:27 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","80","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sat Jun 07 10:57:54 GMT 2025","passed","Sat Jun 07 10:57:54 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","83","Update Customer Comment Copy","QA|Nova Bank - Infopool","Sat Jun 07 10:56:42 GMT 2025","passed","Sat Jun 07 10:56:42 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","76","Update user - invalid action","QA|Nova Bank - Infopool","Sat Jun 07 10:57:56 GMT 2025","passed","Sat Jun 07 10:57:56 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","76","get user role","QA|Nova Bank - Infopool","Sat Jun 07 10:57:56 GMT 2025","passed","Sat Jun 07 10:57:56 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","113","Get roles - successful","QA|Nova Bank - Infopool","Sat Jun 07 10:58:00 GMT 2025","passed","Sat Jun 07 10:58:00 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","83","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Sat Jun 07 10:56:42 GMT 2025","passed","Sat Jun 07 10:56:42 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","754","Successful login","QA|Nova Bank - Infopool","Sat Jun 07 10:56:19 GMT 2025","passed","Sat Jun 07 10:56:20 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","259","Change password - successful","QA|Nova Bank - Infopool","Sat Jun 07 10:56:28 GMT 2025","passed","Sat Jun 07 10:56:28 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","83","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 10:56:27 GMT 2025","passed","Sat Jun 07 10:56:27 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","107","Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 10:56:42 GMT 2025","passed","Sat Jun 07 10:56:43 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","96","managers","QA|Nova Bank - Infopool","Sat Jun 07 10:57:59 GMT 2025","passed","Sat Jun 07 10:58:00 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","75","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sat Jun 07 10:57:55 GMT 2025","passed","Sat Jun 07 10:57:55 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","142","Fetch Customer By ID","QA|Nova Bank - Infopool","Sat Jun 07 10:56:43 GMT 2025","passed","Sat Jun 07 10:56:43 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","80","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 10:56:43 GMT 2025","failed","Sat Jun 07 10:56:43 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","76","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sat Jun 07 10:57:58 GMT 2025","passed","Sat Jun 07 10:57:58 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","139","Add Comment to Customer","QA|Nova Bank - Infopool","Sat Jun 07 10:56:41 GMT 2025","passed","Sat Jun 07 10:56:42 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","122","Add attachment to issue","QA|Nova Bank - Infopool","Sat Jun 07 10:56:41 GMT 2025","failed","Sat Jun 07 10:56:41 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","93","Empty current password - Change password","QA|Nova Bank - Infopool","Sat Jun 07 10:56:29 GMT 2025","passed","Sat Jun 07 10:56:29 GMT 2025","v1 > Profile > Password","Bank User","",""
"","80","Get profile - user not logged in","QA|Nova Bank - Infopool","Sat Jun 07 10:56:29 GMT 2025","passed","Sat Jun 07 10:56:29 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","93","Empty new password - Change password","QA|Nova Bank - Infopool","Sat Jun 07 10:56:29 GMT 2025","passed","Sat Jun 07 10:56:29 GMT 2025","v1 > Profile > Password","Bank User","",""
"","82","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sat Jun 07 10:56:40 GMT 2025","passed","Sat Jun 07 10:56:40 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","77","successful dashboard embed","QA|Nova Bank - Infopool","Sat Jun 07 10:57:54 GMT 2025","passed","Sat Jun 07 10:57:54 GMT 2025","embed dashboard","Bank User","",""
"","75","Fetch all organizations","QA|Nova Bank - Infopool","Sat Jun 07 10:57:57 GMT 2025","passed","Sat Jun 07 10:57:57 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","77","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 10:57:58 GMT 2025","passed","Sat Jun 07 10:57:58 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","84","audit trail - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 10:56:31 GMT 2025","passed","Sat Jun 07 10:56:31 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","85","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 10:56:27 GMT 2025","passed","Sat Jun 07 10:56:27 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","79","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sat Jun 07 10:57:54 GMT 2025","passed","Sat Jun 07 10:57:54 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","77","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sat Jun 07 10:57:58 GMT 2025","passed","Sat Jun 07 10:57:58 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","76","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sat Jun 07 10:57:55 GMT 2025","passed","Sat Jun 07 10:57:55 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","82","Update Issue","QA|Nova Bank - Infopool","Sat Jun 07 10:56:40 GMT 2025","failed","Sat Jun 07 10:56:41 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","90","Get profile roles - successful","QA|Nova Bank - Infopool","Sat Jun 07 10:56:28 GMT 2025","passed","Sat Jun 07 10:56:28 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","80","Update profile - no auth","QA|Nova Bank - Infopool","Sat Jun 07 10:56:29 GMT 2025","passed","Sat Jun 07 10:56:29 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","79","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sat Jun 07 10:57:54 GMT 2025","passed","Sat Jun 07 10:57:54 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","87","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 10:56:32 GMT 2025","passed","Sat Jun 07 10:56:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","75","Create organization - name already exists","QA|Nova Bank - Infopool","Sat Jun 07 10:57:57 GMT 2025","passed","Sat Jun 07 10:57:57 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 10:56:32 GMT 2025","passed","Sat Jun 07 10:56:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","89","No auth - managers","QA|Nova Bank - Infopool","Sat Jun 07 10:58:00 GMT 2025","passed","Sat Jun 07 10:58:00 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","88","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sat Jun 07 10:56:27 GMT 2025","passed","Sat Jun 07 10:56:27 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","75","Health","QA|Nova Bank - Infopool","Sat Jun 07 10:57:54 GMT 2025","passed","Sat Jun 07 10:57:54 GMT 2025","v1 > Health","Bank Admin","",""
"","76","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 10:57:55 GMT 2025","passed","Sat Jun 07 10:57:55 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","76","Get all definitions","QA|Nova Bank - Infopool","Sat Jun 07 10:57:54 GMT 2025","passed","Sat Jun 07 10:57:54 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","269","audit-search","QA|Nova Bank - Infopool","Sat Jun 07 10:56:31 GMT 2025","passed","Sat Jun 07 10:56:31 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","115","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 10:56:27 GMT 2025","passed","Sat Jun 07 10:56:27 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","94","Update profile","QA|Nova Bank - Infopool","Sat Jun 07 10:56:30 GMT 2025","failed","Sat Jun 07 10:56:30 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","80","Fetch Customer Comments","QA|Nova Bank - Infopool","Sat Jun 07 10:56:42 GMT 2025","failed","Sat Jun 07 10:56:42 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","91","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sat Jun 07 10:56:40 GMT 2025","passed","Sat Jun 07 10:56:40 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","77","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sat Jun 07 10:57:58 GMT 2025","passed","Sat Jun 07 10:57:58 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","77","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sat Jun 07 10:57:58 GMT 2025","passed","Sat Jun 07 10:57:58 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","144","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sat Jun 07 10:56:31 GMT 2025","passed","Sat Jun 07 10:56:31 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","130","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Sat Jun 07 10:56:33 GMT 2025","passed","Sat Jun 07 10:56:33 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","81","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sat Jun 07 10:56:41 GMT 2025","passed","Sat Jun 07 10:56:41 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","89","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sat Jun 07 10:56:34 GMT 2025","passed","Sat Jun 07 10:56:34 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","77","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 10:57:57 GMT 2025","passed","Sat Jun 07 10:57:57 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 10:56:32 GMT 2025","passed","Sat Jun 07 10:56:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
