"","82","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Wed Oct 08 18:49:21 UTC 2025","failed","Wed Oct 08 18:49:21 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","79","Empty fields - Update definition","QA|Nova Bank - Infopool","Wed Oct 08 18:49:33 UTC 2025","failed","Wed Oct 08 18:49:33 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","79","No auth - Update role status","QA|Nova Bank - Infopool","Wed Oct 08 18:49:38 UTC 2025","failed","Wed Oct 08 18:49:38 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","77","Get permission by ID - No auth","QA|Nova Bank - Infopool","Wed Oct 08 18:49:38 UTC 2025","passed","Wed Oct 08 18:49:39 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","83","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Oct 08 18:49:18 UTC 2025","failed","Wed Oct 08 18:49:18 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","79","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Wed Oct 08 18:49:32 UTC 2025","passed","Wed Oct 08 18:49:32 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","81","Update user - invalid action","QA|Nova Bank - Infopool","Wed Oct 08 18:49:33 UTC 2025","failed","Wed Oct 08 18:49:34 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","84","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Oct 08 18:49:18 UTC 2025","failed","Wed Oct 08 18:49:18 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","78","Get role by ID - successful","QA|Nova Bank - Infopool","Wed Oct 08 18:49:38 UTC 2025","failed","Wed Oct 08 18:49:38 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","82","Update Issue","QA|Nova Bank - Infopool","Wed Oct 08 18:49:22 UTC 2025","failed","Wed Oct 08 18:49:23 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","77","successful dashboard embed","QA|Nova Bank - Infopool","Wed Oct 08 18:49:32 UTC 2025","failed","Wed Oct 08 18:49:32 UTC 2025","embed dashboard","Bank User","",""
"","78","Export Report Data - No auth","QA|Nova Bank - Infopool","Wed Oct 08 18:49:48 UTC 2025","passed","Wed Oct 08 18:49:48 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","79","Create organization - empty mis code","QA|Nova Bank - Infopool","Wed Oct 08 18:49:35 UTC 2025","failed","Wed Oct 08 18:49:35 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","84","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Wed Oct 08 18:49:36 UTC 2025","failed","Wed Oct 08 18:49:36 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","78","No Auth - Update definition","QA|Nova Bank - Infopool","Wed Oct 08 18:49:33 UTC 2025","failed","Wed Oct 08 18:49:33 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","80","Update role status - role does not exist","QA|Nova Bank - Infopool","Wed Oct 08 18:49:38 UTC 2025","failed","Wed Oct 08 18:49:38 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","86","Forgot password - successful","QA|Nova Bank - Infopool","Wed Oct 08 18:49:17 UTC 2025","failed","Wed Oct 08 18:49:17 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","79","get all category","QA|Nova Bank - Infopool","Wed Oct 08 18:49:42 UTC 2025","failed","Wed Oct 08 18:49:42 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
