"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","84","Update Issue","QA|Nova Bank - Infopool","Tue Jun 03 17:59:56 GMT 2025","failed","Tue Jun 03 17:59:56 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","86","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Tue Jun 03 17:59:48 GMT 2025","passed","Tue Jun 03 17:59:48 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","82","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Tue Jun 03 18:00:06 GMT 2025","failed","Tue Jun 03 18:00:06 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","3731","Successful login","QA|Nova Bank - Infopool","Tue Jun 03 17:59:35 GMT 2025","passed","Tue Jun 03 17:59:38 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","79","Health","QA|Nova Bank - Infopool","Tue Jun 03 18:00:02 GMT 2025","passed","Tue Jun 03 18:00:02 GMT 2025","v1 > Health","Bank Admin","",""
"","79","Invalid name - Search Customers","QA|Nova Bank - Infopool","Tue Jun 03 17:59:58 GMT 2025","failed","Tue Jun 03 17:59:58 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","80","Fetch Customers Accounts","QA|Nova Bank - Infopool","Tue Jun 03 18:00:02 GMT 2025","failed","Tue Jun 03 18:00:02 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","86","Update profile - No Auth","QA|Nova Bank - Infopool","Tue Jun 03 17:59:46 GMT 2025","passed","Tue Jun 03 17:59:46 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","120","audit trail","QA|Nova Bank - Infopool","Tue Jun 03 17:59:47 GMT 2025","passed","Tue Jun 03 17:59:47 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","109","verify OTP","QA|Nova Bank - Infopool","Tue Jun 03 17:59:44 GMT 2025","passed","Tue Jun 03 17:59:44 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","151","Update definition","QA|Nova Bank - Infopool","Tue Jun 03 18:00:06 GMT 2025","passed","Tue Jun 03 18:00:06 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","91","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Tue Jun 03 18:00:13 GMT 2025","passed","Tue Jun 03 18:00:13 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","79","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Tue Jun 03 18:00:02 GMT 2025","passed","Tue Jun 03 18:00:02 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","88","Create organization - no name","QA|Nova Bank - Infopool","Tue Jun 03 18:00:11 GMT 2025","passed","Tue Jun 03 18:00:11 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","88","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Tue Jun 03 18:00:14 GMT 2025","passed","Tue Jun 03 18:00:15 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","3241","Invalid credentials","QA|Nova Bank - Infopool","Tue Jun 03 17:59:38 GMT 2025","passed","Tue Jun 03 17:59:42 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","92","Update profile","QA|Nova Bank - Infopool","Tue Jun 03 17:59:46 GMT 2025","failed","Tue Jun 03 17:59:46 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","78","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Tue Jun 03 17:59:59 GMT 2025","failed","Tue Jun 03 17:59:59 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","88","Create organization - empty description","QA|Nova Bank - Infopool","Tue Jun 03 18:00:11 GMT 2025","passed","Tue Jun 03 18:00:12 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","102","Get roles - successful","QA|Nova Bank - Infopool","Tue Jun 03 18:00:15 GMT 2025","passed","Tue Jun 03 18:00:15 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","113","Add user to an organization - successful","QA|Nova Bank - Infopool","Tue Jun 03 18:00:14 GMT 2025","passed","Tue Jun 03 18:00:14 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","83","Create organization - empty mis code","QA|Nova Bank - Infopool","Tue Jun 03 18:00:12 GMT 2025","failed","Tue Jun 03 18:00:12 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Tue Jun 03 18:00:02 GMT 2025","passed","Tue Jun 03 18:00:02 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","85","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue Jun 03 17:59:43 GMT 2025","passed","Tue Jun 03 17:59:43 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","81","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Tue Jun 03 17:59:47 GMT 2025","passed","Tue Jun 03 17:59:47 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","88","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Tue Jun 03 18:00:13 GMT 2025","passed","Tue Jun 03 18:00:13 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","226","Get profile - successfully","QA|Nova Bank - Infopool","Tue Jun 03 17:59:45 GMT 2025","passed","Tue Jun 03 17:59:45 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","89","Create organization - empty street value","QA|Nova Bank - Infopool","Tue Jun 03 18:00:12 GMT 2025","passed","Tue Jun 03 18:00:12 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Tue Jun 03 17:59:57 GMT 2025","failed","Tue Jun 03 17:59:57 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","230","Update profile - successful","QA|Nova Bank - Infopool","Tue Jun 03 17:59:45 GMT 2025","passed","Tue Jun 03 17:59:45 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","164","update role","QA|Nova Bank - Infopool","Tue Jun 03 18:00:11 GMT 2025","passed","Tue Jun 03 18:00:11 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","80","No Auth - Fetch all users","QA|Nova Bank - Infopool","Tue Jun 03 18:00:10 GMT 2025","passed","Tue Jun 03 18:00:10 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","86","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Tue Jun 03 17:59:42 GMT 2025","passed","Tue Jun 03 17:59:42 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","81","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Tue Jun 03 17:59:47 GMT 2025","passed","Tue Jun 03 17:59:47 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","80","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Tue Jun 03 17:59:58 GMT 2025","passed","Tue Jun 03 17:59:58 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","93","Get all definitions","QA|Nova Bank - Infopool","Tue Jun 03 18:00:02 GMT 2025","passed","Tue Jun 03 18:00:03 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","3169","Get single definition","QA|Nova Bank - Infopool","Tue Jun 03 18:00:03 GMT 2025","passed","Tue Jun 03 18:00:06 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","147","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Tue Jun 03 17:59:47 GMT 2025","passed","Tue Jun 03 17:59:47 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","82","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Tue Jun 03 17:59:44 GMT 2025","passed","Tue Jun 03 17:59:44 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","83","No auth - Create  organization","QA|Nova Bank - Infopool","Tue Jun 03 18:00:11 GMT 2025","passed","Tue Jun 03 18:00:11 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","86","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue Jun 03 17:59:43 GMT 2025","passed","Tue Jun 03 17:59:43 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","79","Get Issue by ID","QA|Nova Bank - Infopool","Tue Jun 03 17:59:52 GMT 2025","failed","Tue Jun 03 17:59:53 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","80","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Tue Jun 03 17:59:59 GMT 2025","passed","Tue Jun 03 17:59:59 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","90","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Tue Jun 03 18:00:12 GMT 2025","passed","Tue Jun 03 18:00:12 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
