"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create a new report","57","Create Report - Empty category","QA|Nova Bank - Infopool","Fri Jan 30 19:21:48 UTC 2026","broken","Fri Jan 30 19:21:48 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"","61","Get Report Data - Question","QA|Nova Bank - Infopool","Fri Jan 30 19:21:48 UTC 2026","broken","Fri Jan 30 19:21:48 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","62","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri Jan 30 19:21:35 UTC 2026","broken","Fri Jan 30 19:21:35 UTC 2026","v1 > Profile > Roles","Bank User","",""
"","65","Export Report Data","QA|Nova Bank - Infopool","Fri Jan 30 19:21:48 UTC 2026","broken","Fri Jan 30 19:21:48 UTC 2026","v1 > Report > Export Report Data","Bank Admin","",""
"","58","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri Jan 30 19:21:41 UTC 2026","broken","Fri Jan 30 19:21:41 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","58","Update user - no auth","QA|Nova Bank - Infopool","Fri Jan 30 19:21:42 UTC 2026","broken","Fri Jan 30 19:21:42 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","60","Update user - successful","QA|Nova Bank - Infopool","Fri Jan 30 19:21:42 UTC 2026","broken","Fri Jan 30 19:21:42 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","61","Get all permissions","QA|Nova Bank - Infopool","Fri Jan 30 19:21:46 UTC 2026","broken","Fri Jan 30 19:21:46 UTC 2026","v1 > Permissions > Get permissions","Bank Admin","",""
"Delete a report (soft delete)","58","Delete Report - Invalid id","QA|Nova Bank - Infopool","Fri Jan 30 19:21:48 UTC 2026","broken","Fri Jan 30 19:21:48 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"","135","Get profile - No Auth","QA|Nova Bank - Infopool","Fri Jan 30 19:21:36 UTC 2026","broken","Fri Jan 30 19:21:36 UTC 2026","v1 > Profile > Get profile","Bank User","",""
"","58","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri Jan 30 19:21:45 UTC 2026","broken","Fri Jan 30 19:21:45 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","60","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Jan 30 19:21:44 UTC 2026","broken","Fri Jan 30 19:21:44 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","59","Get events - invalid end date","QA|Nova Bank - Infopool","Fri Jan 30 19:21:37 UTC 2026","broken","Fri Jan 30 19:21:37 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","60","Create organization - name already exists","QA|Nova Bank - Infopool","Fri Jan 30 19:21:43 UTC 2026","broken","Fri Jan 30 19:21:43 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","56","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Fri Jan 30 19:21:44 UTC 2026","broken","Fri Jan 30 19:21:44 UTC 2026","v1 > Organizations > Fetch organization","Bank Admin","",""
"","59","Fetch Customer By ID","QA|Nova Bank - Infopool","Fri Jan 30 19:21:40 UTC 2026","broken","Fri Jan 30 19:21:40 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","58","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri Jan 30 19:21:44 UTC 2026","broken","Fri Jan 30 19:21:44 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","58","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Fri Jan 30 19:21:47 UTC 2026","broken","Fri Jan 30 19:21:47 UTC 2026","v1 > Report > Get Report","Bank Admin","",""
"","62","Update user - invalid action","QA|Nova Bank - Infopool","Fri Jan 30 19:21:42 UTC 2026","broken","Fri Jan 30 19:21:42 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","61","Update role status - role does not exist","QA|Nova Bank - Infopool","Fri Jan 30 19:21:46 UTC 2026","broken","Fri Jan 30 19:21:46 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","55","Get roles - successful","QA|Nova Bank - Infopool","Fri Jan 30 19:21:45 UTC 2026","broken","Fri Jan 30 19:21:45 UTC 2026","v1 > Roles > Get roles","Bank Admin","",""
"","58","Create roles - empty name field","QA|Nova Bank - Infopool","Fri Jan 30 19:21:45 UTC 2026","broken","Fri Jan 30 19:21:45 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"Get a specific report by ID","55","Get Report by ID","QA|Nova Bank - Infopool","Fri Jan 30 19:21:47 UTC 2026","broken","Fri Jan 30 19:21:47 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"","72","Get events - successful","QA|Nova Bank - Infopool","Fri Jan 30 19:21:37 UTC 2026","broken","Fri Jan 30 19:21:37 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","60","Create roles - No auth","QA|Nova Bank - Infopool","Fri Jan 30 19:21:45 UTC 2026","broken","Fri Jan 30 19:21:45 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"","58","Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jan 30 19:21:39 UTC 2026","broken","Fri Jan 30 19:21:39 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","60","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri Jan 30 19:21:44 UTC 2026","broken","Fri Jan 30 19:21:44 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","57","audit-search","QA|Nova Bank - Infopool","Fri Jan 30 19:21:37 UTC 2026","broken","Fri Jan 30 19:21:37 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"","59","category by id","QA|Nova Bank - Infopool","Fri Jan 30 19:21:46 UTC 2026","broken","Fri Jan 30 19:21:46 UTC 2026","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","60","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Jan 30 19:21:41 UTC 2026","broken","Fri Jan 30 19:21:41 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Delete a report (soft delete)","56","Delete Report -No auth","QA|Nova Bank - Infopool","Fri Jan 30 19:21:48 UTC 2026","broken","Fri Jan 30 19:21:48 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"","57","No auth - category by id","QA|Nova Bank - Infopool","Fri Jan 30 19:21:46 UTC 2026","broken","Fri Jan 30 19:21:46 UTC 2026","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","53","Weak password - Change password","QA|Nova Bank - Infopool","Fri Jan 30 19:21:36 UTC 2026","broken","Fri Jan 30 19:21:36 UTC 2026","v1 > Profile > Password","Bank User","",""
"","56","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Fri Jan 30 19:21:38 UTC 2026","broken","Fri Jan 30 19:21:38 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","63","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jan 30 19:21:35 UTC 2026","broken","Fri Jan 30 19:21:35 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
