"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","Create roles","QA|Nova Bank - Infopool","Wed Oct 15 18:49:11 UTC 2025","failed","Wed Oct 15 18:49:11 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","93","Create organization - name already exists","QA|Nova Bank - Infopool","Wed Oct 15 18:49:02 UTC 2025","failed","Wed Oct 15 18:49:02 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","101","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Oct 15 18:48:43 UTC 2025","failed","Wed Oct 15 18:48:43 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","97","Empty new password - Change password","QA|Nova Bank - Infopool","Wed Oct 15 18:48:44 UTC 2025","failed","Wed Oct 15 18:48:45 UTC 2025","v1 > Profile > Password","Bank User","",""
"","93","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Wed Oct 15 18:49:03 UTC 2025","failed","Wed Oct 15 18:49:03 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","95","Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed Oct 15 18:48:58 UTC 2025","failed","Wed Oct 15 18:48:58 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","92","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Wed Oct 15 18:48:56 UTC 2025","passed","Wed Oct 15 18:48:56 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","91","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed Oct 15 18:48:58 UTC 2025","passed","Wed Oct 15 18:48:58 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"Get a paginated list of reports with optional filtering","93","Get Reports - No auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:13 UTC 2025","passed","Wed Oct 15 18:49:13 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","94","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Wed Oct 15 18:48:58 UTC 2025","failed","Wed Oct 15 18:48:58 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","636","Create a New Issue","QA|Nova Bank - Infopool","Wed Oct 15 18:48:47 UTC 2025","failed","Wed Oct 15 18:48:48 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","95","Get profile roles - successful","QA|Nova Bank - Infopool","Wed Oct 15 18:48:44 UTC 2025","failed","Wed Oct 15 18:48:44 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","95","Update user - ID does not exist","QA|Nova Bank - Infopool","Wed Oct 15 18:49:00 UTC 2025","failed","Wed Oct 15 18:49:00 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","92","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Wed Oct 15 18:48:47 UTC 2025","failed","Wed Oct 15 18:48:47 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","92","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Wed Oct 15 18:48:58 UTC 2025","failed","Wed Oct 15 18:48:58 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","93","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Wed Oct 15 18:48:56 UTC 2025","failed","Wed Oct 15 18:48:56 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","98","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Wed Oct 15 18:48:59 UTC 2025","failed","Wed Oct 15 18:48:59 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","92","Add Comment to Issue","QA|Nova Bank - Infopool","Wed Oct 15 18:48:49 UTC 2025","failed","Wed Oct 15 18:48:49 UTC 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","91","get all category","QA|Nova Bank - Infopool","Wed Oct 15 18:49:13 UTC 2025","failed","Wed Oct 15 18:49:13 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"Get a specific report by ID","93","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Wed Oct 15 18:49:14 UTC 2025","failed","Wed Oct 15 18:49:15 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","93","Create organization - no country ID","QA|Nova Bank - Infopool","Wed Oct 15 18:49:02 UTC 2025","failed","Wed Oct 15 18:49:02 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","92","Fetch user by ID - successful","QA|Nova Bank - Infopool","Wed Oct 15 18:49:00 UTC 2025","failed","Wed Oct 15 18:49:00 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","91","Create roles - empty name field","QA|Nova Bank - Infopool","Wed Oct 15 18:49:12 UTC 2025","failed","Wed Oct 15 18:49:12 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","91","No Auth - Update Issue","QA|Nova Bank - Infopool","Wed Oct 15 18:48:49 UTC 2025","failed","Wed Oct 15 18:48:49 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","95","Forgot password - successful","QA|Nova Bank - Infopool","Wed Oct 15 18:48:42 UTC 2025","failed","Wed Oct 15 18:48:42 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","96","Empty current password - Change password","QA|Nova Bank - Infopool","Wed Oct 15 18:48:44 UTC 2025","failed","Wed Oct 15 18:48:44 UTC 2025","v1 > Profile > Password","Bank User","",""
"","90","Logout session successfully","QA|Nova Bank - Infopool","Wed Oct 15 18:49:13 UTC 2025","failed","Wed Oct 15 18:49:13 UTC 2025","v1 > Logout","Bank Admin","",""
"Get a specific report by ID","91","Get Report by ID","QA|Nova Bank - Infopool","Wed Oct 15 18:49:14 UTC 2025","failed","Wed Oct 15 18:49:14 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","92","Create roles - No auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:11 UTC 2025","failed","Wed Oct 15 18:49:12 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"Create a new report","93","Create Report","QA|Nova Bank - Infopool","Wed Oct 15 18:49:15 UTC 2025","failed","Wed Oct 15 18:49:15 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"Create a new report","93","Create Report - No auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:15 UTC 2025","failed","Wed Oct 15 18:49:15 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","94","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Wed Oct 15 18:49:16 UTC 2025","failed","Wed Oct 15 18:49:16 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","92","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed Oct 15 18:48:58 UTC 2025","passed","Wed Oct 15 18:48:58 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","92","Get events - invalid end date","QA|Nova Bank - Infopool","Wed Oct 15 18:48:46 UTC 2025","failed","Wed Oct 15 18:48:46 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","99","Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Oct 15 18:48:43 UTC 2025","failed","Wed Oct 15 18:48:43 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","97","Change password - successful","QA|Nova Bank - Infopool","Wed Oct 15 18:48:44 UTC 2025","failed","Wed Oct 15 18:48:44 UTC 2025","v1 > Profile > Password","Bank User","",""
"","92","managers","QA|Nova Bank - Infopool","Wed Oct 15 18:49:11 UTC 2025","failed","Wed Oct 15 18:49:11 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","95","Update profile - no phone number","QA|Nova Bank - Infopool","Wed Oct 15 18:48:45 UTC 2025","failed","Wed Oct 15 18:48:45 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","91","Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed Oct 15 18:48:58 UTC 2025","failed","Wed Oct 15 18:48:58 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","92","Create organization - empty street value","QA|Nova Bank - Infopool","Wed Oct 15 18:49:02 UTC 2025","failed","Wed Oct 15 18:49:02 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","91","No auth - update role","QA|Nova Bank - Infopool","Wed Oct 15 18:49:01 UTC 2025","failed","Wed Oct 15 18:49:01 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","93","Fetch all users in an organization","QA|Nova Bank - Infopool","Wed Oct 15 18:49:10 UTC 2025","failed","Wed Oct 15 18:49:10 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","91","Fetch all organizations","QA|Nova Bank - Infopool","Wed Oct 15 18:49:02 UTC 2025","failed","Wed Oct 15 18:49:02 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","91","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Wed Oct 15 18:48:57 UTC 2025","failed","Wed Oct 15 18:48:57 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Get a specific report by ID","91","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:14 UTC 2025","passed","Wed Oct 15 18:49:14 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Get a specific report by ID","91","Get Report by ID - No auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:14 UTC 2025","passed","Wed Oct 15 18:49:14 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","94","Update user - successful","QA|Nova Bank - Infopool","Wed Oct 15 18:49:00 UTC 2025","failed","Wed Oct 15 18:49:00 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","94","Get roles - No Auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:11 UTC 2025","passed","Wed Oct 15 18:49:11 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","96","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Wed Oct 15 18:49:16 UTC 2025","failed","Wed Oct 15 18:49:16 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","91","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Wed Oct 15 18:49:00 UTC 2025","passed","Wed Oct 15 18:49:00 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","95","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Wed Oct 15 18:49:13 UTC 2025","failed","Wed Oct 15 18:49:14 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","92","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Wed Oct 15 18:49:07 UTC 2025","failed","Wed Oct 15 18:49:07 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","91","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Wed Oct 15 18:48:57 UTC 2025","failed","Wed Oct 15 18:48:57 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","93","Weak password - Change password","QA|Nova Bank - Infopool","Wed Oct 15 18:48:44 UTC 2025","failed","Wed Oct 15 18:48:44 UTC 2025","v1 > Profile > Password","Bank User","",""
"","95","Create organization - empty description","QA|Nova Bank - Infopool","Wed Oct 15 18:49:02 UTC 2025","failed","Wed Oct 15 18:49:02 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","93","Get single definition","QA|Nova Bank - Infopool","Wed Oct 15 18:48:59 UTC 2025","failed","Wed Oct 15 18:48:59 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","3190","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:04 UTC 2025","failed","Wed Oct 15 18:49:07 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","90","No Auth - Fetch all users","QA|Nova Bank - Infopool","Wed Oct 15 18:49:00 UTC 2025","passed","Wed Oct 15 18:49:00 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","94","Get all permissions","QA|Nova Bank - Infopool","Wed Oct 15 18:49:13 UTC 2025","failed","Wed Oct 15 18:49:13 UTC 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"Update an existing report","89","Update Report","QA|Nova Bank - Infopool","Wed Oct 15 18:49:15 UTC 2025","passed","Wed Oct 15 18:49:15 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","92","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Wed Oct 15 18:48:47 UTC 2025","failed","Wed Oct 15 18:48:47 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","93","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Oct 15 18:48:49 UTC 2025","failed","Wed Oct 15 18:48:50 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","94","Update user - invalid action","QA|Nova Bank - Infopool","Wed Oct 15 18:49:00 UTC 2025","failed","Wed Oct 15 18:49:01 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"Get a paginated list of reports with optional filtering","96","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Wed Oct 15 18:49:14 UTC 2025","failed","Wed Oct 15 18:49:14 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","95","Update user - no auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:00 UTC 2025","failed","Wed Oct 15 18:49:00 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","92","Get Report Data - No auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:16 UTC 2025","passed","Wed Oct 15 18:49:16 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","92","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Wed Oct 15 18:49:03 UTC 2025","failed","Wed Oct 15 18:49:03 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","92","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Oct 15 18:48:50 UTC 2025","failed","Wed Oct 15 18:48:50 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","93","No Auth - Get all Issues","QA|Nova Bank - Infopool","Wed Oct 15 18:48:48 UTC 2025","passed","Wed Oct 15 18:48:48 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","727","Successful login","QA|Nova Bank - Infopool","Wed Oct 15 18:48:35 UTC 2025","failed","Wed Oct 15 18:48:36 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"Get a paginated list of reports with optional filtering","94","Get Reports","QA|Nova Bank - Infopool","Wed Oct 15 18:49:13 UTC 2025","failed","Wed Oct 15 18:49:13 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","90","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Wed Oct 15 18:49:11 UTC 2025","failed","Wed Oct 15 18:49:11 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","91","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Wed Oct 15 18:48:57 UTC 2025","passed","Wed Oct 15 18:48:58 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","105","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Oct 15 18:48:43 UTC 2025","failed","Wed Oct 15 18:48:43 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","215","No auth - Create a New Issue","QA|Nova Bank - Infopool","Wed Oct 15 18:48:48 UTC 2025","failed","Wed Oct 15 18:48:48 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","94","Update Customer Comment","QA|Nova Bank - Infopool","Wed Oct 15 18:48:56 UTC 2025","failed","Wed Oct 15 18:48:56 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","3197","Fetch Customer Comments","QA|Nova Bank - Infopool","Wed Oct 15 18:48:53 UTC 2025","failed","Wed Oct 15 18:48:56 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","3169","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed Oct 15 18:49:07 UTC 2025","failed","Wed Oct 15 18:49:10 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","101","Invalid current password - Change password","QA|Nova Bank - Infopool","Wed Oct 15 18:48:44 UTC 2025","failed","Wed Oct 15 18:48:44 UTC 2025","v1 > Profile > Password","Bank User","",""
"","95","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Wed Oct 15 18:48:43 UTC 2025","failed","Wed Oct 15 18:48:43 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Get a paginated list of reports with optional filtering","91","Get Reports Stats","QA|Nova Bank - Infopool","Wed Oct 15 18:49:14 UTC 2025","failed","Wed Oct 15 18:49:14 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","90","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed Oct 15 18:48:58 UTC 2025","passed","Wed Oct 15 18:48:58 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","95","Get events - invalid start date","QA|Nova Bank - Infopool","Wed Oct 15 18:48:46 UTC 2025","failed","Wed Oct 15 18:48:46 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","91","Fetch Customers Channels","QA|Nova Bank - Infopool","Wed Oct 15 18:48:58 UTC 2025","failed","Wed Oct 15 18:48:59 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","106","Invalid credentials","QA|Nova Bank - Infopool","Wed Oct 15 18:48:36 UTC 2025","failed","Wed Oct 15 18:48:36 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","92","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Wed Oct 15 18:49:11 UTC 2025","failed","Wed Oct 15 18:49:11 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","88","resend_invitation_toUser","QA|Nova Bank - Infopool","Wed Oct 15 18:48:46 UTC 2025","passed","Wed Oct 15 18:48:46 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","93","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Wed Oct 15 18:49:16 UTC 2025","failed","Wed Oct 15 18:49:16 UTC 2025","","corporate Adjustment","",""
"","98","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Wed Oct 15 18:48:59 UTC 2025","failed","Wed Oct 15 18:48:59 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","93","Fetch all users","QA|Nova Bank - Infopool","Wed Oct 15 18:49:00 UTC 2025","failed","Wed Oct 15 18:49:00 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","91","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Wed Oct 15 18:48:47 UTC 2025","failed","Wed Oct 15 18:48:47 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","91","Get permission by ID - successful","QA|Nova Bank - Infopool","Wed Oct 15 18:49:12 UTC 2025","failed","Wed Oct 15 18:49:12 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","93","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Wed Oct 15 18:48:46 UTC 2025","failed","Wed Oct 15 18:48:46 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","90","reset password","QA|Nova Bank - Infopool","Wed Oct 15 18:48:43 UTC 2025","passed","Wed Oct 15 18:48:43 UTC 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","92","Invalid name - Search Customers","QA|Nova Bank - Infopool","Wed Oct 15 18:48:57 UTC 2025","failed","Wed Oct 15 18:48:57 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","94","Update profile","QA|Nova Bank - Infopool","Wed Oct 15 18:48:45 UTC 2025","failed","Wed Oct 15 18:48:45 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","89","Logout session - no session","QA|Nova Bank - Infopool","Wed Oct 15 18:49:13 UTC 2025","failed","Wed Oct 15 18:49:13 UTC 2025","v1 > Logout","Bank Admin","",""
"","91","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Wed Oct 15 18:48:49 UTC 2025","passed","Wed Oct 15 18:48:49 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","107","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Wed Oct 15 18:48:46 UTC 2025","passed","Wed Oct 15 18:48:46 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","91","Get role by ID - successful","QA|Nova Bank - Infopool","Wed Oct 15 18:49:12 UTC 2025","failed","Wed Oct 15 18:49:12 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
