"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","81","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Aug 31 20:11:12 UTC 2025","failed","Sun Aug 31 20:11:12 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","82","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Aug 31 20:11:12 UTC 2025","failed","Sun Aug 31 20:11:12 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","81","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Aug 31 20:11:11 UTC 2025","failed","Sun Aug 31 20:11:11 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","3187","Update user - successful","QA|Nova Bank - Infopool","Sun Aug 31 20:11:01 UTC 2025","failed","Sun Aug 31 20:11:04 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","81","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Aug 31 20:10:58 UTC 2025","passed","Sun Aug 31 20:10:58 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","84","Update user - empty action field","QA|Nova Bank - Infopool","Sun Aug 31 20:11:07 UTC 2025","failed","Sun Aug 31 20:11:07 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","82","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Aug 31 20:10:56 UTC 2025","failed","Sun Aug 31 20:10:57 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"Delete a report (soft delete)","3175","Delete Report -No auth","QA|Nova Bank - Infopool","Sun Aug 31 20:11:18 UTC 2025","failed","Sun Aug 31 20:11:21 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","82","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Aug 31 20:10:59 UTC 2025","failed","Sun Aug 31 20:10:59 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","80","No auth - Update role status","QA|Nova Bank - Infopool","Sun Aug 31 20:11:12 UTC 2025","failed","Sun Aug 31 20:11:12 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","81","No auth - get user role","QA|Nova Bank - Infopool","Sun Aug 31 20:11:07 UTC 2025","passed","Sun Aug 31 20:11:07 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","82","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Sun Aug 31 20:11:22 UTC 2025","failed","Sun Aug 31 20:11:22 UTC 2025","","corporate Adjustment","",""
"","84","Search Customers","QA|Nova Bank - Infopool","Sun Aug 31 20:10:58 UTC 2025","failed","Sun Aug 31 20:10:58 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","88","verifyOTP","QA|Nova Bank - Infopool","Sun Aug 31 20:10:44 UTC 2025","failed","Sun Aug 31 20:10:44 UTC 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"Update an existing report","76","Update Report","QA|Nova Bank - Infopool","Sun Aug 31 20:11:15 UTC 2025","passed","Sun Aug 31 20:11:15 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","80","get user role","QA|Nova Bank - Infopool","Sun Aug 31 20:11:07 UTC 2025","failed","Sun Aug 31 20:11:07 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","85","Add attachment to issue","QA|Nova Bank - Infopool","Sun Aug 31 20:10:56 UTC 2025","failed","Sun Aug 31 20:10:56 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","84","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sun Aug 31 20:10:53 UTC 2025","failed","Sun Aug 31 20:10:53 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","80","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Aug 31 20:10:57 UTC 2025","failed","Sun Aug 31 20:10:57 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","82","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Aug 31 20:11:10 UTC 2025","failed","Sun Aug 31 20:11:10 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","81","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Aug 31 20:10:56 UTC 2025","failed","Sun Aug 31 20:10:56 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"Get a specific report by ID","81","Get Report by UUID","QA|Nova Bank - Infopool","Sun Aug 31 20:11:14 UTC 2025","failed","Sun Aug 31 20:11:14 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","81","search Corporate Adjustment","QA|Nova Bank - Infopool","Sun Aug 31 20:11:22 UTC 2025","failed","Sun Aug 31 20:11:22 UTC 2025","","corporate Adjustment","",""
"","80","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Aug 31 20:10:59 UTC 2025","passed","Sun Aug 31 20:10:59 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","79","reset password","QA|Nova Bank - Infopool","Sun Aug 31 20:10:45 UTC 2025","passed","Sun Aug 31 20:10:45 UTC 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","82","Get single definition","QA|Nova Bank - Infopool","Sun Aug 31 20:11:00 UTC 2025","failed","Sun Aug 31 20:11:00 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
