"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","Update user - empty action field","QA|Nova Bank - Infopool","Wed May 14 16:14:18 GMT 2025","failed","Wed May 14 16:14:19 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","91","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Wed May 14 16:14:20 GMT 2025","failed","Wed May 14 16:14:20 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","85","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Wed May 14 16:14:00 GMT 2025","passed","Wed May 14 16:14:00 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","94","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Wed May 14 16:14:40 GMT 2025","failed","Wed May 14 16:14:41 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","88","Create organization - empty mis code","QA|Nova Bank - Infopool","Wed May 14 16:14:20 GMT 2025","failed","Wed May 14 16:14:20 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","89","Get profile roles - No Auth","QA|Nova Bank - Infopool","Wed May 14 16:13:55 GMT 2025","passed","Wed May 14 16:13:55 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","88","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Wed May 14 16:14:17 GMT 2025","failed","Wed May 14 16:14:17 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","96","Update profile - Invalid file size","QA|Nova Bank - Infopool","Wed May 14 16:13:57 GMT 2025","failed","Wed May 14 16:13:57 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","92","Update role status - role does not exist","QA|Nova Bank - Infopool","Wed May 14 16:14:23 GMT 2025","failed","Wed May 14 16:14:23 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","94","Update Customer Comment","QA|Nova Bank - Infopool","Wed May 14 16:14:02 GMT 2025","failed","Wed May 14 16:14:02 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","85","Add user to an organization - no auth","QA|Nova Bank - Infopool","Wed May 14 16:14:22 GMT 2025","passed","Wed May 14 16:14:22 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
