"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","139","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:34:18 GMT 2025","passed","Sun Jun 08 21:34:18 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","81","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Jun 08 21:35:48 GMT 2025","passed","Sun Jun 08 21:35:48 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","156","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jun 08 21:34:13 GMT 2025","passed","Sun Jun 08 21:34:13 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","79","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 21:35:46 GMT 2025","passed","Sun Jun 08 21:35:46 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","141","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 21:34:32 GMT 2025","passed","Sun Jun 08 21:34:32 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","286","verify OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:34:00 GMT 2025","passed","Sun Jun 08 21:34:01 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","142","Update profile - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:34:12 GMT 2025","passed","Sun Jun 08 21:34:13 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","327","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:35:48 GMT 2025","passed","Sun Jun 08 21:35:49 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","138","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:34:16 GMT 2025","passed","Sun Jun 08 21:34:16 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","79","Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 21:35:45 GMT 2025","passed","Sun Jun 08 21:35:45 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","246","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:36:00 GMT 2025","passed","Sun Jun 08 21:36:00 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","248","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Jun 08 21:34:16 GMT 2025","passed","Sun Jun 08 21:34:16 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","358","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Jun 08 21:34:35 GMT 2025","passed","Sun Jun 08 21:34:35 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","81","Empty fields - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 21:35:46 GMT 2025","passed","Sun Jun 08 21:35:46 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","146","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:34:16 GMT 2025","passed","Sun Jun 08 21:34:17 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","124","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:34:22 GMT 2025","passed","Sun Jun 08 21:34:23 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","230","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:34:17 GMT 2025","passed","Sun Jun 08 21:34:18 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","82","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 21:35:45 GMT 2025","passed","Sun Jun 08 21:35:45 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","139","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:34:00 GMT 2025","passed","Sun Jun 08 21:34:00 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","79","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Jun 08 21:35:48 GMT 2025","passed","Sun Jun 08 21:35:48 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","252","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Jun 08 21:34:14 GMT 2025","passed","Sun Jun 08 21:34:14 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","85","No Auth - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:34:02 GMT 2025","passed","Sun Jun 08 21:34:03 GMT 2025","v1 > Profile > Password","Bank User","",""
"","3236","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun Jun 08 21:34:05 GMT 2025","passed","Sun Jun 08 21:34:09 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","355","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:34:30 GMT 2025","passed","Sun Jun 08 21:34:30 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","77","Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 21:35:46 GMT 2025","passed","Sun Jun 08 21:35:46 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","130","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:34:30 GMT 2025","failed","Sun Jun 08 21:34:30 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","143","managers","QA|Nova Bank - Infopool","Sun Jun 08 21:36:00 GMT 2025","passed","Sun Jun 08 21:36:00 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","150","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 21:34:27 GMT 2025","passed","Sun Jun 08 21:34:28 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
