"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","40","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Apr 25 18:53:33 GMT 2025","passed","Fri Apr 25 18:53:33 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","45","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri Apr 25 18:53:33 GMT 2025","passed","Fri Apr 25 18:53:33 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","30","No Auth - Fetch all users","QA|Nova Bank - Infopool","Fri Apr 25 18:53:58 GMT 2025","passed","Fri Apr 25 18:53:58 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","50","Empty fields - Update definition","QA|Nova Bank - Infopool","Fri Apr 25 18:53:58 GMT 2025","passed","Fri Apr 25 18:53:58 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","30","Update user - no auth","QA|Nova Bank - Infopool","Fri Apr 25 18:53:58 GMT 2025","passed","Fri Apr 25 18:53:58 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","34","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Apr 25 18:53:48 GMT 2025","passed","Fri Apr 25 18:53:48 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","48","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri Apr 25 18:54:01 GMT 2025","passed","Fri Apr 25 18:54:01 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","43","Invalid name - Search Customers","QA|Nova Bank - Infopool","Fri Apr 25 18:53:38 GMT 2025","passed","Fri Apr 25 18:53:38 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","79","Forgot password - successful","QA|Nova Bank - Infopool","Fri Apr 25 18:53:33 GMT 2025","passed","Fri Apr 25 18:53:33 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","226","Change password - successful","QA|Nova Bank - Infopool","Fri Apr 25 18:53:33 GMT 2025","passed","Fri Apr 25 18:53:34 GMT 2025","v1 > Profile > Password","Bank User","",""
"","50","Update user - empty action field","QA|Nova Bank - Infopool","Fri Apr 25 18:53:59 GMT 2025","passed","Fri Apr 25 18:53:59 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","6191","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Apr 25 18:53:42 GMT 2025","failed","Fri Apr 25 18:53:48 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","27","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri Apr 25 18:54:01 GMT 2025","passed","Fri Apr 25 18:54:01 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","54","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri Apr 25 18:54:00 GMT 2025","passed","Fri Apr 25 18:54:00 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","38","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Apr 25 18:53:33 GMT 2025","passed","Fri Apr 25 18:53:33 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","39","Get all permissions","QA|Nova Bank - Infopool","Fri Apr 25 18:54:02 GMT 2025","passed","Fri Apr 25 18:54:02 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","53","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Apr 25 18:53:37 GMT 2025","passed","Fri Apr 25 18:53:37 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","30","Update Customer Comment Copy","QA|Nova Bank - Infopool","Fri Apr 25 18:53:37 GMT 2025","passed","Fri Apr 25 18:53:37 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Update an existing report","49","Update Report","QA|Nova Bank - Infopool","Fri Apr 25 18:54:10 GMT 2025","passed","Fri Apr 25 18:54:10 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","117","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Apr 25 18:53:33 GMT 2025","passed","Fri Apr 25 18:53:33 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Delete a report (soft delete)","31","Delete Report -No auth","QA|Nova Bank - Infopool","Fri Apr 25 18:54:10 GMT 2025","passed","Fri Apr 25 18:54:10 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","110","Get events - invalid end date","QA|Nova Bank - Infopool","Fri Apr 25 18:53:35 GMT 2025","passed","Fri Apr 25 18:53:35 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","69","Update profile","QA|Nova Bank - Infopool","Fri Apr 25 18:53:35 GMT 2025","failed","Fri Apr 25 18:53:35 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","31","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Apr 25 18:53:38 GMT 2025","passed","Fri Apr 25 18:53:38 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","52","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri Apr 25 18:53:35 GMT 2025","passed","Fri Apr 25 18:53:35 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","48","Logout session successfully","QA|Nova Bank - Infopool","Fri Apr 25 18:54:02 GMT 2025","passed","Fri Apr 25 18:54:02 GMT 2025","v1 > Logout","Bank Admin","",""
"","73","Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Apr 25 18:53:51 GMT 2025","passed","Fri Apr 25 18:53:51 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","41","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Fri Apr 25 18:53:36 GMT 2025","passed","Fri Apr 25 18:53:36 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","42","Invalid email format","QA|Nova Bank - Infopool","Fri Apr 25 18:53:33 GMT 2025","passed","Fri Apr 25 18:53:33 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","40","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Fri Apr 25 18:53:36 GMT 2025","passed","Fri Apr 25 18:53:36 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","33","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Fri Apr 25 18:53:37 GMT 2025","passed","Fri Apr 25 18:53:37 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","37","No Auth - Change password","QA|Nova Bank - Infopool","Fri Apr 25 18:53:34 GMT 2025","passed","Fri Apr 25 18:53:34 GMT 2025","v1 > Profile > Password","Bank User","",""
"","3147","Get all definitions","QA|Nova Bank - Infopool","Fri Apr 25 18:53:52 GMT 2025","passed","Fri Apr 25 18:53:55 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","6911","Successful login","QA|Nova Bank - Infopool","Fri Apr 25 18:53:26 GMT 2025","passed","Fri Apr 25 18:53:32 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Delete a report (soft delete)","66","Delete Report","QA|Nova Bank - Infopool","Fri Apr 25 18:54:10 GMT 2025","passed","Fri Apr 25 18:54:10 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","42","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri Apr 25 18:53:58 GMT 2025","passed","Fri Apr 25 18:53:58 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","88","audit trail","QA|Nova Bank - Infopool","Fri Apr 25 18:53:35 GMT 2025","passed","Fri Apr 25 18:53:35 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","29","Logout session - no session","QA|Nova Bank - Infopool","Fri Apr 25 18:54:02 GMT 2025","passed","Fri Apr 25 18:54:02 GMT 2025","v1 > Logout","Bank Admin","",""
"","52","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri Apr 25 18:53:59 GMT 2025","passed","Fri Apr 25 18:53:59 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","No auth - get all category","QA|Nova Bank - Infopool","Fri Apr 25 18:54:02 GMT 2025","passed","Fri Apr 25 18:54:02 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","35","Update profile - No Auth","QA|Nova Bank - Infopool","Fri Apr 25 18:53:35 GMT 2025","passed","Fri Apr 25 18:53:35 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","30","audit trail - No Auth","QA|Nova Bank - Infopool","Fri Apr 25 18:53:35 GMT 2025","passed","Fri Apr 25 18:53:35 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","31","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Apr 25 18:53:37 GMT 2025","passed","Fri Apr 25 18:53:37 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","45","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Apr 25 18:54:02 GMT 2025","failed","Fri Apr 25 18:54:02 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","47","Update Customer Comment","QA|Nova Bank - Infopool","Fri Apr 25 18:53:37 GMT 2025","passed","Fri Apr 25 18:53:37 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","42","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Apr 25 18:53:33 GMT 2025","passed","Fri Apr 25 18:53:33 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","109","Update role status - role does not exist","QA|Nova Bank - Infopool","Fri Apr 25 18:54:01 GMT 2025","passed","Fri Apr 25 18:54:01 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","8","New Request","QA|Nova Bank - Infopool","Fri Apr 25 18:53:33 GMT 2025","broken","Fri Apr 25 18:53:33 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"Get a paginated list of reports with optional filtering","47","Get Reports","QA|Nova Bank - Infopool","Fri Apr 25 18:54:02 GMT 2025","passed","Fri Apr 25 18:54:02 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","45","Fetch all organizations","QA|Nova Bank - Infopool","Fri Apr 25 18:54:00 GMT 2025","passed","Fri Apr 25 18:54:00 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","48","Get all Issues","QA|Nova Bank - Infopool","Fri Apr 25 18:53:37 GMT 2025","failed","Fri Apr 25 18:53:37 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
