"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","87","Export Report Data - No auth","QA|Nova Bank - Infopool","Sun Apr 20 20:26:40 GMT 2025","passed","Sun Apr 20 20:26:40 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","148","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Apr 20 20:25:39 GMT 2025","passed","Sun Apr 20 20:25:40 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","119","Update profile","QA|Nova Bank - Infopool","Sun Apr 20 20:25:39 GMT 2025","failed","Sun Apr 20 20:25:39 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","3184","No auth - Update role status","QA|Nova Bank - Infopool","Sun Apr 20 20:26:20 GMT 2025","passed","Sun Apr 20 20:26:23 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","96","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Apr 20 20:25:49 GMT 2025","passed","Sun Apr 20 20:25:49 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","88","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Apr 20 20:25:40 GMT 2025","passed","Sun Apr 20 20:25:40 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","88","No auth - update role","QA|Nova Bank - Infopool","Sun Apr 20 20:26:15 GMT 2025","passed","Sun Apr 20 20:26:15 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Get a paginated list of reports with optional filtering","88","Get Reports - No auth","QA|Nova Bank - Infopool","Sun Apr 20 20:26:28 GMT 2025","passed","Sun Apr 20 20:26:28 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","111","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Apr 20 20:26:14 GMT 2025","passed","Sun Apr 20 20:26:14 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","94","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Apr 20 20:25:40 GMT 2025","passed","Sun Apr 20 20:25:40 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","99","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Apr 20 20:25:50 GMT 2025","failed","Sun Apr 20 20:25:50 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","96","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Apr 20 20:26:16 GMT 2025","passed","Sun Apr 20 20:26:16 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","92","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Apr 20 20:25:36 GMT 2025","passed","Sun Apr 20 20:25:36 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","86","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Apr 20 20:26:19 GMT 2025","passed","Sun Apr 20 20:26:19 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","86","No auth - get user role","QA|Nova Bank - Infopool","Sun Apr 20 20:26:14 GMT 2025","passed","Sun Apr 20 20:26:14 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Get a paginated list of reports with optional filtering","350","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sun Apr 20 20:26:28 GMT 2025","failed","Sun Apr 20 20:26:29 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"Get a specific report by ID","93","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun Apr 20 20:26:29 GMT 2025","passed","Sun Apr 20 20:26:29 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","86","Update user - no auth","QA|Nova Bank - Infopool","Sun Apr 20 20:26:14 GMT 2025","passed","Sun Apr 20 20:26:14 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","138","Update role status - role does not exist","QA|Nova Bank - Infopool","Sun Apr 20 20:26:20 GMT 2025","passed","Sun Apr 20 20:26:20 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","104","Logout session successfully","QA|Nova Bank - Infopool","Sun Apr 20 20:26:27 GMT 2025","passed","Sun Apr 20 20:26:27 GMT 2025","v1 > Logout","Bank Admin","",""
"","106","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Apr 20 20:26:17 GMT 2025","passed","Sun Apr 20 20:26:17 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","98","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Apr 20 20:26:13 GMT 2025","passed","Sun Apr 20 20:26:13 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","110","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Apr 20 20:25:49 GMT 2025","failed","Sun Apr 20 20:25:49 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","90","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Apr 20 20:25:36 GMT 2025","passed","Sun Apr 20 20:25:37 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","119","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Apr 20 20:26:06 GMT 2025","passed","Sun Apr 20 20:26:06 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","88","Get Report Data - No auth","QA|Nova Bank - Infopool","Sun Apr 20 20:26:40 GMT 2025","passed","Sun Apr 20 20:26:40 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","95","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Apr 20 20:25:51 GMT 2025","passed","Sun Apr 20 20:25:51 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Get a specific report by ID","89","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Sun Apr 20 20:26:29 GMT 2025","passed","Sun Apr 20 20:26:29 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","96","Get all permissions","QA|Nova Bank - Infopool","Sun Apr 20 20:26:27 GMT 2025","passed","Sun Apr 20 20:26:27 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","109","Create  organization - without parent id","QA|Nova Bank - Infopool","Sun Apr 20 20:26:15 GMT 2025","passed","Sun Apr 20 20:26:15 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","101","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Apr 20 20:25:51 GMT 2025","passed","Sun Apr 20 20:25:51 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","96","Invalid email format","QA|Nova Bank - Infopool","Sun Apr 20 20:25:35 GMT 2025","passed","Sun Apr 20 20:25:35 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","109","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Apr 20 20:26:17 GMT 2025","passed","Sun Apr 20 20:26:17 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","105","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Apr 20 20:26:17 GMT 2025","failed","Sun Apr 20 20:26:17 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Create a new report","6247","Create Report - No auth","QA|Nova Bank - Infopool","Sun Apr 20 20:26:30 GMT 2025","passed","Sun Apr 20 20:26:36 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","143","Add Comment to Customer","QA|Nova Bank - Infopool","Sun Apr 20 20:25:50 GMT 2025","passed","Sun Apr 20 20:25:50 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","112","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Apr 20 20:26:17 GMT 2025","passed","Sun Apr 20 20:26:17 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","196","Weak password - Change password","QA|Nova Bank - Infopool","Sun Apr 20 20:25:37 GMT 2025","passed","Sun Apr 20 20:25:37 GMT 2025","v1 > Profile > Password","Bank User","",""
"","103","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Apr 20 20:26:16 GMT 2025","passed","Sun Apr 20 20:26:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","3169","Get all Issues","QA|Nova Bank - Infopool","Sun Apr 20 20:25:45 GMT 2025","failed","Sun Apr 20 20:25:48 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","85","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun Apr 20 20:26:26 GMT 2025","passed","Sun Apr 20 20:26:26 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","6","New Request","QA|Nova Bank - Infopool","Sun Apr 20 20:26:13 GMT 2025","broken","Sun Apr 20 20:26:13 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","105","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Apr 20 20:25:38 GMT 2025","passed","Sun Apr 20 20:25:38 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","88","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Apr 20 20:26:15 GMT 2025","passed","Sun Apr 20 20:26:15 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","262","Get all definitions","QA|Nova Bank - Infopool","Sun Apr 20 20:26:06 GMT 2025","passed","Sun Apr 20 20:26:06 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","258","Get profile - successfully","QA|Nova Bank - Infopool","Sun Apr 20 20:25:38 GMT 2025","passed","Sun Apr 20 20:25:38 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","107","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sun Apr 20 20:26:17 GMT 2025","failed","Sun Apr 20 20:26:17 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","87","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Apr 20 20:26:02 GMT 2025","passed","Sun Apr 20 20:26:02 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","85","No auth - category by id","QA|Nova Bank - Infopool","Sun Apr 20 20:26:27 GMT 2025","passed","Sun Apr 20 20:26:27 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","110","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Apr 20 20:25:37 GMT 2025","passed","Sun Apr 20 20:25:37 GMT 2025","v1 > Profile > Password","Bank User","",""
"","88","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Apr 20 20:25:49 GMT 2025","passed","Sun Apr 20 20:25:50 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","93","No user credentials","QA|Nova Bank - Infopool","Sun Apr 20 20:25:35 GMT 2025","passed","Sun Apr 20 20:25:35 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","96","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Apr 20 20:25:35 GMT 2025","passed","Sun Apr 20 20:25:35 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","87","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Apr 20 20:26:16 GMT 2025","failed","Sun Apr 20 20:26:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","708","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Sun Apr 20 20:26:29 GMT 2025","passed","Sun Apr 20 20:26:30 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","2871","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Apr 20 20:25:53 GMT 2025","passed","Sun Apr 20 20:25:56 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","88","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Apr 20 20:26:13 GMT 2025","passed","Sun Apr 20 20:26:13 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","87","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Apr 20 20:25:50 GMT 2025","passed","Sun Apr 20 20:25:50 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","112","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Apr 20 20:26:18 GMT 2025","passed","Sun Apr 20 20:26:18 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","115","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Apr 20 20:26:18 GMT 2025","passed","Sun Apr 20 20:26:19 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","86","No auth - get all category","QA|Nova Bank - Infopool","Sun Apr 20 20:26:27 GMT 2025","passed","Sun Apr 20 20:26:27 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","96","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Apr 20 20:26:13 GMT 2025","passed","Sun Apr 20 20:26:13 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","149","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Apr 20 20:25:39 GMT 2025","passed","Sun Apr 20 20:25:39 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","268","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Sun Apr 20 20:25:42 GMT 2025","passed","Sun Apr 20 20:25:42 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get a paginated list of reports with optional filtering","86","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sun Apr 20 20:26:28 GMT 2025","passed","Sun Apr 20 20:26:28 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"Delete a report (soft delete)","86","Delete Report -No auth","QA|Nova Bank - Infopool","Sun Apr 20 20:26:37 GMT 2025","passed","Sun Apr 20 20:26:37 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
