"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","91","No_auth_add_comments","QA|Nova Bank - Infopool","Wed Nov 12 18:47:21 UTC 2025","broken","Wed Nov 12 18:47:21 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","95","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Wed Nov 12 18:47:18 UTC 2025","broken","Wed Nov 12 18:47:18 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","92","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Wed Nov 12 18:47:22 UTC 2025","broken","Wed Nov 12 18:47:23 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","95","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Wed Nov 12 18:47:31 UTC 2025","broken","Wed Nov 12 18:47:31 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","93","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Wed Nov 12 18:47:32 UTC 2025","broken","Wed Nov 12 18:47:33 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","93","Add user to an organization - no auth","QA|Nova Bank - Infopool","Wed Nov 12 18:47:29 UTC 2025","broken","Wed Nov 12 18:47:29 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","89","No Auth - Get all permissions","QA|Nova Bank - Infopool","Wed Nov 12 18:47:31 UTC 2025","broken","Wed Nov 12 18:47:32 UTC 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","117","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Nov 12 18:47:15 UTC 2025","broken","Wed Nov 12 18:47:15 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","90","Update user - ID does not exist","QA|Nova Bank - Infopool","Wed Nov 12 18:47:25 UTC 2025","broken","Wed Nov 12 18:47:25 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","92","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Wed Nov 12 18:47:27 UTC 2025","broken","Wed Nov 12 18:47:27 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
