"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","103","Get events - invalid end date","QA|Nova Bank - Infopool","Thu Jun 05 15:50:29 GMT 2025","passed","Thu Jun 05 15:50:29 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","36","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 15:50:32 GMT 2025","failed","Thu Jun 05 15:50:32 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","35","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 15:50:32 GMT 2025","failed","Thu Jun 05 15:50:32 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","35","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","passed","Thu Jun 05 15:50:47 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","37","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Thu Jun 05 15:50:31 GMT 2025","passed","Thu Jun 05 15:50:31 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","61","verify OTP","QA|Nova Bank - Infopool","Thu Jun 05 15:50:28 GMT 2025","passed","Thu Jun 05 15:50:28 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","34","No auth - managers","QA|Nova Bank - Infopool","Thu Jun 05 15:50:47 GMT 2025","passed","Thu Jun 05 15:50:47 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","238","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 15:50:30 GMT 2025","passed","Thu Jun 05 15:50:31 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","41","get user role","QA|Nova Bank - Infopool","Thu Jun 05 15:50:45 GMT 2025","passed","Thu Jun 05 15:50:45 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","38","No Auth - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 15:50:31 GMT 2025","passed","Thu Jun 05 15:50:31 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","44","Create organization - empty description","QA|Nova Bank - Infopool","Thu Jun 05 15:50:45 GMT 2025","passed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","45","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","passed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","6679","Successful login","QA|Nova Bank - Infopool","Thu Jun 05 15:50:20 GMT 2025","passed","Thu Jun 05 15:50:26 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","38","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 15:50:30 GMT 2025","passed","Thu Jun 05 15:50:30 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","48","resend_invitation_toUser","QA|Nova Bank - Infopool","Thu Jun 05 15:50:30 GMT 2025","passed","Thu Jun 05 15:50:30 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","37","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 15:50:31 GMT 2025","failed","Thu Jun 05 15:50:31 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","42","Empty fields - Update definition","QA|Nova Bank - Infopool","Thu Jun 05 15:50:44 GMT 2025","passed","Thu Jun 05 15:50:44 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","34","No auth - update role","QA|Nova Bank - Infopool","Thu Jun 05 15:50:45 GMT 2025","passed","Thu Jun 05 15:50:45 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","177","Change password - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:50:28 GMT 2025","passed","Thu Jun 05 15:50:28 GMT 2025","v1 > Profile > Password","Bank User","",""
"","34","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Thu Jun 05 15:50:47 GMT 2025","passed","Thu Jun 05 15:50:47 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","34","No auth - get user role","QA|Nova Bank - Infopool","Thu Jun 05 15:50:45 GMT 2025","passed","Thu Jun 05 15:50:45 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","53","Get all Issues","QA|Nova Bank - Infopool","Thu Jun 05 15:50:31 GMT 2025","failed","Thu Jun 05 15:50:31 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","38","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 15:50:30 GMT 2025","passed","Thu Jun 05 15:50:30 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","40","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 15:50:27 GMT 2025","passed","Thu Jun 05 15:50:27 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","43","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 15:50:47 GMT 2025","passed","Thu Jun 05 15:50:47 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","34","No Auth - Update definition","QA|Nova Bank - Infopool","Thu Jun 05 15:50:44 GMT 2025","passed","Thu Jun 05 15:50:44 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","98","No auth - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 15:50:30 GMT 2025","passed","Thu Jun 05 15:50:30 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","36","Update profile - no auth","QA|Nova Bank - Infopool","Thu Jun 05 15:50:28 GMT 2025","passed","Thu Jun 05 15:50:29 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","71","audit trail","QA|Nova Bank - Infopool","Thu Jun 05 15:50:29 GMT 2025","passed","Thu Jun 05 15:50:29 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","40","Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 15:50:31 GMT 2025","failed","Thu Jun 05 15:50:31 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","50","Get roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:50:47 GMT 2025","passed","Thu Jun 05 15:50:47 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","35","Fetch Customer Comments","QA|Nova Bank - Infopool","Thu Jun 05 15:50:32 GMT 2025","failed","Thu Jun 05 15:50:32 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","37","Update profile - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 15:50:29 GMT 2025","passed","Thu Jun 05 15:50:29 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","35","Add user to an organization - no auth","QA|Nova Bank - Infopool","Thu Jun 05 15:50:47 GMT 2025","passed","Thu Jun 05 15:50:47 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","33","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","passed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","69","Update profile - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:50:28 GMT 2025","passed","Thu Jun 05 15:50:28 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","101","Get events - invalid start date","QA|Nova Bank - Infopool","Thu Jun 05 15:50:29 GMT 2025","passed","Thu Jun 05 15:50:29 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","46","Create  organization - without parent id","QA|Nova Bank - Infopool","Thu Jun 05 15:50:45 GMT 2025","passed","Thu Jun 05 15:50:45 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","35","No Auth - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 15:50:32 GMT 2025","passed","Thu Jun 05 15:50:32 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","34","No Auth - Get all definitions","QA|Nova Bank - Infopool","Thu Jun 05 15:50:44 GMT 2025","passed","Thu Jun 05 15:50:44 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","39","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 15:50:27 GMT 2025","passed","Thu Jun 05 15:50:27 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","49","Fetch all users in an organization","QA|Nova Bank - Infopool","Thu Jun 05 15:50:47 GMT 2025","passed","Thu Jun 05 15:50:47 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","36","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 15:50:30 GMT 2025","passed","Thu Jun 05 15:50:30 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","93","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 15:50:31 GMT 2025","failed","Thu Jun 05 15:50:31 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","46","Fetch user by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:50:44 GMT 2025","passed","Thu Jun 05 15:50:45 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
