"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","84","Create roles - No auth","QA|Nova Bank - Infopool","Sun Sep 21 20:11:40 UTC 2025","failed","Sun Sep 21 20:11:40 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","84","Update definition","QA|Nova Bank - Infopool","Sun Sep 21 20:11:29 UTC 2025","failed","Sun Sep 21 20:11:29 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","85","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Sep 21 20:11:27 UTC 2025","passed","Sun Sep 21 20:11:27 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","84","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Sep 21 20:11:29 UTC 2025","failed","Sun Sep 21 20:11:29 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"Get a specific report by ID","86","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun Sep 21 20:11:43 UTC 2025","failed","Sun Sep 21 20:11:43 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","83","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun Sep 21 20:11:41 UTC 2025","passed","Sun Sep 21 20:11:41 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","84","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Sep 21 20:11:32 UTC 2025","failed","Sun Sep 21 20:11:32 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","86","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Sep 21 20:11:31 UTC 2025","failed","Sun Sep 21 20:11:31 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","88","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Sep 21 20:11:13 UTC 2025","failed","Sun Sep 21 20:11:13 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","91","Empty new password - Change password","QA|Nova Bank - Infopool","Sun Sep 21 20:11:14 UTC 2025","failed","Sun Sep 21 20:11:15 UTC 2025","v1 > Profile > Password","Bank User","",""
"","88","Create organization - empty description","QA|Nova Bank - Infopool","Sun Sep 21 20:11:31 UTC 2025","failed","Sun Sep 21 20:11:31 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","84","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Sep 21 20:11:32 UTC 2025","failed","Sun Sep 21 20:11:32 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","87","Get all Issues","QA|Nova Bank - Infopool","Sun Sep 21 20:11:18 UTC 2025","failed","Sun Sep 21 20:11:18 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","86","Update user - invalid action","QA|Nova Bank - Infopool","Sun Sep 21 20:11:30 UTC 2025","failed","Sun Sep 21 20:11:30 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","85","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Sep 21 20:11:31 UTC 2025","failed","Sun Sep 21 20:11:31 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","87","Update Customer Comment","QA|Nova Bank - Infopool","Sun Sep 21 20:11:20 UTC 2025","failed","Sun Sep 21 20:11:20 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","83","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Sep 21 20:11:28 UTC 2025","passed","Sun Sep 21 20:11:28 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","85","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Sep 21 20:11:14 UTC 2025","passed","Sun Sep 21 20:11:14 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","84","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Sep 21 20:11:33 UTC 2025","failed","Sun Sep 21 20:11:33 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","85","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Sep 21 20:11:33 UTC 2025","failed","Sun Sep 21 20:11:33 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","84","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Sep 21 20:11:19 UTC 2025","failed","Sun Sep 21 20:11:19 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","84","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Sep 21 20:11:33 UTC 2025","failed","Sun Sep 21 20:11:33 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","85","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Sep 21 20:11:33 UTC 2025","passed","Sun Sep 21 20:11:33 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","94","Get roles - No Auth","QA|Nova Bank - Infopool","Sun Sep 21 20:11:40 UTC 2025","passed","Sun Sep 21 20:11:40 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","86","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun Sep 21 20:11:17 UTC 2025","failed","Sun Sep 21 20:11:17 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","87","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Sep 21 20:11:14 UTC 2025","failed","Sun Sep 21 20:11:14 UTC 2025","v1 > Profile > Password","Bank User","",""
"","83","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Sep 21 20:11:28 UTC 2025","passed","Sun Sep 21 20:11:28 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","3187","managers","QA|Nova Bank - Infopool","Sun Sep 21 20:11:34 UTC 2025","failed","Sun Sep 21 20:11:37 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","83","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Sep 21 20:11:28 UTC 2025","passed","Sun Sep 21 20:11:28 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","82","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Sep 21 20:11:15 UTC 2025","passed","Sun Sep 21 20:11:15 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","84","No auth - update role","QA|Nova Bank - Infopool","Sun Sep 21 20:11:30 UTC 2025","failed","Sun Sep 21 20:11:30 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","86","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Sep 21 20:11:33 UTC 2025","failed","Sun Sep 21 20:11:33 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","87","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Sep 21 20:11:18 UTC 2025","failed","Sun Sep 21 20:11:19 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","86","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Sep 21 20:11:15 UTC 2025","failed","Sun Sep 21 20:11:15 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","85","category by id","QA|Nova Bank - Infopool","Sun Sep 21 20:11:42 UTC 2025","failed","Sun Sep 21 20:11:42 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"Get a paginated list of reports with optional filtering","83","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Sun Sep 21 20:11:43 UTC 2025","passed","Sun Sep 21 20:11:43 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","85","Update profile - no auth","QA|Nova Bank - Infopool","Sun Sep 21 20:11:15 UTC 2025","failed","Sun Sep 21 20:11:15 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","89","Get Issue by ID","QA|Nova Bank - Infopool","Sun Sep 21 20:11:18 UTC 2025","failed","Sun Sep 21 20:11:18 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","84","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Sep 21 20:11:16 UTC 2025","passed","Sun Sep 21 20:11:16 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","86","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Sep 21 20:11:32 UTC 2025","failed","Sun Sep 21 20:11:32 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","87","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sun Sep 21 20:11:42 UTC 2025","failed","Sun Sep 21 20:11:42 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","84","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sun Sep 21 20:11:44 UTC 2025","failed","Sun Sep 21 20:11:44 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","86","Change password - successful","QA|Nova Bank - Infopool","Sun Sep 21 20:11:14 UTC 2025","failed","Sun Sep 21 20:11:14 UTC 2025","v1 > Profile > Password","Bank User","",""
"","86","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Sep 21 20:11:17 UTC 2025","failed","Sun Sep 21 20:11:17 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a paginated list of reports with optional filtering","84","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sun Sep 21 20:11:43 UTC 2025","failed","Sun Sep 21 20:11:43 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","83","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun Sep 21 20:11:15 UTC 2025","passed","Sun Sep 21 20:11:15 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"Get a paginated list of reports with optional filtering","83","Get Reports Stats","QA|Nova Bank - Infopool","Sun Sep 21 20:11:42 UTC 2025","failed","Sun Sep 21 20:11:42 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","94","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Sep 21 20:11:13 UTC 2025","failed","Sun Sep 21 20:11:13 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","86","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Sep 21 20:11:14 UTC 2025","passed","Sun Sep 21 20:11:14 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","91","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sun Sep 21 20:11:13 UTC 2025","failed","Sun Sep 21 20:11:13 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","84","reset password","QA|Nova Bank - Infopool","Sun Sep 21 20:11:13 UTC 2025","passed","Sun Sep 21 20:11:13 UTC 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","103","Invalid credentials","QA|Nova Bank - Infopool","Sun Sep 21 20:11:12 UTC 2025","failed","Sun Sep 21 20:11:12 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"Get a paginated list of reports with optional filtering","83","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sun Sep 21 20:11:42 UTC 2025","passed","Sun Sep 21 20:11:42 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","84","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Sep 21 20:11:29 UTC 2025","failed","Sun Sep 21 20:11:29 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","85","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Sep 21 20:11:28 UTC 2025","failed","Sun Sep 21 20:11:28 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","88","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Sep 21 20:11:17 UTC 2025","failed","Sun Sep 21 20:11:17 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","84","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun Sep 21 20:11:32 UTC 2025","passed","Sun Sep 21 20:11:32 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","89","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Sep 21 20:11:16 UTC 2025","failed","Sun Sep 21 20:11:16 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"Get a paginated list of reports with optional filtering","87","Get Reports","QA|Nova Bank - Infopool","Sun Sep 21 20:11:42 UTC 2025","failed","Sun Sep 21 20:11:42 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","87","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Sep 21 20:11:14 UTC 2025","failed","Sun Sep 21 20:11:14 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","84","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Sep 21 20:11:28 UTC 2025","failed","Sun Sep 21 20:11:28 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","95","No user credentials","QA|Nova Bank - Infopool","Sun Sep 21 20:11:12 UTC 2025","failed","Sun Sep 21 20:11:12 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"Get a specific report by ID","84","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Sun Sep 21 20:11:43 UTC 2025","passed","Sun Sep 21 20:11:43 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","83","get all category","QA|Nova Bank - Infopool","Sun Sep 21 20:11:41 UTC 2025","failed","Sun Sep 21 20:11:42 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"Delete a report (soft delete)","83","Delete Report -No auth","QA|Nova Bank - Infopool","Sun Sep 21 20:11:44 UTC 2025","failed","Sun Sep 21 20:11:44 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","90","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Sep 21 20:11:13 UTC 2025","failed","Sun Sep 21 20:11:13 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a paginated list of reports with optional filtering","84","Get Report Objects - Question","QA|Nova Bank - Infopool","Sun Sep 21 20:11:42 UTC 2025","failed","Sun Sep 21 20:11:43 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","89","Update profile","QA|Nova Bank - Infopool","Sun Sep 21 20:11:15 UTC 2025","failed","Sun Sep 21 20:11:15 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","84","add_comment_successfully","QA|Nova Bank - Infopool","Sun Sep 21 20:11:19 UTC 2025","failed","Sun Sep 21 20:11:19 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","84","Fetch all organizations","QA|Nova Bank - Infopool","Sun Sep 21 20:11:31 UTC 2025","failed","Sun Sep 21 20:11:32 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","86","Update Issue","QA|Nova Bank - Infopool","Sun Sep 21 20:11:18 UTC 2025","failed","Sun Sep 21 20:11:18 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","86","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Sep 21 20:11:19 UTC 2025","failed","Sun Sep 21 20:11:19 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","86","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Sep 21 20:11:29 UTC 2025","passed","Sun Sep 21 20:11:29 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","90","Create  organization","QA|Nova Bank - Infopool","Sun Sep 21 20:11:30 UTC 2025","failed","Sun Sep 21 20:11:30 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","86","Update role status - role does not exist","QA|Nova Bank - Infopool","Sun Sep 21 20:11:41 UTC 2025","failed","Sun Sep 21 20:11:41 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
