"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a paginated list of reports with optional filtering","81","Get Reports - No auth","QA|Nova Bank - Infopool","Mon Jun 02 12:12:51 GMT 2025","passed","Mon Jun 02 12:12:51 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","81","Export Report Data","QA|Nova Bank - Infopool","Mon Jun 02 12:13:01 GMT 2025","failed","Mon Jun 02 12:13:01 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","79","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Mon Jun 02 12:12:33 GMT 2025","passed","Mon Jun 02 12:12:33 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","84","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Mon Jun 02 12:12:32 GMT 2025","failed","Mon Jun 02 12:12:32 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","85","audit trail - No Auth","QA|Nova Bank - Infopool","Mon Jun 02 12:12:22 GMT 2025","passed","Mon Jun 02 12:12:22 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","9","New Request","QA|Nova Bank - Infopool","Mon Jun 02 12:12:38 GMT 2025","broken","Mon Jun 02 12:12:38 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","82","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Mon Jun 02 12:12:22 GMT 2025","passed","Mon Jun 02 12:12:22 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a specific report by ID","91","Get Report by ID","QA|Nova Bank - Infopool","Mon Jun 02 12:12:53 GMT 2025","failed","Mon Jun 02 12:12:53 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","78","Health","QA|Nova Bank - Infopool","Mon Jun 02 12:12:37 GMT 2025","passed","Mon Jun 02 12:12:37 GMT 2025","v1 > Health","Bank Admin","",""
"","82","Create organization - empty mis code","QA|Nova Bank - Infopool","Mon Jun 02 12:12:47 GMT 2025","failed","Mon Jun 02 12:12:47 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","91","Empty current password - Change password","QA|Nova Bank - Infopool","Mon Jun 02 12:12:20 GMT 2025","passed","Mon Jun 02 12:12:20 GMT 2025","v1 > Profile > Password","Bank User","",""
"","156","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Mon Jun 02 12:12:24 GMT 2025","failed","Mon Jun 02 12:12:24 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","95","Fetch all users","QA|Nova Bank - Infopool","Mon Jun 02 12:12:38 GMT 2025","passed","Mon Jun 02 12:12:38 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","84","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Mon Jun 02 12:12:23 GMT 2025","passed","Mon Jun 02 12:12:23 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","81","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Mon Jun 02 12:12:37 GMT 2025","failed","Mon Jun 02 12:12:37 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","83","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Mon Jun 02 12:12:19 GMT 2025","passed","Mon Jun 02 12:12:19 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","81","No Auth - Fetch all users","QA|Nova Bank - Infopool","Mon Jun 02 12:12:38 GMT 2025","passed","Mon Jun 02 12:12:38 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","81","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Mon Jun 02 12:12:32 GMT 2025","failed","Mon Jun 02 12:12:32 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","105","Add Comment to Customer","QA|Nova Bank - Infopool","Mon Jun 02 12:12:32 GMT 2025","failed","Mon Jun 02 12:12:32 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","92","Get all permissions","QA|Nova Bank - Infopool","Mon Jun 02 12:12:50 GMT 2025","passed","Mon Jun 02 12:12:51 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","90","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Mon Jun 02 12:12:47 GMT 2025","passed","Mon Jun 02 12:12:47 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","78","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Mon Jun 02 12:12:32 GMT 2025","passed","Mon Jun 02 12:12:32 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","81","Delete Customer Comment","QA|Nova Bank - Infopool","Mon Jun 02 12:12:32 GMT 2025","failed","Mon Jun 02 12:12:33 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","81","Get profile - No Auth","QA|Nova Bank - Infopool","Mon Jun 02 12:12:20 GMT 2025","passed","Mon Jun 02 12:12:20 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","80","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Mon Jun 02 12:12:37 GMT 2025","passed","Mon Jun 02 12:12:37 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","87","Logout session successfully","QA|Nova Bank - Infopool","Mon Jun 02 12:12:51 GMT 2025","passed","Mon Jun 02 12:12:51 GMT 2025","v1 > Logout","Bank Admin","",""
"","79","No Auth - Search Customers","QA|Nova Bank - Infopool","Mon Jun 02 12:12:33 GMT 2025","passed","Mon Jun 02 12:12:33 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","88","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Mon Jun 02 12:12:18 GMT 2025","passed","Mon Jun 02 12:12:18 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","78","No auth - Update role status","QA|Nova Bank - Infopool","Mon Jun 02 12:12:50 GMT 2025","passed","Mon Jun 02 12:12:50 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","112","Create  organization","QA|Nova Bank - Infopool","Mon Jun 02 12:12:46 GMT 2025","passed","Mon Jun 02 12:12:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","974","Create a New Issue","QA|Nova Bank - Infopool","Mon Jun 02 12:12:23 GMT 2025","passed","Mon Jun 02 12:12:24 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
