"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","167","verifyOTP","QA|Nova Bank - Infopool","Sun Jun 08 21:30:50 GMT 2025","passed","Sun Jun 08 21:30:51 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","24","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","24","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","273","Get profile - successfully","QA|Nova Bank - Infopool","Sun Jun 08 21:30:55 GMT 2025","passed","Sun Jun 08 21:30:55 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","57","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:31:09 GMT 2025","failed","Sun Jun 08 21:31:09 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Update an existing report","21","Update Report","QA|Nova Bank - Infopool","Sun Jun 08 21:32:20 GMT 2025","passed","Sun Jun 08 21:32:20 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","25","Update user - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","110","Invalid email format","QA|Nova Bank - Infopool","Sun Jun 08 21:30:50 GMT 2025","passed","Sun Jun 08 21:30:50 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","27","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","68","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sun Jun 08 21:30:56 GMT 2025","passed","Sun Jun 08 21:30:56 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","24","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","63","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Jun 08 21:30:56 GMT 2025","passed","Sun Jun 08 21:30:56 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","44","Update Customer Comment Copy","QA|Nova Bank - Infopool","Sun Jun 08 21:31:08 GMT 2025","passed","Sun Jun 08 21:31:08 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","27","Create organization - no name","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","6599","Invalid credentials","QA|Nova Bank - Infopool","Sun Jun 08 21:30:44 GMT 2025","passed","Sun Jun 08 21:30:50 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","203","add_comment_successfully","QA|Nova Bank - Infopool","Sun Jun 08 21:31:08 GMT 2025","passed","Sun Jun 08 21:31:08 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","28","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 21:32:17 GMT 2025","passed","Sun Jun 08 21:32:17 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","26","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","25","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","33","No Auth - Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:31:07 GMT 2025","failed","Sun Jun 08 21:31:07 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","25","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","23","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","27","No auth - managers","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","38","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun Jun 08 21:30:56 GMT 2025","passed","Sun Jun 08 21:30:56 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","151","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:31:05 GMT 2025","passed","Sun Jun 08 21:31:05 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
