"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","84","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Tue Jun 03 12:16:41 GMT 2025","passed","Tue Jun 03 12:16:41 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","88","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Tue Jun 03 12:16:52 GMT 2025","passed","Tue Jun 03 12:16:52 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","80","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:52 GMT 2025","passed","Tue Jun 03 12:16:52 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","170","Invalid credentials","QA|Nova Bank - Infopool","Tue Jun 03 12:16:20 GMT 2025","passed","Tue Jun 03 12:16:21 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","90","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Tue Jun 03 12:16:51 GMT 2025","passed","Tue Jun 03 12:16:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","86","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Tue Jun 03 12:16:36 GMT 2025","failed","Tue Jun 03 12:16:36 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get a specific report by ID","80","Get Report by ID - No auth","QA|Nova Bank - Infopool","Tue Jun 03 12:17:04 GMT 2025","passed","Tue Jun 03 12:17:04 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","177","Weak password - Change password","QA|Nova Bank - Infopool","Tue Jun 03 12:16:23 GMT 2025","passed","Tue Jun 03 12:16:24 GMT 2025","v1 > Profile > Password","Bank User","",""
"","79","Health","QA|Nova Bank - Infopool","Tue Jun 03 12:16:42 GMT 2025","passed","Tue Jun 03 12:16:42 GMT 2025","v1 > Health","Bank Admin","",""
"Delete a report (soft delete)","82","Delete Report - Invalid id","QA|Nova Bank - Infopool","Tue Jun 03 12:17:05 GMT 2025","failed","Tue Jun 03 12:17:05 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","88","Get permission by ID - successful","QA|Nova Bank - Infopool","Tue Jun 03 12:16:55 GMT 2025","passed","Tue Jun 03 12:16:55 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","96","Get Reports","QA|Nova Bank - Infopool","Tue Jun 03 12:16:59 GMT 2025","passed","Tue Jun 03 12:16:59 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","81","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Tue Jun 03 12:16:41 GMT 2025","failed","Tue Jun 03 12:16:41 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","89","Create organization - empty street value","QA|Nova Bank - Infopool","Tue Jun 03 12:16:51 GMT 2025","passed","Tue Jun 03 12:16:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","97","Update profile","QA|Nova Bank - Infopool","Tue Jun 03 12:16:25 GMT 2025","failed","Tue Jun 03 12:16:25 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"Create a new report","80","Create Report - No auth","QA|Nova Bank - Infopool","Tue Jun 03 12:17:04 GMT 2025","passed","Tue Jun 03 12:17:04 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","3160","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Tue Jun 03 12:17:00 GMT 2025","passed","Tue Jun 03 12:17:04 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","229","category by id","QA|Nova Bank - Infopool","Tue Jun 03 12:16:55 GMT 2025","passed","Tue Jun 03 12:16:56 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","85","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue Jun 03 12:16:22 GMT 2025","passed","Tue Jun 03 12:16:22 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","80","Fetch Customers Channels","QA|Nova Bank - Infopool","Tue Jun 03 12:16:41 GMT 2025","failed","Tue Jun 03 12:16:41 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","255","audit","QA|Nova Bank - Infopool","Tue Jun 03 12:17:06 GMT 2025","passed","Tue Jun 03 12:17:06 GMT 2025","","","",""
"Get a specific report by ID","92","Get Report by ID","QA|Nova Bank - Infopool","Tue Jun 03 12:17:04 GMT 2025","failed","Tue Jun 03 12:17:04 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","81","No Auth - Update definition","QA|Nova Bank - Infopool","Tue Jun 03 12:16:45 GMT 2025","passed","Tue Jun 03 12:16:45 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"Get a paginated list of reports with optional filtering","299","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Tue Jun 03 12:17:00 GMT 2025","passed","Tue Jun 03 12:17:00 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"Get a specific report by ID","91","Get Report by UUID","QA|Nova Bank - Infopool","Tue Jun 03 12:17:04 GMT 2025","failed","Tue Jun 03 12:17:04 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","88","Update profile - no phone number","QA|Nova Bank - Infopool","Tue Jun 03 12:16:24 GMT 2025","passed","Tue Jun 03 12:16:24 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","79","Create roles - No auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:54 GMT 2025","passed","Tue Jun 03 12:16:54 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","93","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Tue Jun 03 12:16:53 GMT 2025","passed","Tue Jun 03 12:16:53 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","115","Add user to an organization - successful","QA|Nova Bank - Infopool","Tue Jun 03 12:16:53 GMT 2025","passed","Tue Jun 03 12:16:53 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","3163","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Tue Jun 03 12:16:46 GMT 2025","failed","Tue Jun 03 12:16:49 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","87","Update profile - Invalid file size","QA|Nova Bank - Infopool","Tue Jun 03 12:16:25 GMT 2025","passed","Tue Jun 03 12:16:25 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","81","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Tue Jun 03 12:16:53 GMT 2025","passed","Tue Jun 03 12:16:53 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","199","Add Comment to Issue","QA|Nova Bank - Infopool","Tue Jun 03 12:16:35 GMT 2025","passed","Tue Jun 03 12:16:35 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","80","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Tue Jun 03 12:16:37 GMT 2025","passed","Tue Jun 03 12:16:37 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Update an existing report","145","Update Report","QA|Nova Bank - Infopool","Tue Jun 03 12:17:04 GMT 2025","passed","Tue Jun 03 12:17:05 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","85","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Tue Jun 03 12:16:36 GMT 2025","failed","Tue Jun 03 12:16:36 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","79","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:52 GMT 2025","failed","Tue Jun 03 12:16:52 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","80","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Tue Jun 03 12:16:41 GMT 2025","passed","Tue Jun 03 12:16:41 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","82","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Tue Jun 03 12:16:41 GMT 2025","passed","Tue Jun 03 12:16:41 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","144","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Tue Jun 03 12:16:25 GMT 2025","passed","Tue Jun 03 12:16:26 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","87","Create organization - no name","QA|Nova Bank - Infopool","Tue Jun 03 12:16:50 GMT 2025","passed","Tue Jun 03 12:16:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Create a new report","87","Create Report - Duplicate name","QA|Nova Bank - Infopool","Tue Jun 03 12:17:04 GMT 2025","passed","Tue Jun 03 12:17:04 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","96","Invalid email format","QA|Nova Bank - Infopool","Tue Jun 03 12:16:21 GMT 2025","passed","Tue Jun 03 12:16:21 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","362","Search Customers","QA|Nova Bank - Infopool","Tue Jun 03 12:16:37 GMT 2025","passed","Tue Jun 03 12:16:37 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","93","Create organization - no country ID","QA|Nova Bank - Infopool","Tue Jun 03 12:16:51 GMT 2025","passed","Tue Jun 03 12:16:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","79","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Tue Jun 03 12:16:38 GMT 2025","passed","Tue Jun 03 12:16:38 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","81","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Tue Jun 03 12:16:23 GMT 2025","passed","Tue Jun 03 12:16:23 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","84","Update profile - No Auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:25 GMT 2025","passed","Tue Jun 03 12:16:25 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","75","Get roles - successful","QA|Nova Bank - Infopool","Tue Jun 03 12:16:54 GMT 2025","passed","Tue Jun 03 12:16:54 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","82","No Auth - Fetch all users","QA|Nova Bank - Infopool","Tue Jun 03 12:16:49 GMT 2025","passed","Tue Jun 03 12:16:49 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","80","Get profile roles - No Auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:23 GMT 2025","passed","Tue Jun 03 12:16:23 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","252","No auth - Create a New Issue","QA|Nova Bank - Infopool","Tue Jun 03 12:16:27 GMT 2025","passed","Tue Jun 03 12:16:28 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get a paginated list of reports with optional filtering","583","Get Report Objects - Question","QA|Nova Bank - Infopool","Tue Jun 03 12:17:00 GMT 2025","passed","Tue Jun 03 12:17:00 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","87","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Tue Jun 03 12:16:36 GMT 2025","passed","Tue Jun 03 12:16:36 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","79","No auth - managers","QA|Nova Bank - Infopool","Tue Jun 03 12:16:54 GMT 2025","passed","Tue Jun 03 12:16:54 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","83","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Tue Jun 03 12:16:52 GMT 2025","failed","Tue Jun 03 12:16:53 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","94","Fetch all users in an organization","QA|Nova Bank - Infopool","Tue Jun 03 12:16:53 GMT 2025","passed","Tue Jun 03 12:16:53 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","82","Fetch Customers Accounts","QA|Nova Bank - Infopool","Tue Jun 03 12:16:41 GMT 2025","failed","Tue Jun 03 12:16:41 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","3177","Get all definitions","QA|Nova Bank - Infopool","Tue Jun 03 12:16:42 GMT 2025","passed","Tue Jun 03 12:16:45 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","84","Update user - invalid action","QA|Nova Bank - Infopool","Tue Jun 03 12:16:49 GMT 2025","failed","Tue Jun 03 12:16:49 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","87","Update role status - role does not exist","QA|Nova Bank - Infopool","Tue Jun 03 12:16:54 GMT 2025","passed","Tue Jun 03 12:16:54 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","80","No Auth - Get all Issues","QA|Nova Bank - Infopool","Tue Jun 03 12:16:35 GMT 2025","passed","Tue Jun 03 12:16:35 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","95","Fetch all users","QA|Nova Bank - Infopool","Tue Jun 03 12:16:49 GMT 2025","passed","Tue Jun 03 12:16:49 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","91","Get single definition","QA|Nova Bank - Infopool","Tue Jun 03 12:16:45 GMT 2025","passed","Tue Jun 03 12:16:45 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","91","Get Reports Stats","QA|Nova Bank - Infopool","Tue Jun 03 12:16:59 GMT 2025","passed","Tue Jun 03 12:16:59 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"Delete a report (soft delete)","82","Delete Report","QA|Nova Bank - Infopool","Tue Jun 03 12:17:05 GMT 2025","failed","Tue Jun 03 12:17:05 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","91","Empty new password - Change password","QA|Nova Bank - Infopool","Tue Jun 03 12:16:24 GMT 2025","passed","Tue Jun 03 12:16:24 GMT 2025","v1 > Profile > Password","Bank User","",""
"","87","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Tue Jun 03 12:16:52 GMT 2025","passed","Tue Jun 03 12:16:52 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","90","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Tue Jun 03 12:16:51 GMT 2025","passed","Tue Jun 03 12:16:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","84","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Tue Jun 03 12:16:26 GMT 2025","passed","Tue Jun 03 12:16:26 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","78","No Auth - Get all definitions","QA|Nova Bank - Infopool","Tue Jun 03 12:16:45 GMT 2025","passed","Tue Jun 03 12:16:45 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get a specific report by ID","85","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Tue Jun 03 12:17:04 GMT 2025","passed","Tue Jun 03 12:17:04 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","82","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Tue Jun 03 12:16:53 GMT 2025","failed","Tue Jun 03 12:16:53 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","81","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Tue Jun 03 12:16:51 GMT 2025","passed","Tue Jun 03 12:16:52 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","89","Send user invitation token - successful","QA|Nova Bank - Infopool","Tue Jun 03 12:16:26 GMT 2025","passed","Tue Jun 03 12:16:26 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","81","Update user - empty action field","QA|Nova Bank - Infopool","Tue Jun 03 12:16:49 GMT 2025","failed","Tue Jun 03 12:16:50 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","81","Update user - no auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:49 GMT 2025","passed","Tue Jun 03 12:16:49 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Delete a report (soft delete)","81","Delete Report -No auth","QA|Nova Bank - Infopool","Tue Jun 03 12:17:05 GMT 2025","failed","Tue Jun 03 12:17:05 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","3194","Logout session successfully","QA|Nova Bank - Infopool","Tue Jun 03 12:16:56 GMT 2025","passed","Tue Jun 03 12:16:59 GMT 2025","v1 > Logout","Bank Admin","",""
"","83","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Tue Jun 03 12:16:35 GMT 2025","passed","Tue Jun 03 12:16:36 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","91","Create organization - name already exists","QA|Nova Bank - Infopool","Tue Jun 03 12:16:50 GMT 2025","passed","Tue Jun 03 12:16:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","84","No Auth - Change password","QA|Nova Bank - Infopool","Tue Jun 03 12:16:23 GMT 2025","passed","Tue Jun 03 12:16:23 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get a specific report by ID","78","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Tue Jun 03 12:17:04 GMT 2025","passed","Tue Jun 03 12:17:04 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","163","update role","QA|Nova Bank - Infopool","Tue Jun 03 12:16:50 GMT 2025","passed","Tue Jun 03 12:16:50 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","83","Get events - no auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:25 GMT 2025","passed","Tue Jun 03 12:16:25 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","80","Get role by ID - successful","QA|Nova Bank - Infopool","Tue Jun 03 12:16:55 GMT 2025","failed","Tue Jun 03 12:16:55 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","79","No Auth - Get all permissions","QA|Nova Bank - Infopool","Tue Jun 03 12:16:55 GMT 2025","passed","Tue Jun 03 12:16:55 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","80","Update profile - no auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:24 GMT 2025","passed","Tue Jun 03 12:16:24 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","85","No email - Forgot Password","QA|Nova Bank - Infopool","Tue Jun 03 12:16:21 GMT 2025","passed","Tue Jun 03 12:16:21 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","91","Get profile roles - successful","QA|Nova Bank - Infopool","Tue Jun 03 12:16:22 GMT 2025","passed","Tue Jun 03 12:16:23 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","84","Fetch Customer Comments","QA|Nova Bank - Infopool","Tue Jun 03 12:16:36 GMT 2025","failed","Tue Jun 03 12:16:36 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","80","No auth - update role","QA|Nova Bank - Infopool","Tue Jun 03 12:16:50 GMT 2025","passed","Tue Jun 03 12:16:50 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","114","Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue Jun 03 12:16:22 GMT 2025","passed","Tue Jun 03 12:16:22 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","148","Update definition","QA|Nova Bank - Infopool","Tue Jun 03 12:16:45 GMT 2025","passed","Tue Jun 03 12:16:45 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","83","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:54 GMT 2025","passed","Tue Jun 03 12:16:54 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","83","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Tue Jun 03 12:17:05 GMT 2025","failed","Tue Jun 03 12:17:05 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","82","Get Report Data - No auth","QA|Nova Bank - Infopool","Tue Jun 03 12:17:05 GMT 2025","passed","Tue Jun 03 12:17:05 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","81","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Tue Jun 03 12:16:26 GMT 2025","passed","Tue Jun 03 12:16:26 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","89","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Tue Jun 03 12:16:26 GMT 2025","passed","Tue Jun 03 12:16:26 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","80","Get roles - No Auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:54 GMT 2025","passed","Tue Jun 03 12:16:54 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
