"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","get all category","QA|Nova Bank - Infopool","Tue Jun 03 12:16:55 GMT 2025","passed","Tue Jun 03 12:16:55 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","81","audit trail - No Auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:26 GMT 2025","passed","Tue Jun 03 12:16:26 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","83","Get Report Data - Question","QA|Nova Bank - Infopool","Tue Jun 03 12:17:05 GMT 2025","failed","Tue Jun 03 12:17:05 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","80","No auth - category by id","QA|Nova Bank - Infopool","Tue Jun 03 12:16:56 GMT 2025","passed","Tue Jun 03 12:16:56 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","84","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Tue Jun 03 12:16:26 GMT 2025","passed","Tue Jun 03 12:16:27 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","84","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Tue Jun 03 12:16:36 GMT 2025","passed","Tue Jun 03 12:16:36 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","82","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Tue Jun 03 12:16:52 GMT 2025","failed","Tue Jun 03 12:16:52 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","123","Create  organization","QA|Nova Bank - Infopool","Tue Jun 03 12:16:50 GMT 2025","passed","Tue Jun 03 12:16:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","87","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue Jun 03 12:16:22 GMT 2025","passed","Tue Jun 03 12:16:22 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","82","No auth - Create  organization","QA|Nova Bank - Infopool","Tue Jun 03 12:16:50 GMT 2025","passed","Tue Jun 03 12:16:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","106","Update user - successful","QA|Nova Bank - Infopool","Tue Jun 03 12:16:49 GMT 2025","passed","Tue Jun 03 12:16:49 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","90","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Tue Jun 03 12:16:52 GMT 2025","passed","Tue Jun 03 12:16:52 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","86","Create roles - Existing role","QA|Nova Bank - Infopool","Tue Jun 03 12:16:54 GMT 2025","failed","Tue Jun 03 12:16:54 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","258","reset password","QA|Nova Bank - Infopool","Tue Jun 03 12:16:21 GMT 2025","passed","Tue Jun 03 12:16:22 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","79","Get role by ID - no auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:55 GMT 2025","passed","Tue Jun 03 12:16:55 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"Update an existing report","79","Update Report - No auth","QA|Nova Bank - Infopool","Tue Jun 03 12:17:05 GMT 2025","passed","Tue Jun 03 12:17:05 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
