"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","Change password - successful","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","failed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > Password","Bank User","",""
"","34","Update role status","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","failed","Tue May 27 23:57:10 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","55","Create organization - no name","QA|Nova Bank - Infopool","Tue May 27 23:57:05 GMT 2025","passed","Tue May 27 23:57:05 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","Get roles - successful","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","passed","Tue May 27 23:57:10 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"Get a specific report by ID","33","Get Report by UUID","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","53","Create organization - no country ID","QA|Nova Bank - Infopool","Tue May 27 23:57:08 GMT 2025","passed","Tue May 27 23:57:08 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","35","Get Report Objects - Question","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","36","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","failed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","34","Add user to an organization - no auth","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","passed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","32","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","failed","Tue May 27 23:57:10 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","36","Update profile - invalid phone number","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","failed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get a paginated list of reports with optional filtering","32","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","passed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","36","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Tue May 27 23:56:56 GMT 2025","failed","Tue May 27 23:56:56 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","35","Empty new password - Change password","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","failed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > Password","Bank User","",""
"","38","No email - Forgot Password","QA|Nova Bank - Infopool","Tue May 27 23:56:53 GMT 2025","passed","Tue May 27 23:56:53 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","47","Fetch all users","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","passed","Tue May 27 23:57:01 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","32","No Auth - Search Customers","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","passed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","37","Update Customer Comment","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","failed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","36","Invalid current password - Change password","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","failed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > Password","Bank User","",""
"","44","Invalid email format","QA|Nova Bank - Infopool","Tue May 27 23:56:53 GMT 2025","passed","Tue May 27 23:56:53 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","33","No Auth - Fetch all users","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","passed","Tue May 27 23:57:01 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","31","Get all permissions","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","failed","Tue May 27 23:57:10 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","34","Invalid name - Search Customers","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","failed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","35","Update role status - role does not exist","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","failed","Tue May 27 23:57:10 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","79","verifyOTP","QA|Nova Bank - Infopool","Tue May 27 23:56:53 GMT 2025","passed","Tue May 27 23:56:53 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","33","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Tue May 27 23:57:00 GMT 2025","passed","Tue May 27 23:57:00 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","37","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Get a paginated list of reports with optional filtering","37","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","passed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","50","Create organization - empty description","QA|Nova Bank - Infopool","Tue May 27 23:57:08 GMT 2025","passed","Tue May 27 23:57:08 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
