"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33","No auth - Update role status","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","passed","Tue May 27 23:57:10 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","33","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Tue May 27 23:57:00 GMT 2025","passed","Tue May 27 23:57:00 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","34","Delete Attachment from Issue","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","failed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","33","Get profile - successfully","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","failed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","432","Create a New Issue","QA|Nova Bank - Infopool","Tue May 27 23:56:55 GMT 2025","passed","Tue May 27 23:56:56 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","107","Update Issue","QA|Nova Bank - Infopool","Tue May 27 23:56:56 GMT 2025","failed","Tue May 27 23:56:56 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","36","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Tue May 27 23:57:00 GMT 2025","passed","Tue May 27 23:57:00 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","33","audit trail - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:56:55 GMT 2025","passed","Tue May 27 23:56:55 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","117","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","failed","Tue May 27 23:56:54 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","35","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Tue May 27 23:57:00 GMT 2025","passed","Tue May 27 23:57:00 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","48","Get all definitions","QA|Nova Bank - Infopool","Tue May 27 23:57:00 GMT 2025","passed","Tue May 27 23:57:00 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","54","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","passed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","34","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","passed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Get a specific report by ID","33","Get Report by ID - No auth","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","passed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","40","No user credentials","QA|Nova Bank - Infopool","Tue May 27 23:56:53 GMT 2025","passed","Tue May 27 23:56:53 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","34","No auth - Create  organization","QA|Nova Bank - Infopool","Tue May 27 23:57:02 GMT 2025","passed","Tue May 27 23:57:02 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","Get roles - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","passed","Tue May 27 23:57:10 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","32","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","passed","Tue May 27 23:57:01 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","33","Delete Customer Comment","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","failed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","33","Get profile roles - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","passed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","71","Fetch Customer By ID","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","passed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Get a paginated list of reports with optional filtering","35","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","35","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","failed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","34","Fetch Customers Channels","QA|Nova Bank - Infopool","Tue May 27 23:57:00 GMT 2025","failed","Tue May 27 23:57:00 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","35","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","failed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","52","Search Customers","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","passed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","33","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Tue May 27 23:56:56 GMT 2025","passed","Tue May 27 23:56:56 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","32","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","passed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","65","verify OTP","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","passed","Tue May 27 23:56:54 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","34","Get profile - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","passed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","34","Get events - invalid end date","QA|Nova Bank - Infopool","Tue May 27 23:56:55 GMT 2025","failed","Tue May 27 23:56:55 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","41","get user role","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","passed","Tue May 27 23:57:01 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","49","Fetch user by ID - successful","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","passed","Tue May 27 23:57:01 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","33","Fetch Customers Accounts","QA|Nova Bank - Infopool","Tue May 27 23:57:00 GMT 2025","failed","Tue May 27 23:57:00 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","32","No Auth - Update definition","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","passed","Tue May 27 23:57:01 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","35","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 23:56:55 GMT 2025","passed","Tue May 27 23:56:55 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","55","Role does not exist - update role","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","passed","Tue May 27 23:57:01 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","31","Get permission by ID - No auth","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","passed","Tue May 27 23:57:10 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","65","resend_invitation_toUser","QA|Nova Bank - Infopool","Tue May 27 23:56:55 GMT 2025","passed","Tue May 27 23:56:55 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","33","Update profile - no phone number","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","failed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","30","Logout session - no session","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","passed","Tue May 27 23:57:11 GMT 2025","v1 > Logout","Bank Admin","",""
"","36","Add user to an organization - successful","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","failed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","35","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","failed","Tue May 27 23:57:10 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"Delete a report (soft delete)","32","Delete Report -No auth","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","38","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","passed","Tue May 27 23:56:54 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","35","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","failed","Tue May 27 23:57:01 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","52","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Tue May 27 23:57:08 GMT 2025","passed","Tue May 27 23:57:08 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","35","Update Customer Comment Copy","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","passed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","35","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","failed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","35","Update profile - successful","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","failed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","38","Add Comment to Issue","QA|Nova Bank - Infopool","Tue May 27 23:56:56 GMT 2025","failed","Tue May 27 23:56:56 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","35","Add attachment to issue","QA|Nova Bank - Infopool","Tue May 27 23:56:56 GMT 2025","failed","Tue May 27 23:56:56 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","34","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","failed","Tue May 27 23:57:01 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","42","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:56:53 GMT 2025","passed","Tue May 27 23:56:53 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","54","Logout session successfully","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","passed","Tue May 27 23:57:10 GMT 2025","v1 > Logout","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","38","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:56:53 GMT 2025","passed","Tue May 27 23:56:53 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","35","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 23:56:55 GMT 2025","passed","Tue May 27 23:56:55 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a specific report by ID","31","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Get a specific report by ID","34","Get Report by ID","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","2461","Fetch Customers Transactions","QA|Nova Bank - Infopool","Tue May 27 23:56:58 GMT 2025","passed","Tue May 27 23:57:00 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","33","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","failed","Tue May 27 23:57:01 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","38","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Tue May 27 23:56:53 GMT 2025","passed","Tue May 27 23:56:53 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","9","New Request","QA|Nova Bank - Infopool","Tue May 27 23:56:53 GMT 2025","broken","Tue May 27 23:56:53 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","33","No Auth - Search Customers","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","passed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"Get a paginated list of reports with optional filtering","33","Get Reports Stats","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","30","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","passed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","38","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:56:53 GMT 2025","passed","Tue May 27 23:56:53 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","32","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Tue May 27 23:57:08 GMT 2025","passed","Tue May 27 23:57:08 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","97","No auth - Create a New Issue","QA|Nova Bank - Infopool","Tue May 27 23:56:56 GMT 2025","passed","Tue May 27 23:56:56 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","45","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Tue May 27 23:57:08 GMT 2025","passed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","39","No Auth - Update Issue","QA|Nova Bank - Infopool","Tue May 27 23:56:56 GMT 2025","passed","Tue May 27 23:56:56 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","52","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Tue May 27 23:57:08 GMT 2025","passed","Tue May 27 23:57:08 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","35","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Tue May 27 23:56:56 GMT 2025","failed","Tue May 27 23:56:56 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","35","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","failed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","34","Create roles - No auth","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","passed","Tue May 27 23:57:10 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","35","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","passed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > Roles","Bank User","",""
"Create a new report","38","Create Report - No auth","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","passed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","3161","Create organization - name already exists","QA|Nova Bank - Infopool","Tue May 27 23:57:05 GMT 2025","passed","Tue May 27 23:57:08 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","36","Update profile - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","passed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","44","Get single definition","QA|Nova Bank - Infopool","Tue May 27 23:57:00 GMT 2025","passed","Tue May 27 23:57:01 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","32","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","passed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","35","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","failed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","56","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","passed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","35","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Tue May 27 23:56:55 GMT 2025","failed","Tue May 27 23:56:55 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","38","Update profile","QA|Nova Bank - Infopool","Tue May 27 23:56:54 GMT 2025","failed","Tue May 27 23:56:54 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"Create a new report","35","Create Report - Duplicate name","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","135","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Tue May 27 23:56:56 GMT 2025","failed","Tue May 27 23:56:56 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","34","No auth - update role","QA|Nova Bank - Infopool","Tue May 27 23:57:01 GMT 2025","passed","Tue May 27 23:57:02 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","37","Send user invitation token - successful","QA|Nova Bank - Infopool","Tue May 27 23:56:55 GMT 2025","passed","Tue May 27 23:56:55 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","35","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Tue May 27 23:57:12 GMT 2025","failed","Tue May 27 23:57:12 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
