"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","146","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 22:53:12 GMT 2025","passed","Sun Jun 08 22:53:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","189","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 22:53:27 GMT 2025","passed","Sun Jun 08 22:53:27 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","451","Invalid credentials","QA|Nova Bank - Infopool","Sun Jun 08 22:52:45 GMT 2025","passed","Sun Jun 08 22:52:46 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","80","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Jun 08 22:54:46 GMT 2025","passed","Sun Jun 08 22:54:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","238","Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 22:53:26 GMT 2025","passed","Sun Jun 08 22:53:26 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","271","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 22:53:26 GMT 2025","failed","Sun Jun 08 22:53:27 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","168","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:54:48 GMT 2025","passed","Sun Jun 08 22:54:48 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","537","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:53:24 GMT 2025","passed","Sun Jun 08 22:53:25 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","79","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 22:54:44 GMT 2025","passed","Sun Jun 08 22:54:44 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","141","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 22:53:12 GMT 2025","passed","Sun Jun 08 22:53:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
