"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Wed Sep 17 18:46:36 UTC 2025","failed","Wed Sep 17 18:46:36 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"Get a specific report by ID","27","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","passed","Wed Sep 17 18:46:40 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","30","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Wed Sep 17 18:46:35 UTC 2025","failed","Wed Sep 17 18:46:35 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","32","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Wed Sep 17 18:46:35 UTC 2025","failed","Wed Sep 17 18:46:35 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a paginated list of reports with optional filtering","32","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","passed","Wed Sep 17 18:46:40 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","66","Update Issue","QA|Nova Bank - Infopool","Wed Sep 17 18:46:36 UTC 2025","failed","Wed Sep 17 18:46:36 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","138","Create a New Issue","QA|Nova Bank - Infopool","Wed Sep 17 18:46:35 UTC 2025","failed","Wed Sep 17 18:46:35 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","6322","Successful login","QA|Nova Bank - Infopool","Wed Sep 17 18:46:27 UTC 2025","failed","Wed Sep 17 18:46:33 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","28","Get role by ID - successful","QA|Nova Bank - Infopool","Wed Sep 17 18:46:39 UTC 2025","failed","Wed Sep 17 18:46:39 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","32","Update user - invalid action","QA|Nova Bank - Infopool","Wed Sep 17 18:46:38 UTC 2025","failed","Wed Sep 17 18:46:38 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","29","Search Customers","QA|Nova Bank - Infopool","Wed Sep 17 18:46:36 UTC 2025","failed","Wed Sep 17 18:46:36 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","31","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Wed Sep 17 18:46:47 UTC 2025","failed","Wed Sep 17 18:46:47 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"Update an existing report","26","Update Report","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","passed","Wed Sep 17 18:46:40 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","27","Get role by ID - no auth","QA|Nova Bank - Infopool","Wed Sep 17 18:46:39 UTC 2025","passed","Wed Sep 17 18:46:39 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"Create a new report","30","Create Report - Empty category","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","failed","Wed Sep 17 18:46:40 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
