"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","101","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Fri Aug 22 18:57:38 UTC 2025","passed","Fri Aug 22 18:57:38 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","94","Create organization - no name","QA|Nova Bank - Infopool","Fri Aug 22 18:57:36 UTC 2025","passed","Fri Aug 22 18:57:36 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","95","No email - Forgot Password","QA|Nova Bank - Infopool","Fri Aug 22 18:57:04 UTC 2025","passed","Fri Aug 22 18:57:04 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","97","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri Aug 22 18:57:39 UTC 2025","passed","Fri Aug 22 18:57:40 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","94","Empty fields - Update definition","QA|Nova Bank - Infopool","Fri Aug 22 18:57:34 UTC 2025","passed","Fri Aug 22 18:57:34 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","88","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri Aug 22 18:57:05 UTC 2025","passed","Fri Aug 22 18:57:05 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","310","audit-search","QA|Nova Bank - Infopool","Fri Aug 22 18:57:09 UTC 2025","passed","Fri Aug 22 18:57:09 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","112","Create organization - empty street value","QA|Nova Bank - Infopool","Fri Aug 22 18:57:37 UTC 2025","failed","Fri Aug 22 18:57:37 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","196","Add Comment to Issue","QA|Nova Bank - Infopool","Fri Aug 22 18:57:19 UTC 2025","passed","Fri Aug 22 18:57:19 UTC 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","98","get user role","QA|Nova Bank - Infopool","Fri Aug 22 18:57:35 UTC 2025","passed","Fri Aug 22 18:57:36 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","3180","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Aug 22 18:57:30 UTC 2025","failed","Fri Aug 22 18:57:33 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","95","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Aug 22 18:57:04 UTC 2025","passed","Fri Aug 22 18:57:05 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","87","Get profile - user not logged in","QA|Nova Bank - Infopool","Fri Aug 22 18:57:07 UTC 2025","passed","Fri Aug 22 18:57:07 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","83","No auth - Create  organization","QA|Nova Bank - Infopool","Fri Aug 22 18:57:36 UTC 2025","passed","Fri Aug 22 18:57:36 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","104","Search Customers","QA|Nova Bank - Infopool","Fri Aug 22 18:57:21 UTC 2025","passed","Fri Aug 22 18:57:21 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","102","Get roles - successful","QA|Nova Bank - Infopool","Fri Aug 22 18:57:43 UTC 2025","passed","Fri Aug 22 18:57:43 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","134","Get events - invalid start date","QA|Nova Bank - Infopool","Fri Aug 22 18:57:08 UTC 2025","passed","Fri Aug 22 18:57:08 UTC 2025","v1 > Audit trail > Event","Bank User","",""
