"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Health","QA|Nova Bank - Infopool","Sun Jun 08 21:38:25 GMT 2025","passed","Sun Jun 08 21:38:25 GMT 2025","v1 > Health","Bank Admin","",""
"","26","search Corporate Adjustment","QA|Nova Bank - Infopool","Sun Jun 08 21:38:29 GMT 2025","passed","Sun Jun 08 21:38:29 GMT 2025","","corporate Adjustment","",""
"","42","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:37:10 GMT 2025","failed","Sun Jun 08 21:37:10 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","24","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","154","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:37:10 GMT 2025","passed","Sun Jun 08 21:37:10 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","24","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","24","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","27","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","86","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:36:55 GMT 2025","passed","Sun Jun 08 21:36:55 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","24","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","28","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 21:38:25 GMT 2025","passed","Sun Jun 08 21:38:25 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
