"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Thu Jun 05 22:51:21 GMT 2025","passed","Thu Jun 05 22:51:21 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","50","Add attachment to issue","QA|Nova Bank - Infopool","Thu Jun 05 22:51:21 GMT 2025","failed","Thu Jun 05 22:51:21 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","76","audit trail","QA|Nova Bank - Infopool","Thu Jun 05 22:51:19 GMT 2025","passed","Thu Jun 05 22:51:19 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","41","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 22:51:21 GMT 2025","passed","Thu Jun 05 22:51:21 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","1467","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Thu Jun 05 22:52:42 GMT 2025","passed","Thu Jun 05 22:52:43 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","37","Update organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 22:52:39 GMT 2025","passed","Thu Jun 05 22:52:39 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Delete a report (soft delete)","45","Delete Report - Invalid id","QA|Nova Bank - Infopool","Thu Jun 05 22:52:42 GMT 2025","passed","Thu Jun 05 22:52:42 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","35","Get Report Objects - Question","QA|Nova Bank - Infopool","Thu Jun 05 22:52:41 GMT 2025","passed","Thu Jun 05 22:52:41 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","37","Empty fields - Update definition","QA|Nova Bank - Infopool","Thu Jun 05 22:52:38 GMT 2025","passed","Thu Jun 05 22:52:38 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","240","Get Report Data - Question","QA|Nova Bank - Infopool","Thu Jun 05 22:52:42 GMT 2025","failed","Thu Jun 05 22:52:42 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","51","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 22:51:19 GMT 2025","passed","Thu Jun 05 22:51:19 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
