"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 22:10:38 GMT 2025","passed","Sun Jun 08 22:10:38 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","28","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","53","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jun 08 22:10:26 GMT 2025","passed","Sun Jun 08 22:10:26 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","41","No Auth - Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:10:36 GMT 2025","failed","Sun Jun 08 22:10:36 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","29","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sun Jun 08 22:12:01 GMT 2025","passed","Sun Jun 08 22:12:01 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","30","Create roles","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","4372","Successful login","QA|Nova Bank - Infopool","Sun Jun 08 22:10:14 GMT 2025","passed","Sun Jun 08 22:10:19 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","28","Get roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"Get a paginated list of reports with optional filtering","31","Get Reports","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"Create a new report","30","Create Report","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","29","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 22:11:57 GMT 2025","passed","Sun Jun 08 22:11:57 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","27","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 22:11:57 GMT 2025","passed","Sun Jun 08 22:11:57 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","90","verifyOTP","QA|Nova Bank - Infopool","Sun Jun 08 22:10:19 GMT 2025","passed","Sun Jun 08 22:10:19 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","49","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 22:10:34 GMT 2025","passed","Sun Jun 08 22:10:34 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","33","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","341","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Jun 08 22:10:27 GMT 2025","passed","Sun Jun 08 22:10:27 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","43","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 22:10:20 GMT 2025","passed","Sun Jun 08 22:10:20 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","35","Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","674","Change password - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:10:23 GMT 2025","passed","Sun Jun 08 22:10:23 GMT 2025","v1 > Profile > Password","Bank User","",""
"","87","Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 22:10:36 GMT 2025","failed","Sun Jun 08 22:10:36 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","32","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 22:11:57 GMT 2025","passed","Sun Jun 08 22:11:57 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","29","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","29","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 22:11:57 GMT 2025","passed","Sun Jun 08 22:11:57 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","31","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","30","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","29","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 22:11:57 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","3452","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Jun 08 22:10:47 GMT 2025","passed","Sun Jun 08 22:10:51 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","66206","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 22:10:51 GMT 2025","passed","Sun Jun 08 22:11:57 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","30","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","89","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:10:37 GMT 2025","failed","Sun Jun 08 22:10:37 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","29","No Auth - Get all permissions","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"Get a paginated list of reports with optional filtering","29","Get Report Objects - Question","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","28","managers","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","30","Logout session successfully","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Logout","Bank Admin","",""
"","40","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 22:10:37 GMT 2025","failed","Sun Jun 08 22:10:37 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"Get a paginated list of reports with optional filtering","29","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","34","Create organization - no name","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","313","Forgot password - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:10:19 GMT 2025","failed","Sun Jun 08 22:10:20 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","30","Update user - invalid action","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","30","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","149","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Jun 08 22:10:26 GMT 2025","passed","Sun Jun 08 22:10:26 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","29","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","54","Invalid email format","QA|Nova Bank - Infopool","Sun Jun 08 22:10:19 GMT 2025","passed","Sun Jun 08 22:10:19 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","51","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Jun 08 22:10:20 GMT 2025","passed","Sun Jun 08 22:10:20 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","385","Get profile - successfully","QA|Nova Bank - Infopool","Sun Jun 08 22:10:25 GMT 2025","passed","Sun Jun 08 22:10:25 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","173","audit trail","QA|Nova Bank - Infopool","Sun Jun 08 22:10:27 GMT 2025","passed","Sun Jun 08 22:10:27 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","32","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","28","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","Create roles - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","153","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 22:10:38 GMT 2025","passed","Sun Jun 08 22:10:38 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","455","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:10:36 GMT 2025","passed","Sun Jun 08 22:10:37 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"Delete a report (soft delete)","29","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 22:12:01 GMT 2025","passed","Sun Jun 08 22:12:01 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","31","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","273","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Jun 08 22:10:40 GMT 2025","passed","Sun Jun 08 22:10:40 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","29","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","29","successful dashboard embed","QA|Nova Bank - Infopool","Sun Jun 08 22:11:57 GMT 2025","passed","Sun Jun 08 22:11:57 GMT 2025","embed dashboard","Bank User","",""
"","157","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 22:10:36 GMT 2025","passed","Sun Jun 08 22:10:36 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","61","Update profile - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:10:26 GMT 2025","passed","Sun Jun 08 22:10:26 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get a specific report by ID","28","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"Get a paginated list of reports with optional filtering","30","Get Reports - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","28","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","32","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","32","Create organization - empty description","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","28","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","28","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","30","Get Report Data - Question","QA|Nova Bank - Infopool","Sun Jun 08 22:12:01 GMT 2025","passed","Sun Jun 08 22:12:01 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","142","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:10:35 GMT 2025","passed","Sun Jun 08 22:10:35 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","28","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","438","Update profile - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:10:25 GMT 2025","passed","Sun Jun 08 22:10:26 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","28","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","28","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:11:57 GMT 2025","passed","Sun Jun 08 22:11:57 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","29","Update role status","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","247","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Jun 08 22:10:34 GMT 2025","passed","Sun Jun 08 22:10:34 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"Get a paginated list of reports with optional filtering","29","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","32","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","31","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","28","get all category","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","29","category by id","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","29","Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","30","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 22:11:57 GMT 2025","passed","Sun Jun 08 22:11:57 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","28","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
