"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","141","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Nov 30 20:12:24 UTC 2025","broken","Sun Nov 30 20:12:24 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","123","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Nov 30 20:12:32 UTC 2025","broken","Sun Nov 30 20:12:33 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","130","Export Report Data","QA|Nova Bank - Infopool","Sun Nov 30 20:12:38 UTC 2025","broken","Sun Nov 30 20:12:38 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","159","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Nov 30 20:12:13 UTC 2025","broken","Sun Nov 30 20:12:13 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","124","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Nov 30 20:12:30 UTC 2025","broken","Sun Nov 30 20:12:30 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","130","Get roles - No Auth","QA|Nova Bank - Infopool","Sun Nov 30 20:12:31 UTC 2025","broken","Sun Nov 30 20:12:32 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","132","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Nov 30 20:12:22 UTC 2025","broken","Sun Nov 30 20:12:22 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","127","Health","QA|Nova Bank - Infopool","Sun Nov 30 20:12:22 UTC 2025","broken","Sun Nov 30 20:12:23 UTC 2025","v1 > Health","Bank Admin","",""
"","125","Update definition","QA|Nova Bank - Infopool","Sun Nov 30 20:12:23 UTC 2025","broken","Sun Nov 30 20:12:23 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","128","No auth - update role","QA|Nova Bank - Infopool","Sun Nov 30 20:12:26 UTC 2025","broken","Sun Nov 30 20:12:26 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","142","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sun Nov 30 20:12:38 UTC 2025","broken","Sun Nov 30 20:12:38 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","133","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Nov 30 20:12:15 UTC 2025","broken","Sun Nov 30 20:12:16 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","128","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Nov 30 20:12:22 UTC 2025","broken","Sun Nov 30 20:12:22 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","137","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Nov 30 20:12:11 UTC 2025","broken","Sun Nov 30 20:12:11 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","133","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Nov 30 20:12:12 UTC 2025","broken","Sun Nov 30 20:12:12 UTC 2025","v1 > Profile > Get profile","Bank User","",""
