"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","102","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Mon Apr 14 07:33:36 GMT 2025","passed","Mon Apr 14 07:33:36 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","134","Create  organization","QA|Nova Bank - Infopool","Mon Apr 14 07:33:38 GMT 2025","passed","Mon Apr 14 07:33:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","94","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Mon Apr 14 07:33:17 GMT 2025","passed","Mon Apr 14 07:33:17 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","112","Update profile","QA|Nova Bank - Infopool","Mon Apr 14 07:33:05 GMT 2025","failed","Mon Apr 14 07:33:05 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","109","Role does not exist - update role","QA|Nova Bank - Infopool","Mon Apr 14 07:33:38 GMT 2025","passed","Mon Apr 14 07:33:38 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","89","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Mon Apr 14 07:33:42 GMT 2025","passed","Mon Apr 14 07:33:42 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","87","No Auth - Search Customers","QA|Nova Bank - Infopool","Mon Apr 14 07:33:18 GMT 2025","passed","Mon Apr 14 07:33:18 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Get a specific report by ID","98","Get Report by UUID","QA|Nova Bank - Infopool","Mon Apr 14 07:33:53 GMT 2025","passed","Mon Apr 14 07:33:53 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","90","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Mon Apr 14 07:33:41 GMT 2025","passed","Mon Apr 14 07:33:41 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","103","Delete Customer Comment","QA|Nova Bank - Infopool","Mon Apr 14 07:33:17 GMT 2025","passed","Mon Apr 14 07:33:17 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","89","Update Customer Comment Copy","QA|Nova Bank - Infopool","Mon Apr 14 07:33:17 GMT 2025","passed","Mon Apr 14 07:33:17 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","143","Add Comment to Customer","QA|Nova Bank - Infopool","Mon Apr 14 07:33:16 GMT 2025","passed","Mon Apr 14 07:33:16 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
