"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create a new report","24","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Get a specific report by ID","25","Get Report by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","30","Create organization - empty description","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","25","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 21:41:28 GMT 2025","passed","Sun Jun 08 21:41:28 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","27","No auth - managers","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","24","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","26","No auth - Update role status","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"Delete a report (soft delete)","25","Delete Report -No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","26","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","26","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a specific report by ID","24","Get Report by UUID","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","26","Logout session - no session","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Logout","Bank Admin","",""
"","24","Update role status","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","28","Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","24","No auth - category by id","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
