"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Get role by ID - no auth","QA|Nova Bank - Infopool","Wed May 28 00:18:45 GMT 2025","passed","Wed May 28 00:18:45 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","37","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Wed May 28 00:18:46 GMT 2025","failed","Wed May 28 00:18:47 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"Get a specific report by ID","34","Get Report by ID","QA|Nova Bank - Infopool","Wed May 28 00:18:46 GMT 2025","failed","Wed May 28 00:18:46 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","48","get all category","QA|Nova Bank - Infopool","Wed May 28 00:18:45 GMT 2025","passed","Wed May 28 00:18:45 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","71","Update definition","QA|Nova Bank - Infopool","Wed May 28 00:18:41 GMT 2025","passed","Wed May 28 00:18:41 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","37","Create roles - empty name field","QA|Nova Bank - Infopool","Wed May 28 00:18:45 GMT 2025","failed","Wed May 28 00:18:45 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","46","No user credentials","QA|Nova Bank - Infopool","Wed May 28 00:18:27 GMT 2025","passed","Wed May 28 00:18:27 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","35","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:18:32 GMT 2025","failed","Wed May 28 00:18:32 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","38","Update profile - invalid phone number","QA|Nova Bank - Infopool","Wed May 28 00:18:29 GMT 2025","failed","Wed May 28 00:18:29 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","36","No Auth - Fetch all users","QA|Nova Bank - Infopool","Wed May 28 00:18:42 GMT 2025","passed","Wed May 28 00:18:42 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","70","Add user to an organization - successful","QA|Nova Bank - Infopool","Wed May 28 00:18:44 GMT 2025","passed","Wed May 28 00:18:44 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
