"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri May 30 17:46:34 GMT 2025","passed","Fri May 30 17:46:34 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","45","get user role","QA|Nova Bank - Infopool","Fri May 30 17:46:39 GMT 2025","passed","Fri May 30 17:46:39 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","40","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 17:46:30 GMT 2025","passed","Fri May 30 17:46:30 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","100","Get profile - successfully","QA|Nova Bank - Infopool","Fri May 30 17:46:32 GMT 2025","passed","Fri May 30 17:46:32 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","38","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Fri May 30 17:46:50 GMT 2025","failed","Fri May 30 17:46:50 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","45","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Fri May 30 17:46:40 GMT 2025","passed","Fri May 30 17:46:40 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","67","Update definition","QA|Nova Bank - Infopool","Fri May 30 17:46:39 GMT 2025","passed","Fri May 30 17:46:39 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","159","Get events - successful","QA|Nova Bank - Infopool","Fri May 30 17:46:32 GMT 2025","passed","Fri May 30 17:46:32 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","36","Fetch Customers Channels","QA|Nova Bank - Infopool","Fri May 30 17:46:38 GMT 2025","failed","Fri May 30 17:46:38 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","42","Update profile - no phone number","QA|Nova Bank - Infopool","Fri May 30 17:46:32 GMT 2025","passed","Fri May 30 17:46:32 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","80","verifyOTP","QA|Nova Bank - Infopool","Fri May 30 17:46:30 GMT 2025","passed","Fri May 30 17:46:30 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","36","No auth - update role","QA|Nova Bank - Infopool","Fri May 30 17:46:40 GMT 2025","passed","Fri May 30 17:46:40 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","36","Get roles - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:46:48 GMT 2025","passed","Fri May 30 17:46:48 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"Get a specific report by ID","36","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Fri May 30 17:46:49 GMT 2025","failed","Fri May 30 17:46:49 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Create a new report","36","Create Report - No auth","QA|Nova Bank - Infopool","Fri May 30 17:46:49 GMT 2025","passed","Fri May 30 17:46:49 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","57","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri May 30 17:46:47 GMT 2025","passed","Fri May 30 17:46:48 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","46","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri May 30 17:46:41 GMT 2025","passed","Fri May 30 17:46:41 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","35","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri May 30 17:46:39 GMT 2025","passed","Fri May 30 17:46:39 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","44","Get permission by ID - successful","QA|Nova Bank - Infopool","Fri May 30 17:46:48 GMT 2025","passed","Fri May 30 17:46:48 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","36","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Fri May 30 17:46:38 GMT 2025","passed","Fri May 30 17:46:38 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","38","Export Report Data - No auth","QA|Nova Bank - Infopool","Fri May 30 17:46:50 GMT 2025","passed","Fri May 30 17:46:50 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","37","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri May 30 17:46:35 GMT 2025","passed","Fri May 30 17:46:35 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
