"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","64","Fetch all users","QA|Nova Bank - Infopool","Sun Jun 22 20:11:21 GMT 2025","passed","Sun Jun 22 20:11:21 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","121","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 22 20:11:07 GMT 2025","failed","Sun Jun 22 20:11:07 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","45","Health","QA|Nova Bank - Infopool","Sun Jun 22 20:11:20 GMT 2025","failed","Sun Jun 22 20:11:20 GMT 2025","v1 > Health","Bank Admin","",""
"","66","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 22 20:11:30 GMT 2025","passed","Sun Jun 22 20:11:30 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","66","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Jun 22 20:11:21 GMT 2025","passed","Sun Jun 22 20:11:21 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","59","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jun 22 20:11:16 GMT 2025","passed","Sun Jun 22 20:11:16 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","115","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 22 20:11:15 GMT 2025","passed","Sun Jun 22 20:11:15 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","49","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 22 20:11:03 GMT 2025","passed","Sun Jun 22 20:11:03 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","48","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 22 20:11:06 GMT 2025","passed","Sun Jun 22 20:11:06 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","61","Update profile","QA|Nova Bank - Infopool","Sun Jun 22 20:11:04 GMT 2025","failed","Sun Jun 22 20:11:04 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","45","No auth - get user role","QA|Nova Bank - Infopool","Sun Jun 22 20:11:22 GMT 2025","passed","Sun Jun 22 20:11:22 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","45","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 22 20:11:21 GMT 2025","passed","Sun Jun 22 20:11:21 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","46","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jun 22 20:11:20 GMT 2025","failed","Sun Jun 22 20:11:21 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","89","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sun Jun 22 20:11:16 GMT 2025","failed","Sun Jun 22 20:11:16 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","57","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jun 22 20:11:04 GMT 2025","passed","Sun Jun 22 20:11:04 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","45","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Jun 22 20:11:05 GMT 2025","passed","Sun Jun 22 20:11:05 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","63","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Jun 22 20:11:29 GMT 2025","passed","Sun Jun 22 20:11:29 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","144","Update Issue","QA|Nova Bank - Infopool","Sun Jun 22 20:11:07 GMT 2025","passed","Sun Jun 22 20:11:07 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","122","Create_issue_without_attachment","QA|Nova Bank - Infopool","Sun Jun 22 20:11:07 GMT 2025","passed","Sun Jun 22 20:11:07 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","55","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 22 20:11:21 GMT 2025","passed","Sun Jun 22 20:11:21 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","46","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 22 20:11:30 GMT 2025","passed","Sun Jun 22 20:11:30 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","53","successful dashboard embed","QA|Nova Bank - Infopool","Sun Jun 22 20:11:20 GMT 2025","passed","Sun Jun 22 20:11:20 GMT 2025","embed dashboard","Bank User","",""
"","256","audit-search","QA|Nova Bank - Infopool","Sun Jun 22 20:11:05 GMT 2025","passed","Sun Jun 22 20:11:06 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","6850","Successful login","QA|Nova Bank - Infopool","Sun Jun 22 20:10:54 GMT 2025","passed","Sun Jun 22 20:11:01 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","100","add_comment_successfully","QA|Nova Bank - Infopool","Sun Jun 22 20:11:14 GMT 2025","passed","Sun Jun 22 20:11:15 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","414","verifyOTP","QA|Nova Bank - Infopool","Sun Jun 22 20:11:01 GMT 2025","passed","Sun Jun 22 20:11:01 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","85","verify OTP","QA|Nova Bank - Infopool","Sun Jun 22 20:11:03 GMT 2025","passed","Sun Jun 22 20:11:03 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","124","update role","QA|Nova Bank - Infopool","Sun Jun 22 20:11:22 GMT 2025","passed","Sun Jun 22 20:11:22 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","47","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 22 20:11:14 GMT 2025","passed","Sun Jun 22 20:11:14 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","121","Forgot password - successful","QA|Nova Bank - Infopool","Sun Jun 22 20:11:01 GMT 2025","failed","Sun Jun 22 20:11:01 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","57","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 22 20:11:03 GMT 2025","passed","Sun Jun 22 20:11:03 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","49","Get events - no auth","QA|Nova Bank - Infopool","Sun Jun 22 20:11:05 GMT 2025","passed","Sun Jun 22 20:11:05 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","59","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 22 20:11:20 GMT 2025","failed","Sun Jun 22 20:11:20 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","51","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 22 20:11:20 GMT 2025","passed","Sun Jun 22 20:11:20 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","59","Get single definition","QA|Nova Bank - Infopool","Sun Jun 22 20:11:20 GMT 2025","passed","Sun Jun 22 20:11:20 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","46","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 22 20:11:04 GMT 2025","passed","Sun Jun 22 20:11:04 GMT 2025","v1 > Profile > update profile image","Bank User","",""
