"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","44","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 19:07:10 GMT 2025","passed","Thu Jun 05 19:07:10 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","39","Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 19:08:25 GMT 2025","passed","Thu Jun 05 19:08:25 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","174","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 19:07:14 GMT 2025","passed","Thu Jun 05 19:07:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","51","Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 19:07:15 GMT 2025","failed","Thu Jun 05 19:07:15 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Create a new report","36","Create Report","QA|Nova Bank - Infopool","Thu Jun 05 19:08:29 GMT 2025","passed","Thu Jun 05 19:08:29 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","38","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 19:07:14 GMT 2025","passed","Thu Jun 05 19:07:14 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","40","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Thu Jun 05 19:07:14 GMT 2025","passed","Thu Jun 05 19:07:14 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","32","Role does not exist - update role","QA|Nova Bank - Infopool","Thu Jun 05 19:08:26 GMT 2025","passed","Thu Jun 05 19:08:26 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","92","Get events - invalid end date","QA|Nova Bank - Infopool","Thu Jun 05 19:07:12 GMT 2025","passed","Thu Jun 05 19:07:12 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","45","Update profile - Invalid file size","QA|Nova Bank - Infopool","Thu Jun 05 19:07:12 GMT 2025","passed","Thu Jun 05 19:07:12 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","34","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 19:08:25 GMT 2025","passed","Thu Jun 05 19:08:25 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","33","managers","QA|Nova Bank - Infopool","Thu Jun 05 19:08:27 GMT 2025","passed","Thu Jun 05 19:08:27 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","66236","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Thu Jun 05 19:07:18 GMT 2025","passed","Thu Jun 05 19:08:25 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","33","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 19:08:26 GMT 2025","passed","Thu Jun 05 19:08:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Delete a report (soft delete)","32","Delete Report - Invalid id","QA|Nova Bank - Infopool","Thu Jun 05 19:08:29 GMT 2025","passed","Thu Jun 05 19:08:29 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"Update an existing report","30","Update Report","QA|Nova Bank - Infopool","Thu Jun 05 19:08:29 GMT 2025","passed","Thu Jun 05 19:08:29 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","39","Get profile - user not logged in","QA|Nova Bank - Infopool","Thu Jun 05 19:07:12 GMT 2025","passed","Thu Jun 05 19:07:12 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","48","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Thu Jun 05 19:07:10 GMT 2025","passed","Thu Jun 05 19:07:10 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","45","Send user invitation token - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:07:13 GMT 2025","passed","Thu Jun 05 19:07:13 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","34","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Thu Jun 05 19:08:27 GMT 2025","passed","Thu Jun 05 19:08:27 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","91","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Thu Jun 05 19:07:18 GMT 2025","passed","Thu Jun 05 19:07:18 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","32","Get roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:08:27 GMT 2025","passed","Thu Jun 05 19:08:27 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","32","Get permission by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:08:28 GMT 2025","passed","Thu Jun 05 19:08:28 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","42","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 19:07:10 GMT 2025","passed","Thu Jun 05 19:07:10 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","35","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Thu Jun 05 19:08:25 GMT 2025","passed","Thu Jun 05 19:08:25 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","52","Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 19:07:15 GMT 2025","passed","Thu Jun 05 19:07:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","32","Get all permissions","QA|Nova Bank - Infopool","Thu Jun 05 19:08:28 GMT 2025","passed","Thu Jun 05 19:08:28 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","40","audit trail - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 19:07:12 GMT 2025","passed","Thu Jun 05 19:07:13 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
