"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a paginated list of reports with optional filtering","68","Get Reports","QA|Nova Bank - Infopool","Wed Jan 07 18:55:48 UTC 2026","broken","Wed Jan 07 18:55:48 UTC 2026","v1 > Report > Get Report","Bank Admin","",""
"","61","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Wed Jan 07 18:55:40 UTC 2026","broken","Wed Jan 07 18:55:40 UTC 2026","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","63","Role does not exist - update role","QA|Nova Bank - Infopool","Wed Jan 07 18:55:43 UTC 2026","broken","Wed Jan 07 18:55:43 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
"","64","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Wed Jan 07 18:55:45 UTC 2026","broken","Wed Jan 07 18:55:45 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"Delete a report (soft delete)","62","Delete Report","QA|Nova Bank - Infopool","Wed Jan 07 18:55:49 UTC 2026","broken","Wed Jan 07 18:55:49 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"","65","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Wed Jan 07 18:55:45 UTC 2026","broken","Wed Jan 07 18:55:45 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","62","Get roles - No Auth","QA|Nova Bank - Infopool","Wed Jan 07 18:55:46 UTC 2026","broken","Wed Jan 07 18:55:46 UTC 2026","v1 > Roles > Get roles","Bank Admin","",""
"Update an existing report","64","Update Report - Invalid id","QA|Nova Bank - Infopool","Wed Jan 07 18:55:49 UTC 2026","broken","Wed Jan 07 18:55:49 UTC 2026","v1 > Report > Update Report","Bank Admin","",""
"","64","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Wed Jan 07 18:55:49 UTC 2026","broken","Wed Jan 07 18:55:49 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","65","add_comment_successfully","QA|Nova Bank - Infopool","Wed Jan 07 18:55:40 UTC 2026","broken","Wed Jan 07 18:55:40 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Create a new report","63","Create Report","QA|Nova Bank - Infopool","Wed Jan 07 18:55:49 UTC 2026","broken","Wed Jan 07 18:55:49 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"","93","audit-search","QA|Nova Bank - Infopool","Wed Jan 07 18:55:37 UTC 2026","broken","Wed Jan 07 18:55:37 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"","63","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Wed Jan 07 18:55:42 UTC 2026","broken","Wed Jan 07 18:55:42 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","65","Create organization - empty city value","QA|Nova Bank - Infopool","Wed Jan 07 18:55:44 UTC 2026","broken","Wed Jan 07 18:55:44 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","62","Invalid name - Search Customers","QA|Nova Bank - Infopool","Wed Jan 07 18:55:40 UTC 2026","broken","Wed Jan 07 18:55:40 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
