"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jul 11 18:58:46 GMT 2025","passed","Fri Jul 11 18:58:46 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","69","verify OTP","QA|Nova Bank - Infopool","Fri Jul 11 18:58:40 GMT 2025","passed","Fri Jul 11 18:58:40 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","44","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Fri Jul 11 18:58:59 GMT 2025","passed","Fri Jul 11 18:58:59 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","3098","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri Jul 11 18:59:00 GMT 2025","passed","Fri Jul 11 18:59:03 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","45","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri Jul 11 18:58:42 GMT 2025","passed","Fri Jul 11 18:58:42 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","42","Create organization - no name","QA|Nova Bank - Infopool","Fri Jul 11 18:58:58 GMT 2025","passed","Fri Jul 11 18:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","34","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Fri Jul 11 18:58:43 GMT 2025","passed","Fri Jul 11 18:58:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","31","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Jul 11 18:58:59 GMT 2025","passed","Fri Jul 11 18:58:59 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","3163","Invalid name - Search Customers","QA|Nova Bank - Infopool","Fri Jul 11 18:58:49 GMT 2025","passed","Fri Jul 11 18:58:52 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","47","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Fri Jul 11 18:58:59 GMT 2025","passed","Fri Jul 11 18:58:59 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","157","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Fri Jul 11 18:58:44 GMT 2025","failed","Fri Jul 11 18:58:44 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","48","No Auth - Fetch all users","QA|Nova Bank - Infopool","Fri Jul 11 18:58:57 GMT 2025","passed","Fri Jul 11 18:58:57 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","33","Get profile - user not logged in","QA|Nova Bank - Infopool","Fri Jul 11 18:58:41 GMT 2025","passed","Fri Jul 11 18:58:41 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","47","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri Jul 11 18:58:58 GMT 2025","passed","Fri Jul 11 18:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","50","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jul 11 18:58:59 GMT 2025","passed","Fri Jul 11 18:58:59 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","32","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jul 11 18:58:45 GMT 2025","passed","Fri Jul 11 18:58:45 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","34","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri Jul 11 18:58:44 GMT 2025","failed","Fri Jul 11 18:58:44 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","32","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Jul 11 18:58:53 GMT 2025","passed","Fri Jul 11 18:58:53 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","74","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri Jul 11 18:58:59 GMT 2025","failed","Fri Jul 11 18:58:59 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
