"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","139","Logout session successfully","QA|Nova Bank - Infopool","Fri Dec 05 18:58:39 UTC 2025","broken","Fri Dec 05 18:58:39 UTC 2025","v1 > Logout","Bank Admin","",""
"","140","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Fri Dec 05 18:58:32 UTC 2025","broken","Fri Dec 05 18:58:32 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","146","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri Dec 05 18:58:28 UTC 2025","broken","Fri Dec 05 18:58:28 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","143","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri Dec 05 18:58:14 UTC 2025","broken","Fri Dec 05 18:58:14 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","146","No auth - get user role","QA|Nova Bank - Infopool","Fri Dec 05 18:58:29 UTC 2025","broken","Fri Dec 05 18:58:30 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","139","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri Dec 05 18:58:33 UTC 2025","broken","Fri Dec 05 18:58:33 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","137","audit trail - No Auth","QA|Nova Bank - Infopool","Fri Dec 05 18:58:17 UTC 2025","broken","Fri Dec 05 18:58:18 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","134","Create roles - No auth","QA|Nova Bank - Infopool","Fri Dec 05 18:58:36 UTC 2025","broken","Fri Dec 05 18:58:36 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","147","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri Dec 05 18:58:21 UTC 2025","broken","Fri Dec 05 18:58:21 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","135","audit-search","QA|Nova Bank - Infopool","Fri Dec 05 18:58:18 UTC 2025","broken","Fri Dec 05 18:58:18 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","140","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Dec 05 18:58:25 UTC 2025","broken","Fri Dec 05 18:58:25 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
